start_year,initial_cash,monthly_funding,acquisition,initial_accounts,withdrawal,cadence,amount,headroom,reserve,ongoing,terminal,total,accounts,alive,deaths,peak_live,spend,receipts,contributions,ending_owner_cash,cash_limited_decisions,minimum_owner_cash,copies,signals_loaded,signals_executed,signal_participation,zero_live_signals,pending_replacements,allocation_sha256,objective,tested_count,tied_best_settings,headroom_min,headroom_max,within_one_percent_count
2020,1000,200,monthly_plus_replacements,1,minimum,calendar_month,0,0,25100.0,356000.0,153740.8,509740.8,185,20,165,20,37000.0,546740.8,16600.0,526340.8,138,0.0,156315,12658,9295,0.734318217727919,7,0,2f210dce75ca240a4192c9083983bbc35d89cac859216920ac0749f56cd96356,total,45,6,0,15000,6
2020,1000,200,monthly_plus_replacements,1,minimum,daily,0,0,25100.0,467700.0,0,467700.0,329,20,309,20,65800.0,533500.0,16600.0,484300.0,44,0.0,159452,12658,9286,0.7336072049296888,19,0,a490e4b65134cfde98bb7683d305fb0332534fd12a1e2a8b77e7102abc76c66f,ongoing,45,6,0,15000,10
2020,1000,200,monthly_plus_replacements,1,minimum,daily,0,0,25100.0,467700.0,0,467700.0,329,20,309,20,65800.0,533500.0,16600.0,484300.0,44,0.0,159452,12658,9286,0.7336072049296888,19,0,a490e4b65134cfde98bb7683d305fb0332534fd12a1e2a8b77e7102abc76c66f,total,45,6,0,15000,10
2020,1000,200,monthly_plus_replacements,1,minimum,weekly,0,0,25100.0,462900.0,0,462900.0,248,20,228,20,49600.0,512500.0,16600.0,479500.0,44,0.0,159513,12658,9290,0.7339232106177911,13,0,d111a377a4ea3fcdd68dd5f1001817992ec41317edf8e183a179fed3d5b1babc,ongoing,45,6,0,15000,10
2020,1000,200,monthly_plus_replacements,1,minimum,weekly,0,0,25100.0,462900.0,0,462900.0,248,20,228,20,49600.0,512500.0,16600.0,479500.0,44,0.0,159513,12658,9290,0.7339232106177911,13,0,d111a377a4ea3fcdd68dd5f1001817992ec41317edf8e183a179fed3d5b1babc,total,45,6,0,15000,10
2020,1000,200,monthly_two,1,maximum,calendar_month,0,3600,28700.0,331495.4,3000.0,334495.4,82,6,76,20,16400.0,350895.4,16600.0,351095.4,31,0.0,100824,12658,9186,0.725707062727129,158,0,5814c8eb9061accdc99aaed6cc5fcd53e8097632c84d8176ce1c56ef86bece07,ongoing,60,1,0,15000,1
2020,1000,200,monthly_two,1,maximum,calendar_month,0,5900,31000.0,283964.25,128116.48,412080.73,72,20,52,20,14400.0,426480.73,16600.0,428680.73,39,0.0,101547,12658,9253,0.731000158002844,80,0,a5b5fd678b845fcabe602f1aa605fb8630e49ea752787934c22b3dd6200057ad,total,60,1,0,15000,1
2020,1000,200,monthly_two,1,maximum,daily,0,4200,29300.0,308186.2,6000.0,314186.2,87,6,81,20,17400.0,331586.2,16600.0,330786.2,32,0.0,96240,12658,9203,0.7270500869015643,138,0,094dda8b0ca81d81c7a247329a5bb2e63f6391266bb6a28b8ce3e2e926725275,ongoing,60,1,0,15000,1
2020,1000,200,monthly_two,1,maximum,daily,0,6500,31600.0,272616.3,132495.48,405111.78,71,20,51,20,14200.0,419311.78,16600.0,421711.78,41,0.0,100370,12658,9253,0.731000158002844,80,0,83f14abd1fcd9025bb174ad7a0a5294c44148d4644529997c92dad5043162fe9,total,60,1,0,15000,1
2020,1000,200,monthly_two,1,maximum,weekly,0,4000,29100.0,324332.55,6000.0,330332.55,85,6,79,20,17000.0,347332.55,16600.0,346932.55,32,0.0,98682,12658,9207,0.7273660925896667,134,0,8a2ae63c207154ee54d2a0e395284e77fecd912135e9874819a1f9774c0e928a,ongoing,60,5,0,15000,5
2020,1000,200,monthly_two,1,maximum,weekly,0,6300,31400.0,309538.25,102742.48,412280.73,71,20,51,20,14200.0,426480.73,16600.0,428880.73,40,0.0,101321,12658,9253,0.731000158002844,80,0,f5a2fe9ffe181b7e6715b49a4410849cd43f2065ee78560c55ceed4d35b55644,total,60,1,0,15000,1
2020,1000,200,monthly_two,3,minimum,calendar_month,0,1600,26700.0,285000.0,158753.16,443753.16,85,20,65,20,17000.0,460753.16,16600.0,460353.16,16,0.0,112118,12658,9096,0.7185969347448254,286,0,9d0e51e3a740ed16b31cf8c30682c01bd3762c4f7991c4001942edc1ff0a1194,ongoing,50,1,0,15000,2
2020,1000,200,monthly_two,3,minimum,calendar_month,0,1600,26700.0,285000.0,158753.16,443753.16,85,20,65,20,17000.0,460753.16,16600.0,460353.16,16,0.0,112118,12658,9096,0.7185969347448254,286,0,9d0e51e3a740ed16b31cf8c30682c01bd3762c4f7991c4001942edc1ff0a1194,total,50,1,0,15000,10
2020,1000,200,monthly_two,1,minimum,daily,0,3500,28600.0,341000.0,3000.0,344000.0,85,6,79,20,17000.0,361000.0,16600.0,360600.0,28,0.0,101304,12658,9116,0.7201769631853373,242,0,d5a557971b90579406f128474751defb229d408ce8fae93c7dd6c785cf56c001,ongoing,50,1,0,15000,1
2020,1000,200,monthly_two,1,minimum,daily,0,3500,28600.0,341000.0,3000.0,344000.0,85,6,79,20,17000.0,361000.0,16600.0,360600.0,28,0.0,101304,12658,9116,0.7201769631853373,242,0,d5a557971b90579406f128474751defb229d408ce8fae93c7dd6c785cf56c001,total,50,1,0,15000,1
2020,1000,200,monthly_two,1,minimum,weekly,0,2100,27200.0,375300.0,0,375300.0,101,6,95,20,20200.0,395500.0,16600.0,391900.0,6,0.0,108695,12658,8988,0.710064781166061,421,0,6735cb230017f53ce8862718da725b0f412bad90919058df678fc2bc9e35e245,ongoing,50,1,0,15000,2
2020,1000,200,monthly_two,1,minimum,weekly,0,2100,27200.0,375300.0,0,375300.0,101,6,95,20,20200.0,395500.0,16600.0,391900.0,6,0.0,108695,12658,8988,0.710064781166061,421,0,6735cb230017f53ce8862718da725b0f412bad90919058df678fc2bc9e35e245,total,50,1,0,15000,2
2020,1000,200,quarterly_one,1,maximum,calendar_month,0,3600,28700.0,83578.75,1500.0,85078.75,27,2,25,7,5400.0,90478.75,16600.0,101678.75,0,800.0,30586,12658,9140,0.7220729973139517,206,0,572167b55f5a6d0e21af06dc5c3dc82ca07a14b0f25fd821dcde8f089ffa5068,ongoing,60,1,0,15000,3
2020,1000,200,quarterly_one,1,maximum,calendar_month,0,5900,31000.0,75279.3,33583.73,108863.03,27,7,20,7,5400.0,114263.03,16600.0,125463.03,0,800.0,32956,12658,9177,0.7249960499288988,161,0,29b6ae1f945a0718073979a97a76d4dd229e023d5cd7815aa073ac62fc1ce7cd,total,60,3,0,15000,7
2020,1000,200,quarterly_one,1,maximum,daily,0,4400,29500.0,81793.35,1500.0,83293.35,27,2,25,7,5400.0,88693.35,16600.0,99893.35,0,800.0,30665,12658,9132,0.7214409859377469,214,0,e74891609ae2da2991d4b83e4eb0a86cd0480cfeb7da04879c90e41c038087a1,ongoing,60,1,0,15000,2
2020,1000,200,quarterly_one,1,maximum,daily,0,6300,31400.0,76328.8,33253.78,109582.58,27,7,20,7,5400.0,114982.58,16600.0,126182.58,0,800.0,32956,12658,9177,0.7249960499288988,161,0,1ac33925ae70a469f888ac89d3529418aa38b64b96fd9c54886d188d24c80372,total,60,1,0,15000,12
2020,1000,200,quarterly_one,1,maximum,weekly,0,4000,29100.0,84810.4,1500.0,86310.4,27,2,25,7,5400.0,91710.4,16600.0,102910.4,0,800.0,30651,12658,9129,0.7212039816716701,217,0,d913950760405396d51023f1912f346d140fa1025b832fd7aee3b1453fac89c4,ongoing,60,1,0,15000,6
