accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,routing,case,arm,start_year,initial_cash_usd,monthly_contribution_usd,retained_balance_usd,initial_accounts,acquisition,max_live_accounts,capacity_R_at_horizon,signals_loaded,signals_executed,signal_participation,signals_without_target,requested_copies,missed_requested_copies,requested_copy_coverage,mean_copies_per_exported_signal,planned_contract_hours,owner_contributions_usd,ending_owner_cash_usd,cash_limited_decisions,capacity_limited_decisions,pending_replacements,growth_purchases,replacement_purchases,delta_total_vs_unlimited_usd,delta_total_vs_blocked_usd,copies_vs_unlimited_ratio
73,20,53,20,False,175608,14600.0,468500.0,101481.07,569981.07,,2020_5000_0_retain_31900,unlimited_reference,2020,5000,0,31900,5,monthly_plus_replacements,20,4,12658,12654,0.9996839943118976,4,175608,0,1.0,13.873281719070944,271999.5061,5000.0,574981.07,692,40,0,15,53,0.0,234881.07,1.0
47,20,27,20,False,120441,9400.0,335100.0,0.0,335100.0,,2020_5000_0_retain_31900,blocked_copy,2020,5000,0,31900,5,monthly_plus_replacements,20,4,12658,9304,0.7350292305261494,2,164986,44545,0.7300073945668117,9.515010270184863,200919.2297,5000.0,340100.0,1018,27,0,15,27,-234881.07,0.0,0.6858514418477518
28,20,8,20,False,43639,5600.0,90900.0,0.0,90900.0,,2020_5000_0_retain_31900,adaptive_max_headroom,2020,5000,0,31900,5,monthly_plus_replacements,20,4,12658,12658,1.0,0,43639,0,1.0,3.4475430557750038,67225.0483,5000.0,95900.0,440,63,0,15,8,-479081.07,-244200.0,0.24850234613457245
55,20,35,20,False,30820,11000.0,8500.0,26025.27,34525.27,,2020_5000_0_retain_31900,adaptive_round_robin,2020,5000,0,31900,5,monthly_plus_replacements,20,4,12658,12658,1.0,0,30820,0,1.0,2.434823826828883,48151.7431,5000.0,39525.27,1305,21,0,15,35,-535455.8,-300574.73,0.17550453282310602
108,20,88,20,False,219898,21600.0,582150.0,30000.0,612150.0,,2020_5000_200_retain_30000,unlimited_reference,2020,5000,200,30000,5,monthly_plus_replacements,20,4,12658,12654,0.9996839943118976,4,219898,0,1.0,17.37225470058461,337958.4617,20600.0,632750.0,306,53,0,15,88,0.0,224750.0,1.0
108,20,88,20,False,146367,21600.0,387400.0,0.0,387400.0,,2020_5000_200_retain_30000,blocked_copy,2020,5000,200,30000,5,monthly_plus_replacements,20,4,12658,9302,0.7348712276820982,4,199878,53511,0.7322816918320175,11.563201137620478,241947.6686,20600.0,408000.0,732,39,0,15,88,-224750.0,0.0,0.6656131479140329
38,20,18,20,False,45912,7600.0,108400.0,0.0,108400.0,,2020_5000_200_retain_30000,adaptive_max_headroom,2020,5000,200,30000,5,monthly_plus_replacements,20,4,12658,12658,1.0,0,45912,0,1.0,3.6271132880391845,70574.1814,20600.0,129000.0,0,63,0,15,18,-503750.0,-279000.0,0.20878771066585416
56,20,36,20,False,45850,11200.0,66800.0,31692.26,98492.26,,2020_5000_200_retain_30000,adaptive_round_robin,2020,5000,200,30000,5,monthly_plus_replacements,20,4,12658,12658,1.0,0,45850,0,1.0,3.622215199873598,70484.7036,20600.0,119092.26,0,63,0,15,36,-513657.74,-288907.74,0.2085057617622716
76,20,56,20,False,206943,15200.0,524300.0,99514.56,623814.56,,2020_5000_200_retain_31900,unlimited_reference,2020,5000,200,31900,5,monthly_plus_replacements,20,4,12658,12654,0.9996839943118976,4,206943,0,1.0,16.34879127824301,318762.2228,20600.0,644414.56,495,46,0,15,56,0.0,264714.56,1.0
77,20,57,20,False,143152,15400.0,359100.0,0.0,359100.0,,2020_5000_200_retain_31900,blocked_copy,2020,5000,200,31900,5,monthly_plus_replacements,20,4,12658,9303,0.7349502291041239,2,195608,52456,0.7318310089566888,11.309211565808184,236852.2853,20600.0,379700.0,872,34,0,15,57,-264714.56,0.0,0.6917460363481732
28,20,8,20,False,45921,5600.0,94400.0,5306.52,99706.52,,2020_5000_200_retain_31900,adaptive_max_headroom,2020,5000,200,31900,5,monthly_plus_replacements,20,4,12658,12658,1.0,0,45921,0,1.0,3.627824300837415,70583.6425,20600.0,120306.52,0,63,0,15,8,-524108.04,-259393.48,0.2219016830721503
54,20,34,20,False,45854,10800.0,29200.0,45571.97,74771.97,,2020_5000_200_retain_31900,adaptive_round_robin,2020,5000,200,31900,5,monthly_plus_replacements,20,4,12658,12658,1.0,0,45854,0,1.0,3.6225312055617,70487.4814,20600.0,95371.97,0,63,0,15,34,-549042.59,-284328.03,0.2215779224230827
66,20,46,20,False,99583,13200.0,299300.0,30000.0,329300.0,,2023_1000_0_retain_30000,unlimited_reference,2023,1000,0,30000,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,99583,0,1.0,14.365695326024236,158190.0597,1000.0,330300.0,8,19,0,15,46,0.0,112900.0,1.0
48,20,28,20,False,63666,9600.0,216400.0,0.0,216400.0,,2023_1000_0_retain_30000,blocked_copy,2023,1000,0,30000,5,monthly_plus_replacements,20,4,6932,5071,0.731534910559723,0,87436,23770,0.7281440139073151,9.184362377380266,107310.1503,1000.0,217400.0,13,14,0,15,28,-112900.0,0.0,0.6393259893756966
32,20,12,20,False,16536,6400.0,39100.0,0.0,39100.0,,2023_1000_0_retain_30000,adaptive_max_headroom,2023,1000,0,30000,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,16536,0,1.0,2.385458742065782,26068.0933,1000.0,40100.0,13,14,0,15,12,-290200.0,-177300.0,0.16605243866925076
5,4,1,5,False,331,1000.0,-1000.0,0.0,-1000.0,,2023_1000_0_retain_30000,adaptive_round_robin,2023,1000,0,30000,5,monthly_plus_replacements,20,0,6932,331,0.047749567224466244,6601,331,0,1.0,0.047749567224466244,459.2722,1000.0,0.0,1220,0,1,0,0,-330300.0,-217400.0,0.0033238604982778184
51,20,31,20,False,84983,10200.0,175800.0,62469.33,238269.33,,2023_1000_0_retain_31900,unlimited_reference,2023,1000,0,31900,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,84983,0,1.0,12.259521061742642,134139.9214,1000.0,239269.33,14,13,0,15,31,0.0,91169.33,1.0
42,20,22,20,False,56627,8400.0,139600.0,7500.0,147100.0,,2023_1000_0_retain_31900,blocked_copy,2023,1000,0,31900,5,monthly_plus_replacements,20,4,6932,5071,0.731534910559723,0,77646,21019,0.7292970661721144,8.168926716676284,95041.7736,1000.0,148100.0,17,10,0,15,22,-91169.33,0.0,0.6663332666533307
36,20,16,20,False,14531,7200.0,23300.0,3000.0,26300.0,,2023_1000_0_retain_31900,adaptive_max_headroom,2023,1000,0,31900,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,14531,0,1.0,2.096220427005193,22759.3489,1000.0,27300.0,17,10,0,15,16,-211969.33,-120800.0,0.17098713860419143
5,4,1,5,False,331,1000.0,-1000.0,0.0,-1000.0,,2023_1000_0_retain_31900,adaptive_round_robin,2023,1000,0,31900,5,monthly_plus_replacements,20,0,6932,331,0.047749567224466244,6601,331,0,1.0,0.047749567224466244,459.2722,1000.0,0.0,1220,0,1,0,0,-239269.33,-148100.0,0.0038948966263841005
73,20,53,20,False,115390,14600.0,363900.0,30000.0,393900.0,,2023_1000_200_retain_30000,unlimited_reference,2023,1000,200,30000,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,115390,0,1.0,16.64598961338719,182607.7922,9400.0,403300.0,47,25,0,15,53,0.0,89000.0,1.0
53,20,33,20,False,82085,10600.0,304900.0,0.0,304900.0,,2023_1000_200_retain_30000,blocked_copy,2023,1000,200,30000,5,monthly_plus_replacements,20,4,6932,5075,0.7321119446047317,2,112725,30640,0.7281880683078288,11.841459896133872,138093.1833,9400.0,314300.0,111,23,0,15,33,-89000.0,0.0,0.7113701360603172
31,20,11,20,False,22902,6200.0,68300.0,0.0,68300.0,,2023_1000_200_retain_30000,adaptive_max_headroom,2023,1000,200,30000,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,22902,0,1.0,3.303808424697057,36158.4431,9400.0,77700.0,0,27,0,15,11,-325600.0,-236600.0,0.1984747378455672
38,20,18,20,False,21888,7600.0,13400.0,26894.92,40294.92,,2023_1000_200_retain_30000,adaptive_round_robin,2023,1000,200,30000,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,21888,0,1.0,3.157530294287363,34591.3708,9400.0,49694.92,68,23,0,15,18,-353605.08,-264605.08,0.18968714793309646
36,20,16,20,False,106782,7200.0,285300.0,88299.48,373599.48,,2023_1000_200_retain_31900,unlimited_reference,2023,1000,200,31900,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,106782,0,1.0,15.404212348528564,168625.3978,9400.0,382999.48,173,20,0,15,16,0.0,125299.48,1.0
31,20,11,20,False,78411,6200.0,248300.0,0.0,248300.0,,2023_1000_200_retain_31900,blocked_copy,2023,1000,200,31900,5,monthly_plus_replacements,20,4,6932,5076,0.7322562031159838,0,107581,29170,0.7288554670434371,11.311454125793421,131707.0111,9400.0,257700.0,222,19,0,15,11,-125299.48,0.0,0.7343091532280721
24,20,4,20,False,22909,4800.0,57700.0,6889.94,64589.94,,2023_1000_200_retain_31900,adaptive_max_headroom,2023,1000,200,31900,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,22909,0,1.0,3.3048182342758223,36166.4819,9400.0,73989.94,0,27,0,15,4,-309009.54,-183710.06,0.21453990372909293
38,20,18,20,False,21888,7600.0,-1600.0,15000.0,13400.0,,2023_1000_200_retain_31900,adaptive_round_robin,2023,1000,200,31900,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,21888,0,1.0,3.157530294287363,34591.3708,9400.0,22800.0,68,23,0,15,18,-360199.48,-234900.0,0.2049783671405293
74,20,54,20,False,119305,14800.0,375700.0,30000.0,405700.0,,2023_5000_0_retain_30000,unlimited_reference,2023,5000,0,30000,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,119305,0,1.0,17.21076168493941,188624.1311,5000.0,410700.0,0,27,0,15,54,0.0,69000.0,1.0
