policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,ongoing_payouts,terminal_payouts,profit_before_terminal_usd,profit_after_terminal_usd,booked_net_trading_usd,firm_split_usd,path_ceiling_usd,unextracted_usd,stage,trading_neutral,earnings_forgone_usd,book_ceiling_usd,ceiling_capture
fixed_250_backlog,29800.0,4700.0,183950.0,271028.91,454978.91,21,317,19,282716.25,5682.54,456509.0,6004.8,466666.25,11687.34,local_refinement,False,5513.2,472299.1,0.963328
fixed_250_backlog,29900.0,4800.0,183950.0,271028.91,454978.91,21,316,19,282716.25,5682.54,456509.0,6004.8,466666.25,11687.34,local_refinement,False,5513.2,472299.1,0.963328
fixed_250_backlog,30000.0,4900.0,184200.0,270778.91,454978.91,21,314,19,282466.25,5682.54,456509.0,6004.8,466666.25,11687.34,local_refinement,False,5513.2,472299.1,0.963328
fixed_250_backlog,30100.0,5000.0,185200.0,272278.91,457478.91,22,314,20,287099.1,8815.39,462022.2,6004.8,472299.1,14820.19,coarse,True,0.0,472299.1,0.968621
fixed_250_backlog,30200.0,5100.0,185450.0,272028.91,457478.91,22,312,20,286849.1,8815.39,462022.2,6004.8,472299.1,14820.19,local_refinement,True,0.0,472299.1,0.968621
fixed_250_backlog,30300.0,5200.0,185450.0,272028.91,457478.91,22,309,20,286849.1,8815.39,462022.2,6004.8,472299.1,14820.19,local_refinement,True,0.0,472299.1,0.968621
fixed_250_backlog,30400.0,5300.0,185450.0,272028.91,457478.91,22,306,20,286849.1,8815.39,462022.2,6004.8,472299.1,14820.19,local_refinement,True,0.0,472299.1,0.968621
fixed_250_backlog,30500.0,5400.0,185200.0,272278.91,457478.91,22,304,20,287099.1,8815.39,462022.2,6004.8,472299.1,14820.19,local_refinement,True,0.0,472299.1,0.968621
fixed_250_backlog,30600.0,5500.0,185450.0,272028.91,457478.91,22,303,20,286849.1,8815.39,462022.2,6004.8,472299.1,14820.19,coarse,True,0.0,472299.1,0.968621
fixed_250_backlog,30700.0,5600.0,185357.1,272028.91,457386.01,22,301,20,286942.0,8908.29,462022.2,6004.8,472299.1,14913.09,local_refinement,True,0.0,472299.1,0.968424
fixed_250_backlog,30800.0,5700.0,185507.1,271778.91,457286.01,22,300,20,286792.0,9008.29,462022.2,6004.8,472299.1,15013.09,local_refinement,True,0.0,472299.1,0.968213
fixed_250_backlog,30900.0,5800.0,184907.1,272278.91,457186.01,22,296,20,287392.0,9108.29,462022.2,6004.8,472299.1,15113.09,local_refinement,True,0.0,472299.1,0.968001
fixed_250_backlog,31000.0,5900.0,184557.1,272528.91,457086.01,22,293,20,287742.0,9208.29,462022.2,6004.8,472299.1,15213.09,local_refinement,True,0.0,472299.1,0.967789
fixed_250_backlog,31100.0,6000.0,183957.1,273028.91,456986.01,22,288,20,288342.0,9308.29,462022.2,6004.8,472299.1,15313.09,coarse,True,0.0,472299.1,0.967578
fixed_250_backlog,31600.0,6500.0,182957.1,269058.12,452015.22,22,280,20,289342.0,14279.08,462022.2,6004.8,472299.1,20283.88,coarse,True,0.0,472299.1,0.957053
fixed_250_backlog,32100.0,7000.0,181402.15,265288.03,446690.18,22,278,20,290896.95,19604.12,462022.2,6004.8,472299.1,25608.92,coarse,True,0.0,472299.1,0.945778
fixed_250_backlog,32600.0,7500.0,179896.5,260210.79,440107.29,22,269,20,292402.6,26187.01,462022.2,6004.8,472299.1,32191.81,coarse,True,0.0,472299.1,0.93184
fixed_250_backlog,33100.0,8000.0,177698.0,260710.79,438408.79,22,263,20,294601.1,27885.51,462022.2,6004.8,472299.1,33890.31,coarse,True,0.0,472299.1,0.928244
fixed_250_backlog,33600.0,8500.0,176948.0,259460.79,436408.79,22,263,20,295351.1,29885.51,462022.2,6004.8,472299.1,35890.31,coarse,True,0.0,472299.1,0.924009
fixed_250_backlog,34100.0,9000.0,174948.0,259460.79,434408.79,22,257,20,297351.1,31885.51,462022.2,6004.8,472299.1,37890.31,coarse,True,0.0,472299.1,0.919775
fixed_250_backlog,34600.0,9500.0,173448.0,258960.79,432408.79,22,251,20,298851.1,33885.51,462022.2,6004.8,472299.1,39890.31,coarse,True,0.0,472299.1,0.91554
fixed_250_backlog,35100.0,10000.0,170440.9,259960.79,430401.69,22,246,20,301858.2,35892.61,462022.2,6004.8,472299.1,41897.41,coarse,True,0.0,472299.1,0.911291
fixed_500_backlog,,,102403.9,31642.2,134046.1,7,193,5,35924.6,4282.4,131311.05,0.0,138328.5,4282.4,coarse,False,330711.15,472299.1,0.283816
fixed_500_backlog,25100.0,0.0,102403.9,31642.2,134046.1,7,193,5,35924.6,4282.4,131311.05,0.0,138328.5,4282.4,coarse,False,330711.15,472299.1,0.283816
fixed_500_backlog,25600.0,500.0,102403.9,31642.2,134046.1,7,193,5,35924.6,4282.4,131311.05,0.0,138328.5,4282.4,coarse,False,330711.15,472299.1,0.283816
fixed_500_backlog,26100.0,1000.0,102403.9,31642.2,134046.1,7,193,5,35924.6,4282.4,131311.05,0.0,138328.5,4282.4,coarse,False,330711.15,472299.1,0.283816
fixed_500_backlog,26600.0,1500.0,99071.3,31642.2,130713.5,7,180,5,35924.6,4282.4,127554.45,0.0,134995.9,4282.4,coarse,False,334467.75,472299.1,0.27676
fixed_500_backlog,27100.0,2000.0,99334.85,31642.2,130977.05,7,175,5,35924.6,4282.4,127676.25,0.0,135259.45,4282.4,coarse,False,334345.95,472299.1,0.277318
fixed_500_backlog,27600.0,2500.0,114388.3,31642.2,146030.5,7,183,5,35924.6,4282.4,142698.05,0.0,150312.9,4282.4,coarse,False,319324.15,472299.1,0.309191
fixed_500_backlog,28100.0,3000.0,200355.75,50610.9,250966.65,11,291,9,55870.4,4682.44,248478.3,577.06,256226.15,5259.5,coarse,False,213543.9,472299.1,0.531372
fixed_500_backlog,28600.0,3500.0,221802.95,56137.8,277940.75,12,313,10,62055.85,4782.45,275865.25,1485.6,284208.8,6268.05,coarse,False,186156.95,472299.1,0.588485
fixed_500_backlog,29100.0,4000.0,230356.95,57137.8,287494.75,12,308,10,63055.85,4782.45,285393.25,1485.6,293762.8,6268.05,coarse,False,176628.95,472299.1,0.608713
fixed_500_backlog,29600.0,4500.0,329802.25,70204.66,400006.91,15,408,13,77874.6,5082.48,400406.25,4137.46,409226.85,9219.94,coarse,False,61615.95,472299.1,0.846936
fixed_500_backlog,29700.0,4600.0,328352.25,71154.66,399506.91,15,405,13,78874.6,5082.48,399429.9,4137.46,408726.85,9219.94,local_refinement,False,62592.3,472299.1,0.845877
fixed_500_backlog,29800.0,4700.0,358718.9,79443.98,438162.88,17,416,15,88062.75,5282.5,439926.4,5531.57,448976.95,10814.07,local_refinement,False,22095.8,472299.1,0.927723
fixed_500_backlog,29900.0,4800.0,358309.15,79443.98,437753.13,17,413,15,88062.75,5282.5,438905.9,5521.57,448557.2,10804.07,local_refinement,False,23116.3,472299.1,0.926856
fixed_500_backlog,30000.0,4900.0,357819.15,79443.98,437263.13,17,406,15,88062.75,5282.5,438536.8,5511.57,448057.2,10794.07,local_refinement,False,23485.4,472299.1,0.925818
fixed_500_backlog,30100.0,5000.0,358330.1,80943.98,439274.08,18,406,16,92695.6,8415.35,443868.95,5501.57,453191.0,13916.92,coarse,False,18153.25,472299.1,0.930076
fixed_500_backlog,30200.0,5100.0,357367.74,81516.34,438884.08,18,404,16,93276.0,8415.35,443058.75,5491.57,452791.0,13906.92,local_refinement,False,18963.45,472299.1,0.92925
fixed_500_backlog,30300.0,5200.0,356387.75,82106.34,438494.09,18,397,16,93876.0,8415.35,443058.75,5481.56,452391.0,13896.91,local_refinement,False,18963.45,472299.1,0.928425
fixed_500_backlog,30400.0,5300.0,355907.75,82196.34,438104.09,18,393,16,93976.0,8415.35,442377.8,5471.56,451991.0,13886.91,local_refinement,False,19644.4,472299.1,0.927599
fixed_500_backlog,30500.0,5400.0,354927.75,82786.34,437714.09,18,387,16,94576.0,8415.35,442056.65,5461.56,451591.0,13876.91,local_refinement,False,19965.55,472299.1,0.926773
fixed_500_backlog,30600.0,5500.0,354389.12,82934.98,437324.1,18,386,16,94739.35,8415.35,441875.6,5451.55,451191.0,13866.9,coarse,False,20146.6,472299.1,0.925947
fixed_500_backlog,31100.0,6000.0,350620.6,95248.33,445868.93,20,367,18,108349.9,9108.27,450995.8,6004.8,460982.0,15113.07,coarse,False,11026.4,472299.1,0.944039
fixed_500_backlog,31200.0,6100.0,349633.35,95935.58,445568.93,20,366,18,109177.15,9208.27,450995.8,6004.8,460782.0,15213.07,local_refinement,False,11026.4,472299.1,0.943404
fixed_500_backlog,31300.0,6200.0,348552.0,96716.93,445268.93,20,364,18,110098.5,9308.27,450504.6,6004.8,460582.0,15313.07,local_refinement,False,11517.6,472299.1,0.942769
fixed_500_backlog,31400.0,6300.0,347392.0,97576.93,444968.93,20,356,18,111098.5,9408.27,450309.5,6004.8,460382.0,15413.07,local_refinement,False,11712.7,472299.1,0.942134
fixed_500_backlog,31500.0,6400.0,346232.0,98436.93,444668.93,20,353,18,112098.5,9508.27,450140.7,6004.8,460182.0,15513.07,local_refinement,False,11881.5,472299.1,0.941499
