product,window,headroom,retained_balance_target,first_entry,last_exit,trades,ongoing,terminal,total,ongoing_received_after_split,terminal_profit_equity_before_withdrawal,accounts,alive,evaluations,evaluation_months,evaluation_resets,evaluation_fees,activation_fees,spend,contributions,ending_owner_cash,spares_at_end,passes_forfeited_cash,passes_forfeited_capacity,max_pass_to_activation_hours,passes_awaiting_first_check_at_horizon,deaths_after_startup_year,deaths_of_pas_at_least_one_year_old,mature_pa_days,deaths_after_two_years,deaths_2026_03_30,last_death,largest_simultaneous_deaths,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,observed_days,live_pa_days,average_live_pas_event_weighted,vacant_capacity_days_including_startup,average_retained_profit_book,average_positive_retained_profit_book,average_retained_profit_per_live_pa,average_actual_cushion_book,average_actual_cushion_per_live_pa,execution,copies,signals_executed,signal_participation,allocation_sha256,job
legacy_25k,full,6780,31880.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,174124.15,138200.15,312324.3,196208.15,140619.0,98,20,159,298,132,9834.0,12250.0,22084.0,20600.0,332924.3,0,40,0,23.5,0,71,0,9151.93,52,0,2024-07-26T20:00:00,10,78,78,0,0.0513,118.9,690.31,16507.68,0,43.67,9.92,15,15,13,40,20,177,197,2384.5694,23620.2414,9.9055,24071.15,37587.35,37780.87,3794.61,38899.04,3927.03,blocking,92297,9132,0.7214409859377469,85dcce4075454c6eeb8a6d202be5e2963f9c41351c40a6fe186503337cc08782,"[""legacy_25k"", ""full"", 6780]"
legacy_25k,full,6780.1,31880.1,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,174122.15,138202.15,312324.3,196206.15,140621.0,98,20,159,298,132,9834.0,12250.0,22084.0,20600.0,332924.3,0,40,0,23.5,0,71,0,9151.93,52,0,2024-07-26T20:00:00,10,78,78,0,0.0513,118.9,690.31,16507.68,0,43.67,9.92,15,15,13,40,20,177,197,2384.5694,23620.2414,9.9055,24071.15,37587.79,37781.31,3794.66,38899.48,3927.08,blocking,92297,9132,0.7214409859377469,85dcce4075454c6eeb8a6d202be5e2963f9c41351c40a6fe186503337cc08782,"[""legacy_25k"", ""full"", 6780.1]"
legacy_25k,full,6780.11,31880.11,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,174121.95,138202.35,312324.3,196205.95,140621.2,98,20,159,298,132,9834.0,12250.0,22084.0,20600.0,332924.3,0,40,0,23.5,0,71,0,9151.93,52,0,2024-07-26T20:00:00,10,78,78,0,0.0513,118.9,690.31,16507.68,0,43.67,9.92,15,15,13,40,20,177,197,2384.5694,23620.2414,9.9055,24071.15,37587.84,37781.35,3794.66,38899.52,3927.08,blocking,92297,9132,0.7214409859377469,85dcce4075454c6eeb8a6d202be5e2963f9c41351c40a6fe186503337cc08782,"[""legacy_25k"", ""full"", 6780.11]"
legacy_25k,full,6790,31890.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,173931.15,138400.15,312331.3,196008.15,140819.0,99,20,158,294,129,9702.0,12375.0,22077.0,20600.0,332931.3,0,37,0,23.5,0,72,0,9151.93,53,0,2024-07-26T20:00:00,10,79,79,0,0.0506,118.9,672.23,16478.9,0,43.67,9.93,15,15,13,37,21,183,200,2384.5694,23649.0211,9.9175,24042.37,37637.16,37828.79,3795.02,38955.69,3927.97,blocking,92407,9132,0.7214409859377469,caff75f365774f3e25a119e718559baee8897727530ed9e625b28f9d56071fa7,"[""legacy_25k"", ""full"", 6790]"
legacy_25k,full,6800,31900.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,173731.15,138600.15,312331.3,195808.15,141019.0,99,20,158,294,129,9702.0,12375.0,22077.0,20600.0,332931.3,0,37,0,23.5,0,72,0,9151.93,53,0,2024-07-26T20:00:00,10,79,79,0,0.0506,118.9,672.23,16478.9,0,43.67,9.93,15,15,13,37,21,183,200,2384.5694,23649.0211,9.9175,24042.37,37681.0,37872.63,3799.44,38999.53,3932.39,blocking,92407,9132,0.7214409859377469,caff75f365774f3e25a119e718559baee8897727530ed9e625b28f9d56071fa7,"[""legacy_25k"", ""full"", 6800]"
legacy_25k,full,6900,32000.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,169487.25,140600.15,310087.4,191755.25,143019.0,100,20,161,296,128,9768.0,12500.0,22268.0,20600.0,330687.4,0,40,0,23.5,0,73,0,9065.93,54,0,2024-07-26T20:00:00,11,80,80,0,0.05,110.9,672.31,16494.76,0,43.67,9.92,15,15,13,40,20,184,199,2384.5694,23633.1704,9.9109,24058.22,37895.43,38095.44,3823.62,39239.58,3959.24,blocking,92356,9132,0.7214409859377469,8bdb427fd18b72e9df260c6311c93b3dd512395464b3e13e67788e6c18d3e11d,"[""legacy_25k"", ""full"", 6900]"
legacy_25k,full,7000,32100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,177217.45,136949.21,314166.66,199327.45,145019.0,99,20,160,295,128,9735.0,12375.0,22110.0,20600.0,334766.66,0,41,0,23.5,0,72,0,9402.93,53,0,2025-04-04T03:47:40,11,79,79,0,0.0506,91.26,710.23,16439.13,0,43.67,9.94,15,15,13,41,19,191,207,2384.5694,23688.7963,9.9342,24002.59,39339.49,39525.7,3960.01,40563.54,4083.22,blocking,92477,9139,0.721993995891926,bf4e80b4fa66c4638367f36afc9bbbaa6d32a14c3256e920633349dbadbb73ed,"[""legacy_25k"", ""full"", 7000]"
legacy_25k,full,7100,32200.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,175309.45,138849.21,314158.66,197327.45,147019.0,98,20,160,296,129,9768.0,12250.0,22018.0,20600.0,334758.66,0,42,0,23.5,0,71,0,9402.93,52,0,2025-04-04T03:47:40,11,78,78,0,0.0513,83.08,729.31,16537.91,0,43.67,9.9,15,15,13,42,19,191,207,2384.5694,23590.0167,9.8928,24101.37,39784.05,39962.85,4021.52,40965.24,4140.92,blocking,92059,9139,0.721993995891926,d3760540b8ea501e7c44772397a8b75d5c1d9f9ee245eb732dc1ad6b87a7c8e6,"[""legacy_25k"", ""full"", 7100]"
legacy_25k,full,7200,32300.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,175676.9,146600.15,322277.05,197128.9,149019.0,94,20,159,294,128,9702.0,11750.0,21452.0,20600.0,342877.05,0,46,0,23.5,0,67,0,9519.93,48,0,2024-07-26T20:00:00,10,74,74,0,0.0541,97.58,750.23,16581.8,0,43.67,9.88,17,17,13,46,18,182,200,2384.5694,23546.1229,9.8744,24145.27,40303.57,40486.27,4081.63,41474.92,4200.26,blocking,91873,9136,0.7217569916258493,4610fb5c203b7459b70f8eaf1dedd324b4f1f4d6efdea30183459ef7fc65d236,"[""legacy_25k"", ""full"", 7200]"
legacy_25k,full,7300,32400.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,164238.15,148600.15,312838.3,185808.15,151019.0,96,20,158,290,125,9570.0,12000.0,21570.0,20600.0,333438.3,0,42,0,23.5,0,69,0,9151.93,50,0,2024-07-26T20:00:00,10,76,76,0,0.0526,114.4,729.15,17016.24,0,43.67,9.7,15,15,13,42,19,196,214,2384.5694,23111.6822,9.6922,24579.71,39806.49,39994.39,4107.07,40967.94,4226.91,blocking,90180,9132,0.7214409859377469,2a2d5fb8fbf1ba4fe1e49ba191c9e81f3268616ffcf9ce720abc61b68e00e195,"[""legacy_25k"", ""full"", 7300]"
