case,phase,start_year,withdrawal,path_order,portfolio,weights,net_operating_cash,receipts,total_costs,copies,distinct_signals,signal_participation,homogeneous_control_matched,evaluation_months,rr_deaths,max_same_signal_deaths,same_signal_multi_death_events,worst_1d_cohort_deaths,worst_1d_fraction,worst_1d_at,half_loss_1d_episodes_min5,peak_1d_replacement_demand,possible_1d_death_cluster,worst_5d_cohort_deaths,worst_5d_fraction,worst_5d_at,half_loss_5d_episodes_min5,peak_5d_replacement_demand,possible_5d_death_cluster,worst_20d_cohort_deaths,worst_20d_fraction,worst_20d_at,half_loss_20d_episodes_min5,peak_20d_replacement_demand,possible_20d_death_cluster,book_wipeouts,days_empty_after_first_activation,deaths,accounts,alive
operating__2022__minimum__mae_first__rr_0.50,operating,2022,minimum,mae_first,rr_0.50,"{""0.50"": 1}",198870.0,209000.0,10130.0,91483,7248,0.8193533800587837,,110,"{""0.50"": 32}",11,8,11,0.846154,2023-10-04T00:00:00,2,11,11,11,0.846154,2023-09-28T00:00:00,2,11,11,12,0.923077,2023-10-03T00:00:00,3,12,12,0,0.0,32,52,20
operating__2022__minimum__mae_first__rr_0.75,operating,2022,minimum,mae_first,rr_0.75,"{""0.75"": 1}",224011.0,232000.0,7989.0,94605,6714,0.7589871128193534,,83,"{""0.75"": 22}",6,5,8,1.0,2022-06-17T00:00:00,1,8,8,9,1.0,2022-06-13T00:00:00,1,9,9,9,1.0,2022-05-23T00:00:00,1,9,9,1,19.8731,22,42,20
operating__2022__minimum__mae_first__rr_1.00,operating,2022,minimum,mae_first,rr_1.00,"{""1.00"": 1}",285959.0,293500.0,7541.0,86959,6287,0.7107970604861503,True,77,"{""1.00"": 20}",5,4,5,1.0,2022-05-12T00:00:00,0,5,5,6,1.0,2022-05-06T00:00:00,0,6,6,6,1.0,2022-04-14T00:00:00,0,6,6,2,23.6664,20,40,20
operating__2022__minimum__mae_first__rr_1.25,operating,2022,minimum,mae_first,rr_1.25,"{""1.25"": 1}",295301.0,303000.0,7699.0,82385,5956,0.6734509271822705,,78,"{""1.25"": 21}",2,3,3,1.0,2022-05-12T00:00:00,0,3,3,6,1.0,2022-05-06T00:00:00,1,6,6,6,1.0,2022-04-14T00:00:00,1,6,6,3,29.1229,21,41,20
operating__2022__minimum__mae_first__rr_1.50,operating,2022,minimum,mae_first,rr_1.50,"{""1.50"": 1}",329195.0,337000.0,7805.0,80448,5621,0.6356440122130499,,85,"{""1.50"": 20}",5,3,5,1.0,2022-05-12T00:00:00,0,5,5,6,1.0,2022-05-06T00:00:00,1,6,6,7,1.0,2022-04-14T00:00:00,2,7,7,1,55.6502,20,40,20
operating__2022__minimum__mae_first__rr_2.00,operating,2022,minimum,mae_first,rr_2.00,"{""2.00"": 1}",283693.0,293500.0,9807.0,70794,5222,0.5905903641710021,,104,"{""2.00"": 31}",4,7,5,1.0,2022-05-11T00:00:00,1,5,5,6,1.0,2022-05-05T00:00:00,2,6,6,6,1.0,2022-04-13T00:00:00,2,6,6,2,57.1206,31,51,20
operating__2022__minimum__mae_first__rr_2.50,operating,2022,minimum,mae_first,rr_2.50,"{""2.50"": 1}",360549.0,369500.0,8951.0,66699,5015,0.5673076923076923,,97,"{""2.50"": 26}",3,5,3,1.0,2022-05-12T00:00:00,0,3,3,5,1.0,2022-05-06T00:00:00,1,5,5,7,1.0,2022-04-14T00:00:00,2,7,7,4,34.0921,26,46,20
operating__2022__minimum__mae_first__rr_3.00,operating,2022,minimum,mae_first,rr_3.00,"{""3.00"": 1}",316214.0,325000.0,8786.0,64935,4835,0.5470075800429913,,92,"{""3.00"": 26}",2,5,2,1.0,2022-05-12T00:00:00,0,2,2,3,1.0,2022-05-06T00:00:00,1,4,4,4,1.0,2022-04-14T00:00:00,2,4,4,3,32.0572,26,46,20
operating__2022__minimum__mae_first__rr_3.50,operating,2022,minimum,mae_first,rr_3.50,"{""3.50"": 1}",248262.0,261000.0,12738.0,56201,4527,0.5123938879456706,,136,"{""3.50"": 46}",5,9,5,1.0,2022-05-12T00:00:00,2,5,5,7,1.0,2022-05-06T00:00:00,3,7,7,7,1.0,2022-04-14T00:00:00,3,7,7,2,65.6711,46,66,20
operating__2022__minimum__mae_first__near,operating,2022,minimum,mae_first,near,"{""0.75"": 1, ""1.25"": 1}",261400.0,269000.0,7600.0,87811,6832,0.7723264752430476,,75,"{""0.75"": 9, ""1.25"": 12}",4,2,5,1.0,2022-06-17T00:00:00,0,5,5,7,1.0,2022-06-13T00:00:00,2,7,7,7,1.0,2022-05-23T00:00:00,2,7,7,1,4.8731,21,41,20
operating__2022__minimum__mae_first__modest,operating,2022,minimum,mae_first,modest,"{""0.50"": 1, ""1.50"": 1}",253818.0,263500.0,9682.0,85464,7296,0.8247795613836763,,104,"{""0.50"": 14, ""1.50"": 16}",6,6,6,0.5,2022-03-08T00:00:00,0,6,6,6,0.75,2022-05-06T00:00:00,1,6,6,9,0.75,2022-05-02T00:00:00,2,9,9,0,0.0,30,50,20
operating__2022__minimum__mae_first__four,operating,2022,minimum,mae_first,four,"{""0.50"": 1, ""1.00"": 1, ""1.50"": 1, ""2.00"": 1}",264641.0,274000.0,9359.0,81083,7346,0.830431833597106,,98,"{""0.50"": 5, ""1.00"": 10, ""1.50"": 6, ""2.00"": 8}",2,2,3,0.666667,2022-05-10T00:00:00,0,3,3,4,0.666667,2022-05-04T00:00:00,1,4,4,7,0.666667,2022-05-02T00:00:00,2,7,7,0,0.0,29,49,20
operating__2022__minimum__mae_first__wide,operating,2022,minimum,mae_first,wide,"{""0.50"": 1, ""1.50"": 1, ""2.50"": 1, ""3.50"": 1}",301200.0,310500.0,9300.0,75070,7328,0.8283970156002713,,100,"{""0.50"": 5, ""1.50"": 7, ""2.50"": 8, ""3.50"": 8}",3,3,3,0.75,2022-05-11T00:00:00,0,3,3,5,0.75,2022-05-05T00:00:00,1,5,5,7,0.75,2022-05-02T00:00:00,2,7,7,0,0.0,28,48,20
isolation__2023__minimum__mae_first__rr_0.50,isolation,2023,minimum,mae_first,rr_0.50,"{""0.50"": 1}",-4000.0,0.0,4000.0,4720,236,0.03404009808163854,True,0,"{""0.50"": 20}",20,1,20,1.0,2023-03-01T00:00:00,1,20,20,20,1.0,2023-02-23T00:00:00,1,20,20,20,1.0,2023-02-02T00:00:00,1,20,20,1,1229.9171,20,20,0
isolation__2023__minimum__mae_first__rr_0.75,isolation,2023,minimum,mae_first,rr_0.75,"{""0.75"": 1}",266000.0,270000.0,4000.0,107620,5381,0.7761430838021058,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2023__minimum__mae_first__rr_1.00,isolation,2023,minimum,mae_first,rr_1.00,"{""1.00"": 1}",356000.0,360000.0,4000.0,101420,5071,0.731534910559723,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2023__minimum__mae_first__rr_1.25,isolation,2023,minimum,mae_first,rr_1.25,"{""1.25"": 1}",366000.0,370000.0,4000.0,96200,4810,0.6939835521569759,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2023__minimum__mae_first__rr_1.50,isolation,2023,minimum,mae_first,rr_1.50,"{""1.50"": 1}",376000.0,380000.0,4000.0,92420,4621,0.6668109668109669,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2023__minimum__mae_first__rr_2.00,isolation,2023,minimum,mae_first,rr_2.00,"{""2.00"": 1}",366000.0,370000.0,4000.0,85820,4291,0.6192812815702121,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2023__minimum__mae_first__rr_2.50,isolation,2023,minimum,mae_first,rr_2.50,"{""2.50"": 1}",466000.0,470000.0,4000.0,80660,4033,0.5822145228814782,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2023__minimum__mae_first__rr_3.00,isolation,2023,minimum,mae_first,rr_3.00,"{""3.00"": 1}",416000.0,420000.0,4000.0,77460,3873,0.5591165006496319,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2023__minimum__mae_first__rr_3.50,isolation,2023,minimum,mae_first,rr_3.50,"{""3.50"": 1}",386000.0,390000.0,4000.0,74320,3716,0.5366064981949459,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2023__minimum__mae_first__near,isolation,2023,minimum,mae_first,near,"{""0.75"": 1, ""1.25"": 1}",316000.0,320000.0,4000.0,101910,5422,0.7820568296552719,,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2023__minimum__mae_first__modest,isolation,2023,minimum,mae_first,modest,"{""0.50"": 1, ""1.50"": 1}",186000.0,190000.0,4000.0,48570,4652,0.6709937977787394,,0,"{""0.50"": 10}",10,1,10,0.5,2023-03-01T00:00:00,1,10,10,10,0.5,2023-02-23T00:00:00,1,10,10,10,0.5,2023-02-02T00:00:00,1,10,10,0,0.0,10,20,10
isolation__2023__minimum__mae_first__four,isolation,2023,minimum,mae_first,four,"{""0.50"": 1, ""1.00"": 1, ""1.50"": 1, ""2.00"": 1}",273500.0,277500.0,4000.0,71095,5211,0.7516226741670272,,0,"{""0.50"": 5}",5,1,5,0.25,2023-03-01T00:00:00,0,5,5,5,0.25,2023-02-23T00:00:00,0,5,5,5,0.25,2023-02-02T00:00:00,0,5,5,0,0.0,5,20,15
isolation__2023__minimum__mae_first__wide,isolation,2023,minimum,mae_first,wide,"{""0.50"": 1, ""1.50"": 1, ""2.50"": 1, ""3.50"": 1}",306000.0,310000.0,4000.0,63030,4791,0.6910428385980095,,0,"{""0.50"": 5}",5,1,5,0.25,2023-03-01T00:00:00,0,5,5,5,0.25,2023-02-23T00:00:00,0,5,5,5,0.25,2023-02-02T00:00:00,0,5,5,0,0.0,5,20,15
operating__2023__minimum__mae_first__rr_0.50,operating,2023,minimum,mae_first,rr_0.50,"{""0.50"": 1}",158459.0,165500.0,7041.0,67460,5057,0.7294100677917208,,77,"{""0.50"": 16}",6,4,6,1.0,2023-10-04T00:00:00,1,6,6,6,1.0,2023-09-28T00:00:00,1,6,6,6,1.0,2023-09-07T00:00:00,1,6,6,1,69.5417,16,36,20
operating__2023__minimum__mae_first__rr_0.75,operating,2023,minimum,mae_first,rr_0.75,"{""0.75"": 1}",149629.0,157500.0,7871.0,63114,4843,0.6985431991922688,,87,"{""0.75"": 20}",6,3,6,1.0,2023-10-25T00:00:00,1,6,6,6,1.0,2023-10-19T00:00:00,1,6,6,6,1.0,2023-09-28T00:00:00,1,6,6,1,47.2204,20,40,20
operating__2023__minimum__mae_first__rr_1.00,operating,2023,minimum,mae_first,rr_1.00,"{""1.00"": 1}",176775.0,184000.0,7225.0,60583,4589,0.66200230813618,True,75,"{""1.00"": 19}",5,2,5,1.0,2023-10-30T00:00:00,1,5,5,6,1.0,2023-10-24T00:00:00,1,6,6,6,1.0,2023-10-03T00:00:00,1,6,6,1,42.2197,19,38,19
operating__2023__minimum__mae_first__rr_1.25,operating,2023,minimum,mae_first,rr_1.25,"{""1.25"": 1}",176669.0,184000.0,7331.0,55210,4340,0.6261722695137787,,82,"{""1.25"": 19}",2,4,3,1.0,2023-10-26T00:00:00,0,3,3,6,1.0,2023-10-20T00:00:00,1,6,6,6,1.0,2023-09-29T00:00:00,1,6,6,1,46.1454,19,37,18
operating__2023__minimum__mae_first__rr_1.50,operating,2023,minimum,mae_first,rr_1.50,"{""1.50"": 1}",206563.0,214500.0,7937.0,50941,4138,0.5971139971139972,,89,"{""1.50"": 22}",5,2,5,1.0,2023-10-20T00:00:00,1,5,5,6,1.0,2023-10-16T00:00:00,1,6,6,6,1.0,2023-09-25T00:00:00,1,6,6,1,53.0516,22,40,18
operating__2023__minimum__mae_first__rr_2.00,operating,2023,minimum,mae_first,rr_2.00,"{""2.00"": 1}",209228.0,217500.0,8272.0,51749,4018,0.5798816568047337,,84,"{""2.00"": 25}",2,4,3,0.333333,2023-10-04T00:00:00,0,3,3,3,0.333333,2023-09-28T00:00:00,0,4,4,3,0.5,2023-09-28T00:00:00,1,6,6,0,0.0,25,44,19
operating__2023__minimum__mae_first__rr_2.50,operating,2023,minimum,mae_first,rr_2.50,"{""2.50"": 1}",263867.0,271000.0,7133.0,48332,3789,0.5469900389779125,,76,"{""2.50"": 17}",2,3,2,0.333333,2023-10-24T00:00:00,0,2,2,2,0.333333,2023-10-18T00:00:00,0,2,3,3,0.5,2023-10-05T00:00:00,1,4,4,0,0.0,17,37,20
operating__2023__minimum__mae_first__rr_3.00,operating,2023,minimum,mae_first,rr_3.00,"{""3.00"": 1}",241058.0,248500.0,7442.0,47627,3638,0.5251912804966075,,74,"{""3.00"": 20}",3,4,3,0.333333,2023-10-23T00:00:00,0,3,3,4,0.5,2023-10-19T00:00:00,1,4,4,4,0.5,2023-09-28T00:00:00,1,6,6,0,0.0,20,40,20
operating__2023__minimum__mae_first__rr_3.50,operating,2023,minimum,mae_first,rr_3.50,"{""3.50"": 1}",180528.0,191000.0,10472.0,39911,3376,0.4875090252707581,,109,"{""3.50"": 36}",3,4,4,1.0,2023-10-26T00:00:00,1,4,4,6,1.0,2023-10-20T00:00:00,1,6,6,6,1.0,2023-09-29T00:00:00,1,6,6,1,46.1454,36,55,19
operating__2023__minimum__mae_first__near,operating,2023,minimum,mae_first,near,"{""0.75"": 1, ""1.25"": 1}",173275.0,181000.0,7725.0,63165,5028,0.7252271743833838,,75,"{""0.75"": 9, ""1.25"": 13}",4,4,4,1.0,2023-10-25T00:00:00,0,4,4,6,1.0,2023-10-19T00:00:00,1,6,6,6,1.0,2023-09-28T00:00:00,1,6,6,1,9.2204,22,42,20
operating__2023__minimum__mae_first__modest,operating,2023,minimum,mae_first,modest,"{""0.50"": 1, ""1.50"": 1}",177787.0,185500.0,7713.0,57841,5151,0.7429684119428819,,86,"{""0.50"": 9, ""1.50"": 11}",3,3,3,1.0,2023-10-18T00:00:00,1,3,3,3,1.0,2023-10-12T00:00:00,1,3,3,6,1.0,2023-09-21T00:00:00,1,6,6,1,55.1405,20,39,19
operating__2023__minimum__mae_first__four,operating,2023,minimum,mae_first,four,"{""0.50"": 1, ""1.00"": 1, ""1.50"": 1, ""2.00"": 1}",178787.0,187000.0,8213.0,56997,5223,0.7533535266118564,,86,"{""0.50"": 3, ""1.00"": 6, ""1.50"": 6, ""2.00"": 9}",3,4,3,1.0,2023-10-25T00:00:00,0,3,3,3,1.0,2023-10-19T00:00:00,0,3,3,6,1.0,2023-09-28T00:00:00,1,6,6,1,48.2204,24,43,19
operating__2023__minimum__mae_first__wide,operating,2023,minimum,mae_first,wide,"{""0.50"": 1, ""1.50"": 1, ""2.50"": 1, ""3.50"": 1}",188417.0,197500.0,9083.0,50628,5341,0.7703735756526756,,101,"{""0.50"": 5, ""1.50"": 5, ""2.50"": 8, ""3.50"": 10}",4,4,4,0.5,2023-10-18T00:00:00,0,4,4,4,0.75,2023-10-16T00:00:00,0,4,4,5,0.833333,2023-09-25T00:00:00,1,6,6,0,0.0,28,46,18
isolation__2024__minimum__mae_first__rr_0.50,isolation,2024,minimum,mae_first,rr_0.50,"{""0.50"": 1}",246000.0,250000.0,4000.0,81880,4094,0.8210990774167669,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2024__minimum__mae_first__rr_0.75,isolation,2024,minimum,mae_first,rr_0.75,"{""0.75"": 1}",236000.0,240000.0,4000.0,76760,3838,0.7697553148816687,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2024__minimum__mae_first__rr_1.00,isolation,2024,minimum,mae_first,rr_1.00,"{""1.00"": 1}",276000.0,280000.0,4000.0,72300,3615,0.7251755265797393,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2024__minimum__mae_first__rr_1.25,isolation,2024,minimum,mae_first,rr_1.25,"{""1.25"": 1}",306000.0,310000.0,4000.0,68220,3411,0.6843900481540931,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2024__minimum__mae_first__rr_1.50,isolation,2024,minimum,mae_first,rr_1.50,"{""1.50"": 1}",336000.0,340000.0,4000.0,65300,3265,0.6550963081861958,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2024__minimum__mae_first__rr_2.00,isolation,2024,minimum,mae_first,rr_2.00,"{""2.00"": 1}",296000.0,300000.0,4000.0,60620,3031,0.6082681115793699,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2024__minimum__mae_first__rr_2.50,isolation,2024,minimum,mae_first,rr_2.50,"{""2.50"": 1}",346000.0,350000.0,4000.0,57320,2866,0.5751555287979129,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2024__minimum__mae_first__rr_3.00,isolation,2024,minimum,mae_first,rr_3.00,"{""3.00"": 1}",296000.0,300000.0,4000.0,55060,2753,0.5524784266506121,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2024__minimum__mae_first__rr_3.50,isolation,2024,minimum,mae_first,rr_3.50,"{""3.50"": 1}",296000.0,300000.0,4000.0,52500,2625,0.5268968285828984,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2024__minimum__mae_first__near,isolation,2024,minimum,mae_first,near,"{""0.75"": 1, ""1.25"": 1}",271000.0,275000.0,4000.0,72490,3865,0.7751704773365423,,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2024__minimum__mae_first__modest,isolation,2024,minimum,mae_first,modest,"{""0.50"": 1, ""1.50"": 1}",291000.0,295000.0,4000.0,73590,4129,0.8281187324508624,,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2024__minimum__mae_first__four,isolation,2024,minimum,mae_first,four,"{""0.50"": 1, ""1.00"": 1, ""1.50"": 1, ""2.00"": 1}",288500.0,292500.0,4000.0,70025,4163,0.8349378259125552,,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2024__minimum__mae_first__wide,isolation,2024,minimum,mae_first,wide,"{""0.50"": 1, ""1.50"": 1, ""2.50"": 1, ""3.50"": 1}",306000.0,310000.0,4000.0,64250,4153,0.8329322101885279,,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
operating__2024__minimum__mae_first__rr_0.50,operating,2024,minimum,mae_first,rr_0.50,"{""0.50"": 1}",84485.0,91500.0,7015.0,41161,3950,0.7922182109907742,,80,"{""0.50"": 19}",3,4,3,0.666667,2024-04-18T00:00:00,0,3,3,3,0.666667,2024-04-12T00:00:00,0,3,3,3,0.666667,2024-04-01T00:00:00,0,5,5,0,0.0,19,35,16
operating__2024__minimum__mae_first__rr_0.75,operating,2024,minimum,mae_first,rr_0.75,"{""0.75"": 1}",77247.0,86000.0,8753.0,39833,3706,0.7432811873245087,,91,"{""0.75"": 30}",3,7,3,0.666667,2024-04-18T00:00:00,0,3,3,4,0.666667,2024-04-12T00:00:00,0,4,4,6,0.666667,2024-04-01T00:00:00,0,7,7,0,0.0,30,46,16
operating__2024__minimum__mae_first__rr_1.00,operating,2024,minimum,mae_first,rr_1.00,"{""1.00"": 1}",89136.0,97000.0,7864.0,37585,3488,0.6996990972918756,True,83,"{""1.00"": 25}",2,4,2,0.666667,2024-04-19T00:00:00,0,2,2,3,0.666667,2024-04-15T00:00:00,0,3,3,5,0.666667,2024-04-01T00:00:00,0,7,7,0,0.0,25,41,16
operating__2024__minimum__mae_first__rr_1.25,operating,2024,minimum,mae_first,rr_1.25,"{""1.25"": 1}",83978.0,91500.0,7522.0,33045,3288,0.6597110754414125,,84,"{""1.25"": 23}",2,6,3,0.333333,2024-08-08T00:00:00,0,3,3,3,0.428571,2024-08-02T00:00:00,0,3,3,5,0.428571,2024-08-01T00:00:00,0,6,6,0,0.0,23,38,15
operating__2024__minimum__mae_first__rr_1.50,operating,2024,minimum,mae_first,rr_1.50,"{""1.50"": 1}",103485.0,110500.0,7015.0,28751,3149,0.6318218298555377,,80,"{""1.50"": 22}",2,3,2,0.222222,2025-04-04T00:00:00,0,2,2,3,0.333333,2024-07-19T00:00:00,0,3,3,3,0.333333,2024-07-01T00:00:00,0,5,5,0,0.0,22,35,13
operating__2024__minimum__mae_first__rr_2.00,operating,2024,minimum,mae_first,rr_2.00,"{""2.00"": 1}",100964.0,109500.0,8536.0,28572,2923,0.5865944210315072,,92,"{""2.00"": 29}",2,4,3,0.666667,2024-04-18T00:00:00,0,3,3,3,0.666667,2024-04-12T00:00:00,1,4,4,3,0.666667,2024-04-01T00:00:00,1,6,6,0,0.0,29,44,15
operating__2024__minimum__mae_first__rr_2.50,operating,2024,minimum,mae_first,rr_2.50,"{""2.50"": 1}",131669.0,139000.0,7331.0,25721,2768,0.5554886614489264,,82,"{""2.50"": 22}",2,2,2,0.666667,2024-04-18T00:00:00,0,2,2,2,0.666667,2024-04-12T00:00:00,0,2,2,3,0.666667,2024-04-01T00:00:00,0,4,4,0,0.0,22,37,15
operating__2024__minimum__mae_first__rr_3.00,operating,2024,minimum,mae_first,rr_3.00,"{""3.00"": 1}",127813.0,136500.0,8687.0,27581,2655,0.5328115593016255,,89,"{""3.00"": 29}",3,4,3,0.666667,2024-04-18T00:00:00,0,3,3,4,0.666667,2024-04-12T00:00:00,0,4,4,4,0.666667,2024-04-01T00:00:00,0,6,6,0,0.0,29,46,17
operating__2024__minimum__mae_first__rr_3.50,operating,2024,minimum,mae_first,rr_3.50,"{""3.50"": 1}",90490.0,99500.0,9010.0,21617,2531,0.5080289040545966,,95,"{""3.50"": 34}",3,4,4,0.666667,2024-04-18T00:00:00,0,4,4,4,0.666667,2024-04-12T00:00:00,1,5,5,4,0.666667,2024-04-01T00:00:00,1,6,6,0,0.0,34,47,13
operating__2024__minimum__mae_first__near,operating,2024,minimum,mae_first,near,"{""0.75"": 1, ""1.25"": 1}",68320.0,76000.0,7680.0,32482,3732,0.7484957882069796,,85,"{""0.75"": 14, ""1.25"": 11}",3,2,3,0.333333,2024-04-18T00:00:00,0,3,3,3,0.333333,2024-04-12T00:00:00,0,3,3,5,0.333333,2024-04-01T00:00:00,0,6,6,0,0.0,25,39,14
operating__2024__minimum__mae_first__modest,operating,2024,minimum,mae_first,modest,"{""0.50"": 1, ""1.50"": 1}",89735.0,96500.0,6765.0,32678,3985,0.7992378660248697,,80,"{""0.50"": 7, ""1.50"": 13}",3,2,3,0.333333,2024-04-18T00:00:00,0,3,3,3,0.333333,2024-04-12T00:00:00,0,3,3,3,0.333333,2024-04-01T00:00:00,0,4,4,0,0.0,20,33,13
operating__2024__minimum__mae_first__four,operating,2024,minimum,mae_first,four,"{""0.50"": 1, ""1.00"": 1, ""1.50"": 1, ""2.00"": 1}",105143.0,112500.0,7357.0,36936,4014,0.8050541516245487,,79,"{""0.50"": 4, ""1.00"": 6, ""1.50"": 6, ""2.00"": 5}",2,1,3,0.333333,2024-04-19T00:00:00,0,3,3,3,0.333333,2024-04-15T00:00:00,0,3,3,3,0.5,2024-03-22T00:00:00,1,4,4,0,0.0,21,38,17
operating__2024__minimum__mae_first__wide,operating,2024,minimum,mae_first,wide,"{""0.50"": 1, ""1.50"": 1, ""2.50"": 1, ""3.50"": 1}",112150.0,119000.0,6850.0,29854,4007,0.8036502206177296,,75,"{""0.50"": 3, ""1.50"": 9, ""2.50"": 2, ""3.50"": 6}",2,1,2,0.333333,2024-04-18T00:00:00,0,2,2,2,0.333333,2024-04-12T00:00:00,0,2,2,2,0.333333,2024-04-01T00:00:00,0,3,3,0,0.0,20,35,15
isolation__2025__minimum__mae_first__rr_0.50,isolation,2025,minimum,mae_first,rr_0.50,"{""0.50"": 1}",-4000.0,0.0,4000.0,5960,298,0.0982201713909031,True,0,"{""0.50"": 20}",20,1,20,1.0,2025-03-10T00:00:00,1,20,20,20,1.0,2025-03-04T00:00:00,1,20,20,20,1.0,2025-02-11T00:00:00,1,20,20,1,490.1028,20,20,0
isolation__2025__minimum__mae_first__rr_0.75,isolation,2025,minimum,mae_first,rr_0.75,"{""0.75"": 1}",-4000.0,0.0,4000.0,5600,280,0.0922874093605801,True,0,"{""0.75"": 20}",20,1,20,1.0,2025-03-11T00:00:00,1,20,20,20,1.0,2025-03-05T00:00:00,1,20,20,20,1.0,2025-02-12T00:00:00,1,20,20,1,489.8431,20,20,0
isolation__2025__minimum__mae_first__rr_1.00,isolation,2025,minimum,mae_first,rr_1.00,"{""1.00"": 1}",-4000.0,0.0,4000.0,7380,369,0.12162162162162163,True,0,"{""1.00"": 20}",20,1,20,1.0,2025-04-04T00:00:00,1,20,20,20,1.0,2025-03-31T00:00:00,1,20,20,20,1.0,2025-03-10T00:00:00,1,20,20,1,464.941,20,20,0
isolation__2025__minimum__mae_first__rr_1.25,isolation,2025,minimum,mae_first,rr_1.25,"{""1.25"": 1}",-4000.0,0.0,4000.0,6820,341,0.11242993735575338,True,0,"{""1.25"": 20}",20,1,20,1.0,2025-04-04T00:00:00,1,20,20,20,1.0,2025-03-31T00:00:00,1,20,20,20,1.0,2025-03-10T00:00:00,1,20,20,1,465.0514,20,20,0
isolation__2025__minimum__mae_first__rr_1.50,isolation,2025,minimum,mae_first,rr_1.50,"{""1.50"": 1}",-4000.0,0.0,4000.0,6540,327,0.10781404549950543,True,0,"{""1.50"": 20}",20,1,20,1.0,2025-04-04T00:00:00,1,20,20,20,1.0,2025-03-31T00:00:00,1,20,20,20,1.0,2025-03-10T00:00:00,1,20,20,1,465.0514,20,20,0
isolation__2025__minimum__mae_first__rr_2.00,isolation,2025,minimum,mae_first,rr_2.00,"{""2.00"": 1}",-4000.0,0.0,4000.0,640,32,0.010554089709762533,True,0,"{""2.00"": 20}",20,1,20,1.0,2025-01-13T00:00:00,1,20,20,20,1.0,2025-01-07T00:00:00,1,20,20,20,1.0,2025-01-02T00:00:00,1,20,20,1,545.9171,20,20,0
isolation__2025__minimum__mae_first__rr_2.50,isolation,2025,minimum,mae_first,rr_2.50,"{""2.50"": 1}",-4000.0,0.0,4000.0,560,28,0.009234828496042216,True,0,"{""2.50"": 20}",20,1,20,1.0,2025-01-13T00:00:00,1,20,20,20,1.0,2025-01-07T00:00:00,1,20,20,20,1.0,2025-01-02T00:00:00,1,20,20,1,545.9171,20,20,0
isolation__2025__minimum__mae_first__rr_3.00,isolation,2025,minimum,mae_first,rr_3.00,"{""3.00"": 1}",-4000.0,0.0,4000.0,3760,188,0.06200527704485488,True,0,"{""3.00"": 20}",20,1,20,1.0,2025-03-07T00:00:00,1,20,20,20,1.0,2025-03-03T00:00:00,1,20,20,20,1.0,2025-02-10T00:00:00,1,20,20,1,493.0005,20,20,0
