case,phase,start_year,withdrawal,path_order,portfolio,net_operating_cash_delta_vs_rr1,deaths_delta_vs_rr1,book_wipeouts_delta_vs_rr1,days_empty_after_first_activation_delta_vs_rr1,max_same_signal_deaths_delta_vs_rr1,possible_20d_death_cluster_delta_vs_rr1,half_loss_20d_episodes_min5_delta_vs_rr1
isolation__2022__minimum__mae_first__four,isolation,2022,minimum,mae_first,four,75000.0,-5,-1,-1523.2069,-15,-15,0
isolation__2022__minimum__mae_first__wide,isolation,2022,minimum,mae_first,wide,75000.0,-5,-1,-1523.2069,-10,-5,0
operating__2022__minimum__mae_first__rr_0.50,operating,2022,minimum,mae_first,rr_0.50,-87089.0,12,-2,-23.6664,6,6,3
operating__2022__minimum__mae_first__rr_0.75,operating,2022,minimum,mae_first,rr_0.75,-61948.0,2,-1,-3.7933,1,3,1
operating__2022__minimum__mae_first__rr_1.00,operating,2022,minimum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
operating__2022__minimum__mae_first__rr_1.25,operating,2022,minimum,mae_first,rr_1.25,9342.0,1,1,5.4565,-3,0,1
operating__2022__minimum__mae_first__rr_1.50,operating,2022,minimum,mae_first,rr_1.50,43236.0,0,-1,31.9838,0,1,2
operating__2022__minimum__mae_first__rr_2.00,operating,2022,minimum,mae_first,rr_2.00,-2266.0,11,0,33.4542,-1,0,2
operating__2022__minimum__mae_first__rr_2.50,operating,2022,minimum,mae_first,rr_2.50,74590.0,6,2,10.4257,-2,1,2
operating__2022__minimum__mae_first__rr_3.00,operating,2022,minimum,mae_first,rr_3.00,30255.0,6,1,8.3908,-3,-2,2
operating__2022__minimum__mae_first__rr_3.50,operating,2022,minimum,mae_first,rr_3.50,-37697.0,26,0,42.0047,0,1,3
operating__2022__minimum__mae_first__near,operating,2022,minimum,mae_first,near,-24559.0,1,-1,-18.7933,-1,1,2
operating__2022__minimum__mae_first__modest,operating,2022,minimum,mae_first,modest,-32141.0,10,-2,-23.6664,1,3,2
operating__2022__minimum__mae_first__four,operating,2022,minimum,mae_first,four,-21318.0,9,-2,-23.6664,-3,1,2
operating__2022__minimum__mae_first__wide,operating,2022,minimum,mae_first,wide,15241.0,8,-2,-23.6664,-2,1,2
isolation__2023__minimum__mae_first__rr_0.50,isolation,2023,minimum,mae_first,rr_0.50,-360000.0,20,1,1229.9171,20,20,1
isolation__2023__minimum__mae_first__rr_0.75,isolation,2023,minimum,mae_first,rr_0.75,-90000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mae_first__rr_1.00,isolation,2023,minimum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
isolation__2023__minimum__mae_first__rr_1.25,isolation,2023,minimum,mae_first,rr_1.25,10000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mae_first__rr_1.50,isolation,2023,minimum,mae_first,rr_1.50,20000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mae_first__rr_2.00,isolation,2023,minimum,mae_first,rr_2.00,10000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mae_first__rr_2.50,isolation,2023,minimum,mae_first,rr_2.50,110000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mae_first__rr_3.00,isolation,2023,minimum,mae_first,rr_3.00,60000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mae_first__rr_3.50,isolation,2023,minimum,mae_first,rr_3.50,30000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mae_first__near,isolation,2023,minimum,mae_first,near,-40000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mae_first__modest,isolation,2023,minimum,mae_first,modest,-170000.0,10,0,0.0,10,10,1
isolation__2023__minimum__mae_first__four,isolation,2023,minimum,mae_first,four,-82500.0,5,0,0.0,5,5,0
isolation__2023__minimum__mae_first__wide,isolation,2023,minimum,mae_first,wide,-50000.0,5,0,0.0,5,5,0
operating__2023__minimum__mae_first__rr_0.50,operating,2023,minimum,mae_first,rr_0.50,-18316.0,-3,0,27.322,1,0,0
operating__2023__minimum__mae_first__rr_0.75,operating,2023,minimum,mae_first,rr_0.75,-27146.0,1,0,5.0007,1,0,0
operating__2023__minimum__mae_first__rr_1.00,operating,2023,minimum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
operating__2023__minimum__mae_first__rr_1.25,operating,2023,minimum,mae_first,rr_1.25,-106.0,0,0,3.9257,-3,0,0
operating__2023__minimum__mae_first__rr_1.50,operating,2023,minimum,mae_first,rr_1.50,29788.0,3,0,10.8319,0,0,0
operating__2023__minimum__mae_first__rr_2.00,operating,2023,minimum,mae_first,rr_2.00,32453.0,6,-1,-42.2197,-3,0,0
operating__2023__minimum__mae_first__rr_2.50,operating,2023,minimum,mae_first,rr_2.50,87092.0,-2,-1,-42.2197,-3,-2,0
operating__2023__minimum__mae_first__rr_3.00,operating,2023,minimum,mae_first,rr_3.00,64283.0,1,-1,-42.2197,-2,0,0
operating__2023__minimum__mae_first__rr_3.50,operating,2023,minimum,mae_first,rr_3.50,3753.0,17,0,3.9257,-2,0,0
operating__2023__minimum__mae_first__near,operating,2023,minimum,mae_first,near,-3500.0,3,0,-32.9993,-1,0,0
operating__2023__minimum__mae_first__modest,operating,2023,minimum,mae_first,modest,1012.0,1,0,12.9208,-2,0,0
operating__2023__minimum__mae_first__four,operating,2023,minimum,mae_first,four,2012.0,5,0,6.0007,-2,0,0
operating__2023__minimum__mae_first__wide,operating,2023,minimum,mae_first,wide,11642.0,9,-1,-42.2197,-1,0,0
isolation__2024__minimum__mae_first__rr_0.50,isolation,2024,minimum,mae_first,rr_0.50,-30000.0,0,0,0.0,0,0,0
isolation__2024__minimum__mae_first__rr_0.75,isolation,2024,minimum,mae_first,rr_0.75,-40000.0,0,0,0.0,0,0,0
