product,window,headroom,minimum_ongoing,maximum_ongoing,minimum_minus_maximum_ongoing,minimum_total,maximum_total,minimum_minus_maximum_total,minimum_terminal,maximum_terminal,minimum_minus_maximum_terminal,minimum_deaths,maximum_deaths,minimum_minus_maximum_deaths,minimum_alive,maximum_alive,minimum_minus_maximum_alive,minimum_unfilled_account_days,maximum_unfilled_account_days,minimum_minus_maximum_unfilled_account_days,minimum_average_retained_profit_per_live_pa,maximum_average_retained_profit_per_live_pa,minimum_minus_maximum_average_retained_profit_per_live_pa,minimum_average_retained_profit_book,maximum_average_retained_profit_book,minimum_minus_maximum_average_retained_profit_book,minimum_frozen_mean_balance_std_usd,maximum_frozen_mean_balance_std_usd,minimum_minus_maximum_frozen_mean_balance_std_usd,minimum_largest_simultaneous_deaths,maximum_largest_simultaneous_deaths,minimum_minus_maximum_largest_simultaneous_deaths
legacy_50k,full,4000,579160.0,458282.65,120877.35,579160.0,458282.65,120877.35,0,0,0,49,111,-62,13,10,3,1987.04,5233.09,-3246.05,3852.76,2584.61,1268.15,62929.95,38697.94,24232.01,172.4294,408.6163,-236.1869,14,20,-6
legacy_50k,full,4100,577350.0,453131.3,124218.7,577350.0,453131.3,124218.7,0,0,0,49,111,-62,11,11,0,2147.08,5222.87,-3075.79,3907.87,2640.44,1267.43,63567.8,39545.2,24022.6,164.209,431.6903,-267.4813,14,20,-6
legacy_50k,full,4200,575900.0,447160.95,128739.05,575900.0,447160.95,128739.05,0,0,0,49,112,-63,11,12,-1,2158.92,5251.11,-3092.19,3944.9,2674.1,1270.8,64150.58,40017.65,24132.93,169.3025,403.023,-233.7205,14,20,-6
legacy_50k,full,4300,575450.0,445109.7,130340.3,575450.0,445109.7,130340.3,0,0,0,49,109,-60,11,13,-2,2155.34,5203.51,-3048.17,4053.99,2753.82,1300.17,65930.63,41265.62,24665.01,178.8188,443.9525,-265.1337,14,20,-6
legacy_50k,full,4400,569065.0,441470.75,127594.25,569065.0,441470.75,127594.25,0,0,0,50,109,-59,11,13,-2,2059.11,5162.65,-3103.54,4133.0,2809.55,1323.45,67382.32,42148.8,25233.52,185.1182,449.7914,-264.6732,14,20,-6
legacy_50k,full,4500,568245.0,547501.94,20743.06,568245.0,547501.94,20743.06,0,0,0,50,69,-19,11,11,0,2033.1,2851.48,-818.38,4209.32,3205.74,1003.58,68672.54,51199.56,17472.98,179.8782,189.5444,-9.6662,16,20,-4
legacy_50k,full,5000,559245.0,537260.48,21984.52,559245.0,537260.48,21984.52,0,0,0,50,69,-19,11,11,0,1976.21,2415.38,-439.17,4547.03,3502.35,1044.68,74290.54,56577.32,17713.22,184.9402,196.2414,-11.3012,16,20,-4
legacy_50k,full,5700,544795.0,549134.58,-4339.58,546697.1,551033.53,-4336.43,1902.1,1898.95,3.15,48,48,0,13,13,0,1762.26,1772.9,-10.64,5021.98,4218.21,803.77,82500.98,69277.93,13223.05,185.6893,159.603,26.0863,16,20,-4
legacy_50k,full,6000,536685.0,543231.4,-6546.4,536685.0,543231.4,-6546.4,0,0,0,48,48,0,13,13,0,1731.88,1764.53,-32.65,5293.62,4428.07,865.55,87030.92,72739.99,14290.93,197.428,144.9507,52.4773,16,20,-4
legacy_50k,full,6100,535785.0,541471.4,-5686.4,535785.0,541471.4,-5686.4,0,0,0,48,48,0,13,13,0,1727.51,1736.15,-8.64,5345.97,4455.51,890.46,87901.37,73243.9,14657.47,191.6078,153.0983,38.5095,16,20,-4
