product,window,withdrawal,headroom,retained_balance_target,first_entry,last_exit,trades,ongoing,terminal,total,ongoing_received_after_split,terminal_profit_equity_before_withdrawal,accounts,alive,evaluations,evaluation_months,evaluation_resets,evaluation_fees,activation_fees,spend,contributions,ending_owner_cash,spares_at_end,passes_forfeited_cash,passes_forfeited_capacity,max_pass_to_activation_hours,passes_awaiting_first_check_at_horizon,deaths_after_startup_year,deaths_of_pas_at_least_one_year_old,mature_pa_days,deaths_after_two_years,deaths_2026_03_30,last_death,largest_simultaneous_deaths,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,observed_days,live_pa_days,average_live_pas_event_weighted,vacant_capacity_days_including_startup,average_retained_profit_book,average_positive_retained_profit_book,average_retained_profit_per_live_pa,average_actual_cushion_book,average_actual_cushion_per_live_pa,live_multiple_account_days,live_mean_balance_std_usd,live_mean_balance_range_usd,live_mean_distinct_balances,live_identical_balance_fraction,frozen_multiple_account_days,frozen_mean_balance_std_usd,frozen_mean_balance_range_usd,frozen_mean_distinct_balances,frozen_identical_balance_fraction,book_empty_transitions,book_wipes_from_at_least_five_live,march30_pretrade_alive,march30_pretrade_distinct,march30_pretrade_profit_min,march30_pretrade_profit_max,job
legacy_25k,full,minimum,5700,30800.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,532814.0,0,532814.0,546000.0,13858.15,68,5,74,142,62,4686.0,8500.0,13186.0,20600.0,553414.0,0,0,0,23.5,0,51,20,26302.88,32,0,2026-06-24T21:49:40,7,63,48,15,0.0317,35.64,124.02,3393.0,111.28,56.67,15.24,15,15,13,0,0,0,0,2384.5694,36322.9308,15.2325,11368.46,80168.91,80446.68,5263.02,80149.67,5261.76,2177.2352,563.1515,2066.583,9.8703,0.0,1866.8405,412.0602,1480.7939,10.3743,0.0,3,1,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 5700]"
legacy_25k,full,minimum,6000,31100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,528239.0,0,528239.0,541050.0,8675.45,65,3,74,142,62,4686.0,8125.0,12811.0,20600.0,548839.0,0,0,0,23.5,0,50,20,26323.54,31,0,2026-06-25T23:30:00,7,62,45,17,0.0323,31.38,124.02,3414.93,111.2,63.67,15.23,15,15,13,0,0,0,0,2384.5694,36300.9968,15.2233,11390.39,83679.25,83959.2,5496.79,83658.49,5495.43,2173.2352,566.9666,2049.8906,9.8416,0.0009,1868.2988,423.7395,1488.0588,10.3258,0.001,3,0,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 6000]"
legacy_25k,full,minimum,6100,31200.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,524539.0,0,524539.0,537350.0,8675.45,65,3,74,142,62,4686.0,8125.0,12811.0,20600.0,545139.0,0,0,0,23.5,0,50,20,26341.5,31,0,2026-06-25T23:30:00,6,62,45,17,0.0323,31.31,124.02,3396.97,109.2,63.67,15.24,15,15,13,0,0,0,0,2384.5694,36318.9546,15.2308,11372.43,84895.17,85175.13,5573.91,84873.66,5572.49,2173.5201,569.2326,2086.8893,9.8454,0.0,1868.5838,426.6631,1531.1811,10.3302,0.0,3,0,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 6100]"
legacy_25k,full,minimum,6200,31300.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,524089.0,0,524089.0,536900.0,8675.45,65,3,74,142,62,4686.0,8125.0,12811.0,20600.0,544689.0,0,0,0,23.5,0,50,20,26347.06,31,1,2026-06-25T23:30:00,6,62,45,17,0.0323,31.16,124.02,3391.42,109.2,59.67,15.24,15,15,13,0,0,0,0,2384.5694,36324.5104,15.2332,11366.88,85891.27,86171.22,5638.44,85869.52,5637.02,2173.5201,573.6796,2114.9768,9.8465,0.0,1868.5838,431.1582,1563.287,10.3315,0.0,3,0,1,1,137.9,137.9,"[""legacy_25k"", ""full"", ""minimum"", 6200]"
legacy_25k,full,minimum,6300,31400.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,524989.0,13690.83,538679.83,537800.0,24187.5,65,6,74,142,62,4686.0,8125.0,12811.0,20600.0,559279.83,0,0,0,23.5,0,47,17,26685.78,28,2,2026-06-25T23:30:00,6,59,45,14,0.0339,31.16,124.02,3052.69,109.05,43.67,15.38,15,15,13,0,0,0,0,2384.5694,36663.2329,15.3752,11028.16,87440.49,87720.45,5687.11,87404.55,5684.77,2208.541,606.2098,2182.6294,9.8519,0.0,1911.313,457.5438,1608.6191,10.2797,0.0,1,0,5,5,137.9,244.7,"[""legacy_25k"", ""full"", ""minimum"", 6300]"
legacy_25k,full,minimum,6400,31500.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,526365.0,27628.47,553993.47,539150.0,38944.8,64,8,74,145,65,4785.0,8000.0,12785.0,20600.0,574593.47,0,0,0,23.5,0,44,14,27018.95,25,2,2026-06-24T21:49:40,6,56,44,12,0.0357,29.72,124.02,2829.65,108.92,43.67,15.47,15,15,13,0,0,0,0,2384.5694,36886.2806,15.4687,10805.11,88923.92,89199.05,5748.62,88870.04,5745.14,2208.541,608.4603,2207.6087,9.8849,0.0,1911.313,456.8024,1624.3433,10.3182,0.0,1,0,8,6,137.9,321.35,"[""legacy_25k"", ""full"", ""minimum"", 6400]"
legacy_25k,full,minimum,6500,31600.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,528165.0,46536.91,574701.91,540950.0,60354.2,64,12,74,145,65,4785.0,8000.0,12785.0,20600.0,595301.91,0,0,0,23.5,0,40,10,27455.75,21,2,2026-06-24T21:49:40,6,52,44,8,0.0385,29.64,124.02,2392.84,105.65,43.67,15.66,15,15,13,0,0,0,0,2384.5694,37323.0889,15.6519,10368.3,91168.33,91443.46,5824.74,91096.14,5820.13,2208.541,601.6109,2222.8499,9.9343,0.0,1911.313,452.2289,1641.9545,10.3753,0.0,1,0,12,7,137.9,411.6,"[""legacy_25k"", ""full"", ""minimum"", 6500]"
legacy_25k,full,minimum,6600,31700.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,533150.0,85421.11,618571.11,544650.0,100466.35,59,19,62,125,57,4125.0,7375.0,11500.0,20600.0,639171.11,0,0,0,23.5,0,28,2,28327.63,9,2,2026-06-03T16:47:40,6,40,39,1,0.05,26.47,126.04,1626.49,40.2,43.67,15.98,15,15,13,0,0,0,0,2384.5694,38089.4389,15.9733,9601.95,93891.75,94164.22,5878.04,93770.22,5870.44,2208.541,583.0844,2222.5984,10.1341,0.0,1911.313,444.151,1666.4215,10.6234,0.0,1,0,20,12,137.9,533.55,"[""legacy_25k"", ""full"", ""minimum"", 6600]"
legacy_25k,full,minimum,6700,31800.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,533857.0,90351.89,624208.89,545100.0,105971.75,58,20,60,121,55,3993.0,7250.0,11243.0,20600.0,644808.89,0,0,0,23.5,0,26,1,28433.28,7,1,2026-04-10T13:30:00,6,38,38,0,0.0526,26.47,126.04,1544.54,0,43.67,16.01,15,15,13,0,0,0,0,2384.5694,38171.3854,16.0077,9520.0,95115.93,95388.43,5941.9,94988.42,5933.93,2208.541,580.6768,2221.578,10.1712,0.0,1911.313,445.6769,1682.4975,10.6688,0.0,1,0,20,12,154.15,637.9,"[""legacy_25k"", ""full"", ""minimum"", 6700]"
legacy_25k,full,minimum,6800,31900.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,533273.0,96647.29,629920.29,544200.0,108997.15,56,20,58,119,55,3927.0,7000.0,10927.0,20600.0,650520.29,0,0,0,23.5,0,24,0,28538.93,5,0,2022-06-30T12:11:40,6,36,36,0,0.0556,27.48,126.04,1538.35,0,43.67,16.01,15,15,13,0,0,0,0,2384.5694,38177.5729,16.0103,9513.82,96280.42,96551.83,6013.67,96141.9,6005.02,2208.541,573.7103,2158.1798,10.174,0.0,1911.313,443.4589,1641.58,10.6883,0.0,1,0,20,12,321.35,744.7,"[""legacy_25k"", ""full"", ""minimum"", 6800]"
