case,constituent,book_wipeouts_delta_vs_constituent,days_empty_after_first_activation_delta_vs_constituent,deaths_delta_vs_constituent,max_same_signal_deaths_delta_vs_constituent,possible_20d_death_cluster_delta_vs_constituent,net_operating_cash_delta_vs_constituent,mean_total_positive_equity_delta_vs_constituent
primary__isolation__2020__mae_first__wide4,0.50,0,0.0,0,-15,-5,0.0,-28041.2476
primary__isolation__2020__mae_first__wide4,1.50,0,-459.4637,0,-15,-5,0.0,3022.9755
primary__isolation__2020__mae_first__wide4,2.50,0,-461.9954,0,-15,-5,0.0,3912.2024
primary__isolation__2020__mae_first__wide4,3.50,0,-462.175,0,-15,-5,0.0,1250.7448
primary__isolation__2020__mae_first__center4,1.25,0,-10.7338,0,-15,0,0.0,23.926
primary__isolation__2020__mae_first__center4,1.75,0,0.0,0,-15,0,0.0,-676.1215
primary__isolation__2020__mae_first__center4,2.25,0,-0.1576,0,-15,0,0.0,-2878.6632
primary__isolation__2020__mae_first__center4,2.75,0,-13.4034,0,-15,0,0.0,1569.5908
primary__isolation__2020__mae_first__without050,0.75,0,0.0,0,-15,0,0.0,667.6042
primary__isolation__2020__mae_first__without050,1.50,0,-10.6921,0,-15,0,0.0,-1178.8224
primary__isolation__2020__mae_first__without050,2.50,0,-13.2238,0,-15,0,0.0,-289.5955
primary__isolation__2020__mae_first__without050,3.50,0,-13.4034,0,-15,0,0.0,-2951.0531
primary__isolation__2020__mae_first__edge4,0.50,0,0.0,0,-10,-5,0.0,-27992.8892
primary__isolation__2020__mae_first__edge4,0.75,0,-448.7716,0,-10,-5,0.0,4917.7604
primary__isolation__2020__mae_first__edge4,3.25,0,-462.175,0,-10,-5,0.0,1216.9507
primary__isolation__2020__mae_first__edge4,3.50,0,-462.175,0,-10,-5,0.0,1299.1032
primary__isolation__2020__mae_first__extremes2,0.50,0,0.0,0,-10,-10,0.0,-18617.3791
primary__isolation__2020__mae_first__extremes2,3.50,0,-462.175,0,-10,-10,0.0,10674.6133
primary__isolation__2020__mae_first__ladder4,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__grid5,0.50,0,0.0,0,-12,-4,0.0,-29845.7202
primary__isolation__2020__mae_first__grid5,1.25,0,-459.5054,0,-12,-4,0.0,1390.1158
primary__isolation__2020__mae_first__grid5,2.00,0,-448.7716,0,-12,-4,0.0,-1001.2372
primary__isolation__2020__mae_first__grid5,2.75,0,-462.175,0,-12,-4,0.0,2935.7807
primary__isolation__2020__mae_first__grid5,3.50,0,-462.175,0,-12,-4,0.0,-553.7278
primary__isolation__2020__mae_first__ladder20,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__uniform_low,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__uniform_high,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__ladder20_reverse,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__grid10,0.50,0,0.0,0,-14,-2,0.0,-33599.1916
primary__isolation__2020__mae_first__grid10,0.83,0,-442.8396,0,-14,-2,0.0,194.9922
primary__isolation__2020__mae_first__grid10,1.17,0,-459.5054,0,-14,-2,0.0,-2012.3394
primary__isolation__2020__mae_first__grid10,1.50,0,-459.4637,0,-14,-2,0.0,-2534.9685
primary__isolation__2020__mae_first__grid10,1.83,0,-448.7716,0,-14,-2,0.0,-3273.6808
primary__isolation__2020__mae_first__grid10,2.17,0,-448.9292,0,-14,-2,0.0,-6326.5003
primary__isolation__2020__mae_first__grid10,2.50,0,-461.9954,0,-14,-2,0.0,-1645.7416
primary__isolation__2020__mae_first__grid10,2.83,0,-462.175,0,-14,-2,0.0,-1024.2331
primary__isolation__2020__mae_first__grid10,3.17,0,-462.175,0,-14,-2,0.0,-3769.1653
primary__isolation__2020__mae_first__grid10,3.50,0,-462.175,0,-14,-2,0.0,-4307.1992
primary__isolation__2020__mae_first__grid20,0.50,-1,-1865.2451,-1,-14,-2,17000.0,-32832.3253
primary__isolation__2020__mae_first__grid20,0.66,0,0.0,19,6,18,-323000.0,-90939.7828
primary__isolation__2020__mae_first__grid20,0.82,-1,-2308.0847,-1,-14,-2,17000.0,709.961
primary__isolation__2020__mae_first__grid20,0.97,-1,-2313.7639,-1,-14,-2,17000.0,235.0016
primary__isolation__2020__mae_first__grid20,1.13,-1,-2324.7505,-1,-14,-2,17000.0,-1994.4248
primary__isolation__2020__mae_first__grid20,1.29,-1,-2324.7296,-1,-14,-2,17000.0,-1130.4087
primary__isolation__2020__mae_first__grid20,1.45,-1,-2324.7088,-1,-14,-2,17000.0,-776.3281
primary__isolation__2020__mae_first__grid20,1.61,-1,-2324.7088,-1,-14,-2,17000.0,-1553.2635
primary__isolation__2020__mae_first__grid20,1.76,-1,-2314.0167,-1,-14,-2,17000.0,-2462.648
primary__isolation__2020__mae_first__grid20,1.92,-1,-2314.0167,-1,-14,-2,17000.0,-3668.4257
primary__isolation__2020__mae_first__grid20,2.08,-1,-2314.0167,-1,-14,-2,17000.0,-5302.273
primary__isolation__2020__mae_first__grid20,2.24,-1,-2314.1743,-1,-14,-2,17000.0,-4473.6618
primary__isolation__2020__mae_first__grid20,2.39,-1,-2327.2405,-1,-14,-2,17000.0,-1232.994
primary__isolation__2020__mae_first__grid20,2.55,-1,-2327.2405,-1,-14,-2,17000.0,-1700.0787
primary__isolation__2020__mae_first__grid20,2.71,-1,-2327.4201,-1,-14,-2,17000.0,13.0399
primary__isolation__2020__mae_first__grid20,2.87,-1,-2327.4201,-1,-14,-2,17000.0,-978.4008
primary__isolation__2020__mae_first__grid20,3.03,-1,-2327.4201,-1,-14,-2,17000.0,-1816.4008
primary__isolation__2020__mae_first__grid20,3.18,-1,-2327.4201,-1,-14,-2,17000.0,-3449.7567
primary__isolation__2020__mae_first__grid20,3.34,-1,-2327.4201,-1,-14,-2,17000.0,-3646.1126
primary__isolation__2020__mae_first__grid20,3.50,-1,-2327.4201,-1,-14,-2,17000.0,-3540.333
primary__isolation__2020__mae_first__grid20_reverse,0.50,-1,-1865.2451,-1,-14,-2,17000.0,-32832.3253
primary__isolation__2020__mae_first__grid20_reverse,0.66,0,0.0,19,6,18,-323000.0,-90939.7828
primary__isolation__2020__mae_first__grid20_reverse,0.82,-1,-2308.0847,-1,-14,-2,17000.0,709.961
primary__isolation__2020__mae_first__grid20_reverse,0.97,-1,-2313.7639,-1,-14,-2,17000.0,235.0016
primary__isolation__2020__mae_first__grid20_reverse,1.13,-1,-2324.7505,-1,-14,-2,17000.0,-1994.4248
primary__isolation__2020__mae_first__grid20_reverse,1.29,-1,-2324.7296,-1,-14,-2,17000.0,-1130.4087
primary__isolation__2020__mae_first__grid20_reverse,1.45,-1,-2324.7088,-1,-14,-2,17000.0,-776.3281
primary__isolation__2020__mae_first__grid20_reverse,1.61,-1,-2324.7088,-1,-14,-2,17000.0,-1553.2635
primary__isolation__2020__mae_first__grid20_reverse,1.76,-1,-2314.0167,-1,-14,-2,17000.0,-2462.648
primary__isolation__2020__mae_first__grid20_reverse,1.92,-1,-2314.0167,-1,-14,-2,17000.0,-3668.4257
primary__isolation__2020__mae_first__grid20_reverse,2.08,-1,-2314.0167,-1,-14,-2,17000.0,-5302.273
primary__isolation__2020__mae_first__grid20_reverse,2.24,-1,-2314.1743,-1,-14,-2,17000.0,-4473.6618
primary__isolation__2020__mae_first__grid20_reverse,2.39,-1,-2327.2405,-1,-14,-2,17000.0,-1232.994
primary__isolation__2020__mae_first__grid20_reverse,2.55,-1,-2327.2405,-1,-14,-2,17000.0,-1700.0787
primary__isolation__2020__mae_first__grid20_reverse,2.71,-1,-2327.4201,-1,-14,-2,17000.0,13.0399
primary__isolation__2020__mae_first__grid20_reverse,2.87,-1,-2327.4201,-1,-14,-2,17000.0,-978.4008
primary__isolation__2020__mae_first__grid20_reverse,3.03,-1,-2327.4201,-1,-14,-2,17000.0,-1816.4008
primary__isolation__2020__mae_first__grid20_reverse,3.18,-1,-2327.4201,-1,-14,-2,17000.0,-3449.7567
primary__isolation__2020__mae_first__grid20_reverse,3.34,-1,-2327.4201,-1,-14,-2,17000.0,-3646.1126
primary__isolation__2020__mae_first__grid20_reverse,3.50,-1,-2327.4201,-1,-14,-2,17000.0,-3540.333
primary__operating__2020__mae_first__wide4,0.50,-1,-32.9072,-30,-7,-3,238496.0,38157.8446
primary__operating__2020__mae_first__wide4,1.50,-2,-0.4664,-2,-4,-3,-21763.0,3190.3038
primary__operating__2020__mae_first__wide4,2.50,-2,-0.4664,-8,-4,-1,-61506.0,-9048.2224
primary__operating__2020__mae_first__wide4,3.50,-2,-1.0595,-19,-3,-3,19681.0,423.0322
primary__operating__2020__mae_first__center4,1.25,0,0.0,-1,0,-1,23675.0,7471.7692
primary__operating__2020__mae_first__center4,1.75,0,0.1576,6,1,-1,-25578.0,-4294.5693
primary__operating__2020__mae_first__center4,2.25,0,0.0,3,-1,-1,-7207.0,-5850.1933
primary__operating__2020__mae_first__center4,2.75,0,-0.1438,-6,-2,1,4407.0,2426.5032
primary__operating__2020__mae_first__edge4,0.50,-1,-32.9072,-12,-6,1,173154.0,28520.2582
primary__operating__2020__mae_first__edge4,0.75,-3,-40.6838,-1,-3,1,87690.0,12881.2921
primary__operating__2020__mae_first__edge4,3.25,-2,-1.0595,20,-1,6,-123623.0,-23719.0321
primary__operating__2020__mae_first__edge4,3.50,-2,-1.0595,-1,-2,1,-45661.0,-9214.5543
primary__operating__2020__mae_first__without050,0.75,-1,-40.375,-3,-3,-1,129638.0,16194.7299
primary__operating__2020__mae_first__without050,1.50,0,-0.1576,14,-3,-1,-45157.0,-3133.8447
primary__operating__2020__mae_first__without050,2.50,0,-0.1576,8,-3,1,-84900.0,-15372.371
primary__operating__2020__mae_first__without050,3.50,0,-0.7507,-3,-2,-1,-3713.0,-5901.1164
primary__operating__2020__mae_first__extremes2,0.50,-1,-32.9072,1,-3,2,145255.0,23305.1395
primary__operating__2020__mae_first__extremes2,3.50,-2,-1.0595,12,1,2,-73560.0,-14429.6729
primary__operating__2020__mae_first__ladder4,1.00,0,0.0,8,0,0,5519.0,227.7767
primary__operating__2020__mae_first__grid5,0.50,-1,-32.9072,-12,-7,-2,197905.0,31941.3401
primary__operating__2020__mae_first__grid5,1.25,-2,-0.4664,14,-2,-1,-35089.0,-2310.6092
primary__operating__2020__mae_first__grid5,2.00,-2,-0.3088,15,-4,0,-44347.0,-14057.2257
primary__operating__2020__mae_first__grid5,2.75,-2,-0.6102,9,-4,1,-54357.0,-7355.8752
primary__operating__2020__mae_first__grid5,3.50,-2,-1.0595,-1,-3,-2,-20910.0,-5793.4723
primary__operating__2020__mae_first__uniform_low,1.00,1,7.1593,23,1,7,21880.0,-11493.1073
primary__operating__2020__mae_first__ladder20,1.00,0,0.0,7,0,0,6177.0,-115.3426
primary__operating__2020__mae_first__grid10,0.50,-1,-32.9072,-32,-7,-4,244745.0,38762.3276
primary__operating__2020__mae_first__grid10,0.83,-2,-29.4942,-10,-3,-4,88916.0,15232.969
primary__operating__2020__mae_first__grid10,1.17,-2,-0.4664,-14,-3,-4,-25455.0,6272.1934
primary__operating__2020__mae_first__grid10,1.50,-2,-0.4664,-4,-4,-4,-15514.0,3794.7868
primary__operating__2020__mae_first__grid10,1.83,-2,-0.3088,2,-1,-2,-43943.0,-8096.137
primary__operating__2020__mae_first__grid10,2.17,-2,-0.4664,-6,-5,-3,7315.0,-4324.2365
primary__operating__2020__mae_first__grid10,2.50,-2,-0.4664,-10,-4,-2,-55257.0,-8443.7394
primary__operating__2020__mae_first__grid10,2.83,-2,-0.6102,-9,-4,-1,-23598.0,-3720.894
primary__operating__2020__mae_first__grid10,3.17,-2,-0.3984,-15,-3,-1,-12601.0,-2340.2975
primary__operating__2020__mae_first__grid10,3.50,-2,-1.0595,-21,-3,-4,25930.0,1027.5152
primary__operating__2020__mae_first__uniform_high,1.00,0,0.0,0,0,0,-36033.0,8141.1452
primary__operating__2020__mae_first__ladder20_reverse,1.00,0,0.0,10,0,0,-13495.0,-431.1914
primary__operating__2020__mae_first__grid20,0.50,-1,-32.9072,-24,-6,-4,245232.0,40633.3842
primary__operating__2020__mae_first__grid20,0.66,0,0.0,-7,-3,-4,161891.0,21079.926
primary__operating__2020__mae_first__grid20,0.82,-3,-54.7567,-6,-2,-3,108294.0,19416.0534
primary__operating__2020__mae_first__grid20,0.97,-2,-1.056,-11,-3,-7,78721.0,18793.0549
primary__operating__2020__mae_first__grid20,1.13,-2,-0.4664,-6,-3,-5,-23335.0,10642.7849
primary__operating__2020__mae_first__grid20,1.29,-2,-0.4664,14,0,0,-28390.0,2270.5051
primary__operating__2020__mae_first__grid20,1.45,-2,-0.4664,7,-3,-3,-7085.0,6926.2355
primary__operating__2020__mae_first__grid20,1.61,-2,-0.3088,13,0,-3,-18797.0,-1747.7614
primary__operating__2020__mae_first__grid20,1.76,-2,-0.3088,9,0,-3,-37648.0,-5809.6487
primary__operating__2020__mae_first__grid20,1.92,-2,-0.3088,3,-3,-3,-2368.0,-4536.6301
primary__operating__2020__mae_first__grid20,2.08,-2,-0.3088,9,-1,-2,-17367.0,-4655.9358
primary__operating__2020__mae_first__grid20,2.24,-2,-0.4664,6,-2,-3,-10794.0,-6356.448
primary__operating__2020__mae_first__grid20,2.39,-2,-0.4664,-4,-3,-3,-35756.0,-1930.7115
primary__operating__2020__mae_first__grid20,2.55,-2,-0.4664,0,-3,-2,-63067.0,-7204.2792
primary__operating__2020__mae_first__grid20,2.71,-2,-0.6102,-3,-3,-1,-43613.0,-1850.7917
primary__operating__2020__mae_first__grid20,2.87,-2,-0.6102,-1,-3,-1,-20562.0,-1911.9967
primary__operating__2020__mae_first__grid20,3.03,-2,-0.3984,-5,-2,-1,-21145.0,-2230.263
primary__operating__2020__mae_first__grid20,3.18,-2,-1.0595,-8,-2,-1,-18138.0,-1703.6761
primary__operating__2020__mae_first__grid20,3.34,-2,-1.0595,7,0,0,-23055.0,-6604.775
primary__operating__2020__mae_first__grid20,3.50,-2,-1.0595,-13,-2,-4,26417.0,2898.5718
primary__operating__2020__mae_first__grid20_reverse,0.50,1,-31.8477,-40,-7,-3,291612.0,50702.8569
primary__operating__2020__mae_first__grid20_reverse,0.66,2,1.0595,-23,-4,-3,208271.0,31149.3987
primary__operating__2020__mae_first__grid20_reverse,0.82,-1,-53.6972,-22,-3,-2,154674.0,29485.5261
primary__operating__2020__mae_first__grid20_reverse,0.97,0,0.0035,-27,-4,-6,125101.0,28862.5276
primary__operating__2020__mae_first__grid20_reverse,1.13,0,0.5931,-22,-4,-4,23045.0,20712.2576
primary__operating__2020__mae_first__grid20_reverse,1.29,0,0.5931,-2,-1,1,17990.0,12339.9778
primary__operating__2020__mae_first__grid20_reverse,1.45,0,0.5931,-9,-4,-2,39295.0,16995.7082
primary__operating__2020__mae_first__grid20_reverse,1.61,0,0.7507,-3,-1,-2,27583.0,8321.7113
primary__operating__2020__mae_first__grid20_reverse,1.76,0,0.7507,-7,-1,-2,8732.0,4259.824
primary__operating__2020__mae_first__grid20_reverse,1.92,0,0.7507,-13,-4,-2,44012.0,5532.8426
primary__operating__2020__mae_first__grid20_reverse,2.08,0,0.7507,-7,-2,-1,29013.0,5413.5369
primary__operating__2020__mae_first__grid20_reverse,2.24,0,0.5931,-10,-3,-2,35586.0,3713.0247
primary__operating__2020__mae_first__grid20_reverse,2.39,0,0.5931,-20,-4,-2,10624.0,8138.7612
primary__operating__2020__mae_first__grid20_reverse,2.55,0,0.5931,-16,-4,-1,-16687.0,2865.1935
primary__operating__2020__mae_first__grid20_reverse,2.71,0,0.4493,-19,-4,0,2767.0,8218.681
primary__operating__2020__mae_first__grid20_reverse,2.87,0,0.4493,-17,-4,0,25818.0,8157.476
primary__operating__2020__mae_first__grid20_reverse,3.03,0,0.6611,-21,-3,0,25235.0,7839.2097
primary__operating__2020__mae_first__grid20_reverse,3.18,0,0.0,-24,-3,0,28242.0,8365.7966
primary__operating__2020__mae_first__grid20_reverse,3.34,0,0.0,-9,-1,1,23325.0,3464.6977
primary__operating__2020__mae_first__grid20_reverse,3.50,0,0.0,-29,-3,-3,72797.0,12968.0445
primary__isolation__2021__mae_first__wide4,0.50,0,-207.0,0,-15,-5,0.0,5697.0263
primary__isolation__2021__mae_first__wide4,1.50,0,-219.6666,0,-15,-5,0.0,145.5603
primary__isolation__2021__mae_first__wide4,2.50,0,0.0,0,-15,-5,0.0,-16858.3878
primary__isolation__2021__mae_first__wide4,3.50,0,-217.7183,0,-15,-5,0.0,-6882.3663
primary__isolation__2021__mae_first__edge4,0.50,0,0.0,0,-10,0,0.0,4212.959
primary__isolation__2021__mae_first__edge4,0.75,0,-12.9551,0,-10,0,0.0,3400.0855
primary__isolation__2021__mae_first__edge4,3.25,0,-10.7183,0,-10,0,0.0,-3497.1301
primary__isolation__2021__mae_first__edge4,3.50,0,-10.7183,0,-10,0,0.0,-8366.4336
primary__isolation__2021__mae_first__without050,0.75,0,-219.9551,0,-15,-5,0.0,4906.9084
primary__isolation__2021__mae_first__without050,1.50,0,-219.6666,0,-15,-5,0.0,168.3158
primary__isolation__2021__mae_first__without050,2.50,0,0.0,0,-15,-5,0.0,-16835.6323
primary__isolation__2021__mae_first__without050,3.50,0,-217.7183,0,-15,-5,0.0,-6859.6108
primary__isolation__2021__mae_first__center4,1.25,-1,-1966.9625,-5,-15,-5,112500.0,24858.5352
primary__isolation__2021__mae_first__center4,1.75,-1,-1956.2088,-5,-15,-5,112500.0,10743.5231
primary__isolation__2021__mae_first__center4,2.25,0,0.0,15,5,15,-337500.0,-82915.4587
primary__isolation__2021__mae_first__center4,2.75,-1,-1965.9171,-5,-15,-5,112500.0,14771.4346
primary__isolation__2021__mae_first__extremes2,0.50,0,0.0,0,-10,0,0.0,5137.3657
primary__isolation__2021__mae_first__extremes2,3.50,0,-10.7183,0,-10,0,0.0,-7442.0269
primary__isolation__2021__mae_first__ladder4,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2021__mae_first__grid5,0.50,0,-104.75,0,-16,-4,0.0,4562.75
primary__isolation__2021__mae_first__grid5,1.25,0,-118.462,0,-16,-4,0.0,2914.2735
primary__isolation__2021__mae_first__grid5,2.00,0,0.0,0,-16,-4,0.0,-13845.5849
primary__isolation__2021__mae_first__grid5,2.75,0,-117.4166,0,-16,-4,0.0,-7172.8271
primary__isolation__2021__mae_first__grid5,3.50,0,-115.4683,0,-16,-4,0.0,-8016.6426
primary__isolation__2021__mae_first__ladder20,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2021__mae_first__uniform_low,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2021__mae_first__uniform_high,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2021__mae_first__ladder20_reverse,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2021__mae_first__grid10,0.50,-1,-1953.2505,-4,-14,-6,89000.0,20588.0478
primary__isolation__2021__mae_first__grid10,0.83,-1,-1967.0421,-4,-14,-6,89000.0,19864.9676
primary__isolation__2021__mae_first__grid10,1.17,-1,-1967.2002,-4,-14,-6,89000.0,19024.477
primary__isolation__2021__mae_first__grid10,1.50,-1,-1965.9171,-4,-14,-6,89000.0,15036.5818
primary__isolation__2021__mae_first__grid10,1.83,0,0.0,16,6,14,-381000.0,-90611.2691
primary__isolation__2021__mae_first__grid10,2.17,0,0.0,16,6,14,-331000.0,-81077.3146
primary__isolation__2021__mae_first__grid10,2.50,-1,-1746.2505,-4,-14,-6,89000.0,-1967.3663
primary__isolation__2021__mae_first__grid10,2.83,-1,-1965.9171,-4,-14,-6,89000.0,7803.9337
primary__isolation__2021__mae_first__grid10,3.17,-1,-1965.9171,-4,-14,-6,89000.0,11531.23
primary__isolation__2021__mae_first__grid10,3.50,-1,-1963.9688,-4,-14,-6,89000.0,8008.6552
primary__isolation__2021__mae_first__grid20,0.50,-1,-1953.2505,-4,-15,-4,92950.0,20838.9243
primary__isolation__2021__mae_first__grid20,0.66,-1,-1965.9588,-4,-15,-4,92950.0,20946.2175
primary__isolation__2021__mae_first__grid20,0.82,-1,-1967.2002,-4,-15,-4,92950.0,20115.844
primary__isolation__2021__mae_first__grid20,0.97,-1,-1971.0005,-4,-15,-4,92950.0,17646.7689
primary__isolation__2021__mae_first__grid20,1.13,-1,-1967.2056,-4,-15,-4,92950.0,17436.0515
primary__isolation__2021__mae_first__grid20,1.29,-1,-1966.2056,-4,-15,-4,92950.0,18401.199
primary__isolation__2021__mae_first__grid20,1.45,-1,-1965.9171,-4,-15,-4,92950.0,13974.4953
primary__isolation__2021__mae_first__grid20,1.61,-1,-1963.8139,-4,-15,-4,92950.0,10986.2419
primary__isolation__2021__mae_first__grid20,1.76,-1,-1956.2088,-4,-15,-4,92950.0,4720.4357
primary__isolation__2021__mae_first__grid20,1.92,0,0.0,16,5,16,-327050.0,-82689.1397
primary__isolation__2021__mae_first__grid20,2.08,-1,-1956.2088,-4,-15,-4,92950.0,9107.8107
primary__isolation__2021__mae_first__grid20,2.24,0,0.0,16,5,16,-347050.0,-87587.6213
primary__isolation__2021__mae_first__grid20,2.39,0,0.0,16,5,16,-397050.0,-89646.903
primary__isolation__2021__mae_first__grid20,2.55,0,0.0,16,5,16,-416050.0,-92810.3936
primary__isolation__2021__mae_first__grid20,2.71,-1,-1963.2296,-4,-15,-4,92950.0,9041.3471
primary__isolation__2021__mae_first__grid20,2.87,-1,-1965.9171,-4,-15,-4,92950.0,10696.1805
primary__isolation__2021__mae_first__grid20,3.03,-1,-1965.9171,-4,-15,-4,92950.0,11856.1805
primary__isolation__2021__mae_first__grid20,3.18,-1,-1965.9171,-4,-15,-4,92950.0,11782.1064
primary__isolation__2021__mae_first__grid20,3.34,-1,-1963.9688,-4,-15,-4,92950.0,8516.3174
primary__isolation__2021__mae_first__grid20,3.50,-1,-1963.9688,-4,-15,-4,92950.0,8259.5317
primary__isolation__2021__mae_first__grid20_reverse,0.50,-1,-1953.2505,-4,-15,-4,92950.0,20838.9243
primary__isolation__2021__mae_first__grid20_reverse,0.66,-1,-1965.9588,-4,-15,-4,92950.0,20946.2175
primary__isolation__2021__mae_first__grid20_reverse,0.82,-1,-1967.2002,-4,-15,-4,92950.0,20115.844
primary__isolation__2021__mae_first__grid20_reverse,0.97,-1,-1971.0005,-4,-15,-4,92950.0,17646.7689
primary__isolation__2021__mae_first__grid20_reverse,1.13,-1,-1967.2056,-4,-15,-4,92950.0,17436.0515
primary__isolation__2021__mae_first__grid20_reverse,1.29,-1,-1966.2056,-4,-15,-4,92950.0,18401.199
primary__isolation__2021__mae_first__grid20_reverse,1.45,-1,-1965.9171,-4,-15,-4,92950.0,13974.4953
primary__isolation__2021__mae_first__grid20_reverse,1.61,-1,-1963.8139,-4,-15,-4,92950.0,10986.2419
primary__isolation__2021__mae_first__grid20_reverse,1.76,-1,-1956.2088,-4,-15,-4,92950.0,4720.4357
primary__isolation__2021__mae_first__grid20_reverse,1.92,0,0.0,16,5,16,-327050.0,-82689.1397
primary__isolation__2021__mae_first__grid20_reverse,2.08,-1,-1956.2088,-4,-15,-4,92950.0,9107.8107
primary__isolation__2021__mae_first__grid20_reverse,2.24,0,0.0,16,5,16,-347050.0,-87587.6213
primary__isolation__2021__mae_first__grid20_reverse,2.39,0,0.0,16,5,16,-397050.0,-89646.903
primary__isolation__2021__mae_first__grid20_reverse,2.55,0,0.0,16,5,16,-416050.0,-92810.3936
primary__isolation__2021__mae_first__grid20_reverse,2.71,-1,-1963.2296,-4,-15,-4,92950.0,9041.3471
primary__isolation__2021__mae_first__grid20_reverse,2.87,-1,-1965.9171,-4,-15,-4,92950.0,10696.1805
primary__isolation__2021__mae_first__grid20_reverse,3.03,-1,-1965.9171,-4,-15,-4,92950.0,11856.1805
primary__isolation__2021__mae_first__grid20_reverse,3.18,-1,-1965.9171,-4,-15,-4,92950.0,11782.1064
primary__isolation__2021__mae_first__grid20_reverse,3.34,-1,-1963.9688,-4,-15,-4,92950.0,8516.3174
primary__isolation__2021__mae_first__grid20_reverse,3.50,-1,-1963.9688,-4,-15,-4,92950.0,8259.5317
primary__operating__2021__mae_first__wide4,0.50,-1,-25.3051,-8,-7,-3,151094.0,21151.1051
primary__operating__2021__mae_first__wide4,1.50,0,0.0,13,-3,2,-59912.0,-5967.0289
primary__operating__2021__mae_first__wide4,2.50,-6,-54.1889,-13,-2,2,43488.0,9942.1164
primary__operating__2021__mae_first__wide4,3.50,-2,-1.9593,1,-1,1,5776.0,-3422.1296
primary__operating__2021__mae_first__center4,1.25,-2,-10.091,3,2,0,10130.0,3428.3598
primary__operating__2021__mae_first__center4,1.75,0,0.0,0,1,-3,-10297.0,-2073.0088
primary__operating__2021__mae_first__center4,2.25,-2,-6.6618,-7,0,-1,33205.0,4747.0143
primary__operating__2021__mae_first__center4,2.75,-4,-43.6264,-21,-1,1,92313.0,18502.8006
primary__operating__2021__mae_first__edge4,0.50,-1,-25.3051,-8,-7,-2,123209.0,21046.9175
primary__operating__2021__mae_first__edge4,0.75,-2,-24.4167,19,-2,1,25557.0,1592.0592
primary__operating__2021__mae_first__edge4,3.25,-3,-12.5748,12,-1,5,-79544.0,-15914.9273
primary__operating__2021__mae_first__edge4,3.50,-2,-1.9593,1,-1,2,-22109.0,-3526.3171
primary__operating__2021__mae_first__without050,0.75,-2,-24.4167,12,-2,-2,75977.0,7230.9128
primary__operating__2021__mae_first__without050,1.50,0,0.0,6,-3,0,-37377.0,-432.3628
primary__operating__2021__mae_first__without050,2.50,-6,-54.1889,-20,-2,0,66023.0,15476.7825
primary__operating__2021__mae_first__without050,3.50,-2,-1.9593,-6,-1,-1,28311.0,2112.5366
primary__operating__2021__mae_first__extremes2,0.50,-1,-25.3051,3,-5,-2,93757.0,15955.3535
primary__operating__2021__mae_first__extremes2,3.50,-2,-1.9593,12,1,2,-51561.0,-8617.8811
primary__operating__2021__mae_first__grid5,0.50,-1,-25.3051,-13,-8,-5,143049.0,22305.7823
primary__operating__2021__mae_first__grid5,1.25,-2,-10.091,7,-1,0,-30134.0,-1391.1931
primary__operating__2021__mae_first__grid5,2.00,-1,-0.3308,-15,-4,0,38134.0,5155.6355
primary__operating__2021__mae_first__grid5,2.75,-4,-43.6264,-17,-4,1,52049.0,13683.2477
primary__operating__2021__mae_first__grid5,3.50,-2,-1.9593,-4,-2,-1,-2269.0,-2267.4524
primary__operating__2021__mae_first__ladder4,1.00,0,0.0,9,0,0,-4804.0,-1142.5411
primary__operating__2021__mae_first__ladder20,1.00,0,0.0,10,0,0,-5962.0,-1894.2174
primary__operating__2021__mae_first__uniform_low,1.00,1,7.1592,26,5,12,9241.0,-15064.5815
primary__operating__2021__mae_first__grid10,0.50,0,-8.2843,-20,-7,-6,180721.0,27211.3662
primary__operating__2021__mae_first__grid10,0.83,-1,-6.3114,14,-2,0,36463.0,1229.1783
primary__operating__2021__mae_first__grid10,1.17,-1,-8.8468,0,0,-1,-37632.0,2831.608
primary__operating__2021__mae_first__grid10,1.50,1,17.0208,1,-3,-1,-30285.0,93.2322
primary__operating__2021__mae_first__grid10,1.83,1,17.0208,-1,0,-4,-26672.0,-3889.473
primary__operating__2021__mae_first__grid10,2.17,-2,9.0083,-17,-4,-2,72917.0,12094.2625
primary__operating__2021__mae_first__grid10,2.50,-5,-37.1681,-25,-2,-1,73115.0,16002.3775
primary__operating__2021__mae_first__grid10,2.83,-2,-6.9887,-21,-3,0,55280.0,12260.8185
primary__operating__2021__mae_first__grid10,3.17,-2,14.5458,-5,-1,1,-7578.0,-1905.3254
primary__operating__2021__mae_first__grid10,3.50,-1,15.0615,-11,-1,-2,35403.0,2638.1316
