case,experiment,phase,start_year,path_order,portfolio,nominal_sleeves,rr_count,rr_width,mean_target,net_operating_cash,receipts,total_costs,copies,prior_control_reproduced,max_same_signal_deaths,same_signal_multi_death_events,worst_1d_cohort_deaths,worst_1d_fraction,worst_1d_at,half_loss_1d_episodes_min5,peak_1d_replacement_demand,possible_1d_death_cluster,worst_5d_cohort_deaths,worst_5d_fraction,worst_5d_at,half_loss_5d_episodes_min5,peak_5d_replacement_demand,possible_5d_death_cluster,worst_20d_cohort_deaths,worst_20d_fraction,worst_20d_at,half_loss_20d_episodes_min5,peak_20d_replacement_demand,possible_20d_death_cluster,book_wipeouts,days_empty_after_first_activation,deaths,accounts,alive,largest_within_sleeve_signal_loss,max_sleeves_lost_same_signal,multi_sleeve_signal_events,max_sleeves_lost_same_day,multi_sleeve_day_events,sleeve_loss_events,full_copier_sleeve_loss_events,observed_live_days,mean_live_accounts,mean_occupied_sleeves,mean_equal_headroom_fraction,mean_effective_headroom_groups,mean_total_headroom,mean_total_positive_equity,march1_alive,march_cohort_deaths,march_total_deaths,march31_alive
primary__isolation__2024__mae_first__rr_1.50,primary,isolation,2024,mae_first,rr_1.50,1,1,0.0,6800.0,336000.0,340000.0,4000.0,65300,True,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,124819.93297297298,126162.26810810811,20,0,0,20
primary__isolation__2024__mae_first__rr_1.61,primary,isolation,2024,mae_first,rr_1.61,1,1,0.0,6800.0,316000.0,320000.0,4000.0,64420,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,121494.68864864865,122670.75567567568,20,0,0,20
primary__isolation__2024__mae_first__rr_1.75,primary,isolation,2024,mae_first,rr_1.75,1,1,0.0,6800.0,336000.0,340000.0,4000.0,63120,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,133805.0291891892,135170.28972972973,20,0,0,20
primary__isolation__2024__mae_first__rr_1.76,primary,isolation,2024,mae_first,rr_1.76,1,1,0.0,6800.0,336000.0,340000.0,4000.0,63060,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,134281.7535135135,135647.23027027026,20,0,0,20
primary__isolation__2024__mae_first__rr_1.83,primary,isolation,2024,mae_first,rr_1.83,1,1,0.0,6800.0,346000.0,350000.0,4000.0,62360,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,137969.2227027027,139280.6345945946,20,0,0,20
primary__isolation__2024__mae_first__rr_1.92,primary,isolation,2024,mae_first,rr_1.92,1,1,0.0,6800.0,296000.0,300000.0,4000.0,61620,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,128224.29837837837,129563.11567567568,20,0,0,20
primary__isolation__2024__mae_first__rr_2.00,primary,isolation,2024,mae_first,rr_2.00,1,1,0.0,6800.0,296000.0,300000.0,4000.0,60620,True,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,134971.7837837838,136352.89729729728,20,0,0,20
primary__isolation__2024__mae_first__rr_2.08,primary,isolation,2024,mae_first,rr_2.08,1,1,0.0,6800.0,306000.0,310000.0,4000.0,60160,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,131293.98702702703,132655.3545945946,20,0,0,20
primary__isolation__2024__mae_first__rr_2.17,primary,isolation,2024,mae_first,rr_2.17,1,1,0.0,6800.0,286000.0,290000.0,4000.0,59620,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,128604.80540540541,129717.44,20,0,0,20
primary__isolation__2024__mae_first__rr_2.24,primary,isolation,2024,mae_first,rr_2.24,1,1,0.0,6800.0,296000.0,300000.0,4000.0,59360,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,132163.1827027027,133342.90486486486,20,0,0,20
