case,book_wipeouts_delta_vs_rr1,days_empty_after_first_activation_delta_vs_rr1,deaths_delta_vs_rr1,max_same_signal_deaths_delta_vs_rr1,possible_20d_death_cluster_delta_vs_rr1,net_operating_cash_delta_vs_rr1,mean_total_positive_equity_delta_vs_rr1
primary__operating__2022__mae_first__ladder20_reverse,0,0.0,7,0,0,-4547.0,886.9245
primary__isolation__2023__mae_first__rr_0.50,1,1229.9171,20,20,20,-360000.0,-107089.5539
primary__isolation__2023__mae_first__rr_0.66,1,987.116,20,20,20,-360000.0,-93571.4164
primary__isolation__2023__mae_first__rr_0.75,0,0.0,0,0,0,-90000.0,-16736.5729
primary__isolation__2023__mae_first__rr_0.82,0,0.0,0,0,0,-40000.0,-5468.9736
primary__operating__2022__mae_first__grid20,-2,-23.6664,3,-3,0,27361.0,3768.005
primary__isolation__2023__mae_first__rr_0.83,0,0.0,0,0,0,-40000.0,-7022.8915
primary__isolation__2023__mae_first__rr_0.97,0,0.0,0,0,0,0.0,-2990.7209
primary__isolation__2023__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2023__mae_first__rr_1.13,0,0.0,0,0,0,70000.0,-87.4597
primary__isolation__2023__mae_first__rr_1.17,0,0.0,0,0,0,60000.0,1167.3953
primary__isolation__2023__mae_first__rr_1.25,0,0.0,0,0,0,10000.0,-2272.3465
primary__operating__2022__mae_first__grid20_reverse,0,42.0047,2,-3,-1,21821.0,5835.9214
primary__isolation__2023__mae_first__rr_1.29,0,0.0,0,0,0,30000.0,-3389.169
primary__isolation__2023__mae_first__rr_1.45,0,0.0,0,0,0,10000.0,-7282.8388
primary__isolation__2023__mae_first__rr_1.50,0,0.0,0,0,0,20000.0,-4374.1535
primary__isolation__2023__mae_first__rr_1.61,0,0.0,0,0,0,20000.0,-3107.3566
primary__isolation__2023__mae_first__rr_1.75,0,0.0,0,0,0,40000.0,10214.7442
primary__isolation__2023__mae_first__rr_1.76,0,0.0,0,0,0,50000.0,9231.2752
primary__isolation__2023__mae_first__rr_1.83,0,0.0,0,0,0,50000.0,9615.1992
primary__isolation__2023__mae_first__rr_1.92,0,0.0,0,0,0,10000.0,7986.5729
primary__isolation__2023__mae_first__rr_2.00,0,0.0,0,0,0,10000.0,12544.0558
primary__isolation__2023__mae_first__rr_2.08,0,0.0,0,0,0,40000.0,16264.3837
primary__isolation__2023__mae_first__rr_2.17,0,0.0,0,0,0,30000.0,14322.0946
primary__isolation__2023__mae_first__rr_2.24,0,0.0,0,0,0,50000.0,21213.1868
primary__isolation__2023__mae_first__rr_2.25,0,0.0,0,0,0,50000.0,21839.6899
primary__isolation__2023__mae_first__rr_2.39,0,0.0,0,0,0,100000.0,27392.3543
primary__isolation__2023__mae_first__rr_2.50,0,0.0,0,0,0,110000.0,27887.4295
primary__isolation__2023__mae_first__rr_2.55,0,0.0,0,0,0,100000.0,26877.931
primary__isolation__2023__mae_first__rr_2.71,0,0.0,0,0,0,110000.0,28629.5388
primary__isolation__2023__mae_first__rr_2.75,0,0.0,0,0,0,70000.0,22592.3543
primary__isolation__2023__mae_first__rr_2.83,0,0.0,0,0,0,70000.0,25326.0279
primary__isolation__2023__mae_first__rr_2.87,0,0.0,0,0,0,70000.0,28935.8527
primary__isolation__2023__mae_first__rr_3.03,0,0.0,0,0,0,70000.0,23994.2713
primary__isolation__2023__mae_first__rr_3.17,0,0.0,0,0,0,80000.0,27474.7279
primary__isolation__2023__mae_first__rr_3.18,0,0.0,0,0,0,80000.0,27453.3116
primary__isolation__2023__mae_first__rr_3.25,0,0.0,0,0,0,50000.0,27601.6209
primary__isolation__2023__mae_first__rr_3.34,0,0.0,0,0,0,30000.0,17334.8202
primary__isolation__2023__mae_first__rr_3.50,0,0.0,0,0,0,30000.0,18777.1744
primary__isolation__2023__mae_first__wide4,0,0.0,5,5,5,-50000.0,-17407.6351
primary__isolation__2023__mae_first__edge4,0,0.0,5,5,5,-92500.0,-20569.6921
primary__isolation__2023__mae_first__center4,0,0.0,0,0,0,42500.0,13093.6105
primary__isolation__2023__mae_first__extremes2,0,0.0,10,10,10,-165000.0,-46571.9081
primary__isolation__2023__mae_first__without050,0,0.0,0,0,0,17500.0,6388.4694
primary__isolation__2023__mae_first__grid5,0,0.0,4,4,4,-48000.0,-12055.9505
primary__isolation__2023__mae_first__ladder4,0,0.0,10,5,10,-10000.0,-4723.9041
primary__isolation__2023__mae_first__uniform_low,1,112.1208,20,20,20,10000.0,-17010.157
primary__isolation__2023__mae_first__grid10,0,0.0,2,2,2,5000.0,125.2013
primary__isolation__2023__mae_first__ladder20,0,0.0,7,3,7,-11000.0,-2816.0409
primary__isolation__2023__mae_first__uniform_high,0,0.0,0,0,0,-30000.0,15984.4961
primary__isolation__2023__mae_first__ladder20_reverse,0,0.0,7,3,7,-11000.0,-2816.0409
primary__isolation__2023__mae_first__grid20,0,0.0,2,1,1,5500.0,602.5933
primary__operating__2023__mae_first__rr_0.50,0,27.322,-3,1,0,-18316.0,-1350.7772
primary__operating__2023__mae_first__rr_0.66,0,5.3653,3,1,0,-47441.0,-2761.2011
primary__operating__2023__mae_first__rr_0.75,0,5.0007,1,1,0,-27146.0,-2947.3423
primary__operating__2023__mae_first__rr_0.82,0,3.9257,2,0,0,-12790.0,-971.205
primary__operating__2023__mae_first__rr_0.83,0,4.8104,2,0,0,-13882.0,-1273.0043
primary__operating__2023__mae_first__rr_0.97,0,4.8104,-2,0,0,7316.0,1723.5828
primary__operating__2023__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2023__mae_first__grid20_reverse,0,0.0,2,1,1,5500.0,602.5933
primary__operating__2023__mae_first__rr_1.13,0,-33.1297,-8,0,0,82672.0,5898.6707
primary__operating__2023__mae_first__rr_1.17,0,3.0423,-2,-2,0,41493.0,859.7691
primary__operating__2023__mae_first__rr_1.25,0,3.9257,0,-3,0,-106.0,-1334.6183
primary__operating__2023__mae_first__rr_1.29,0,7.8548,0,-2,0,33835.0,342.9377
primary__operating__2023__mae_first__rr_1.45,0,6.8011,11,-3,0,14774.0,-5466.3236
primary__operating__2023__mae_first__rr_1.50,0,10.8319,3,0,0,29788.0,-1352.8814
primary__operating__2023__mae_first__rr_1.61,0,7.8548,4,-2,0,23229.0,-764.4903
primary__operating__2023__mae_first__rr_1.75,0,4.9257,0,-3,0,38368.0,4804.8705
primary__operating__2023__mae_first__rr_1.76,0,-0.0947,-2,-3,0,41658.0,5573.3309
primary__operating__2023__mae_first__rr_1.83,0,6.0007,4,-3,0,45394.0,6469.9347
primary__operating__2023__mae_first__rr_1.92,0,5.8104,8,-2,2,15571.0,-245.3625
primary__operating__2023__mae_first__rr_2.00,-1,-42.2197,6,-3,0,32453.0,6825.3038
primary__operating__2023__mae_first__rr_2.08,-1,-42.2197,5,-3,0,44177.0,8810.4597
primary__operating__2023__mae_first__rr_2.17,-1,-42.2197,3,-3,-1,44526.0,7307.8801
primary__operating__2023__mae_first__rr_2.24,-1,-42.2197,0,-3,-1,55941.0,11088.0648
primary__operating__2023__mae_first__rr_2.25,-1,-42.2197,0,-3,-1,59441.0,12126.2415
primary__operating__2023__mae_first__rr_2.39,-1,-42.2197,-1,-3,-1,83533.0,16423.3235
primary__operating__2023__mae_first__rr_2.50,-1,-42.2197,-2,-3,-2,87092.0,14653.8518
primary__operating__2023__mae_first__rr_2.55,-1,-42.2197,-2,-3,-2,87092.0,13379.5933
primary__operating__2023__mae_first__rr_2.71,-1,-42.2197,-3,-3,-3,85375.0,12486.5918
primary__operating__2023__mae_first__rr_2.75,-1,-42.2197,1,-3,0,52743.0,5267.4261
primary__operating__2023__mae_first__rr_2.83,-1,-42.2197,-4,-3,-2,81540.0,12726.1084
primary__operating__2023__mae_first__rr_2.87,-1,-42.2197,-3,-3,-2,85849.0,14642.0015
primary__operating__2023__mae_first__rr_3.03,-1,-42.2197,2,-3,1,73059.0,12251.1345
primary__operating__2023__mae_first__rr_3.17,-1,-42.2197,9,-2,2,60887.0,10503.5772
primary__operating__2023__mae_first__rr_3.18,-1,-42.2197,7,-2,1,70802.0,13044.1708
primary__operating__2023__mae_first__rr_3.25,-1,-42.2197,10,-2,1,42663.0,8523.1547
primary__operating__2023__mae_first__rr_3.34,0,-1.9072,15,-1,0,3602.0,-247.0681
primary__operating__2023__mae_first__rr_3.50,0,3.9257,17,-2,0,3753.0,1520.4632
primary__operating__2023__mae_first__wide4,-1,-42.2197,9,-1,0,11642.0,-2604.1707
primary__operating__2023__mae_first__center4,-1,-42.2197,4,-4,-1,20564.0,-1351.6104
primary__operating__2023__mae_first__without050,-1,-42.2197,8,-1,0,7300.0,-3349.4181
primary__operating__2023__mae_first__edge4,0,5.0139,13,-3,1,-19846.0,-5285.6293
primary__operating__2023__mae_first__extremes2,0,5.8703,10,-2,0,-20905.0,-6516.5364
primary__operating__2023__mae_first__grid5,0,-34.053,7,-3,-1,3965.0,-3395.0923
primary__operating__2023__mae_first__ladder4,0,0.0,8,0,3,-3587.0,-2442.9449
primary__operating__2023__mae_first__ladder20,0,0.0,9,0,4,-1653.0,-5605.2023
primary__operating__2023__mae_first__uniform_low,0,0.0,17,2,12,10123.0,-15502.8338
primary__operating__2023__mae_first__grid10,0,6.0007,-4,-3,0,57007.0,9819.916
primary__operating__2023__mae_first__uniform_high,0,0.0,0,0,0,-25500.0,10603.1952
primary__operating__2023__mae_first__ladder20_reverse,0,0.0,0,0,0,-4000.0,3772.8843
primary__isolation__2024__mae_first__rr_0.50,0,0.0,0,0,0,-30000.0,-7686.7341
primary__isolation__2024__mae_first__rr_0.66,0,0.0,0,0,0,-70000.0,-7148.0303
primary__operating__2023__mae_first__grid20,0,6.0007,2,-3,0,40618.0,3606.37
primary__isolation__2024__mae_first__rr_0.75,0,0.0,0,0,0,-40000.0,-9948.4865
primary__isolation__2024__mae_first__rr_0.82,0,0.0,0,0,0,-20000.0,-2766.5795
primary__isolation__2024__mae_first__rr_0.83,0,0.0,0,0,0,-20000.0,-4498.4422
primary__isolation__2024__mae_first__rr_0.97,0,0.0,0,0,0,10000.0,2076.4508
primary__isolation__2024__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2024__mae_first__rr_1.13,0,0.0,0,0,0,90000.0,7272.2973
primary__isolation__2024__mae_first__rr_1.17,0,0.0,0,0,0,80000.0,5298.4908
primary__operating__2023__mae_first__grid20_reverse,0,-34.0743,5,-3,0,33821.0,5253.3658
primary__isolation__2024__mae_first__rr_1.25,0,0.0,0,0,0,30000.0,2104.5211
primary__isolation__2024__mae_first__rr_1.29,0,0.0,0,0,0,70000.0,4814.2681
primary__isolation__2024__mae_first__rr_1.45,0,0.0,0,0,0,50000.0,-348.9178
primary__isolation__2024__mae_first__rr_1.61,0,0.0,0,0,0,40000.0,2803.8584
primary__isolation__2024__mae_first__rr_1.50,0,0.0,0,0,0,60000.0,6295.3708
primary__isolation__2024__mae_first__rr_1.75,0,0.0,0,0,0,60000.0,15303.3924
primary__isolation__2024__mae_first__rr_1.76,0,0.0,0,0,0,60000.0,15780.333
primary__isolation__2024__mae_first__rr_1.92,0,0.0,0,0,0,20000.0,9696.2184
primary__isolation__2024__mae_first__rr_2.00,0,0.0,0,0,0,20000.0,16486.0
primary__isolation__2024__mae_first__rr_1.83,0,0.0,0,0,0,70000.0,19413.7373
primary__isolation__2024__mae_first__rr_2.08,0,0.0,0,0,0,30000.0,12788.4573
primary__isolation__2024__mae_first__rr_2.17,0,0.0,0,0,0,10000.0,9850.5427
primary__isolation__2024__mae_first__rr_2.24,0,0.0,0,0,0,20000.0,13476.0076
primary__isolation__2024__mae_first__rr_2.25,0,0.0,0,0,0,30000.0,11963.7654
primary__isolation__2024__mae_first__rr_2.39,0,0.0,0,0,0,70000.0,23041.4432
primary__isolation__2024__mae_first__rr_2.50,0,0.0,0,0,0,70000.0,22124.5438
primary__isolation__2024__mae_first__rr_2.55,0,0.0,0,0,0,70000.0,20209.8746
primary__isolation__2024__mae_first__rr_2.71,0,0.0,0,0,0,70000.0,18866.9849
primary__isolation__2024__mae_first__rr_2.75,0,0.0,0,0,0,40000.0,8988.4497
primary__isolation__2024__mae_first__rr_3.03,0,0.0,0,0,0,40000.0,16497.0065
primary__isolation__2024__mae_first__rr_2.83,0,0.0,0,0,0,40000.0,11754.2162
primary__isolation__2024__mae_first__rr_2.87,0,0.0,0,0,0,50000.0,14999.0032
primary__isolation__2024__mae_first__rr_3.17,0,0.0,0,0,0,40000.0,17921.2497
primary__isolation__2024__mae_first__rr_3.25,0,0.0,0,0,0,30000.0,20581.053
primary__isolation__2024__mae_first__rr_3.34,0,0.0,0,0,0,20000.0,14896.7957
primary__isolation__2024__mae_first__rr_3.18,0,0.0,0,0,0,40000.0,19931.48
primary__isolation__2024__mae_first__rr_3.50,0,0.0,0,0,0,20000.0,17191.6692
primary__isolation__2024__mae_first__center4,0,0.0,0,0,0,40000.0,9590.0322
primary__isolation__2024__mae_first__edge4,0,0.0,0,0,0,-5000.0,5034.3754
primary__isolation__2024__mae_first__wide4,0,0.0,0,0,0,30000.0,9481.2124
primary__isolation__2024__mae_first__without050,0,0.0,0,0,0,27500.0,8915.7743
primary__isolation__2024__mae_first__extremes2,0,0.0,0,0,0,-5000.0,4752.4676
primary__isolation__2024__mae_first__grid5,0,0.0,0,0,0,16000.0,7416.7812
primary__isolation__2024__mae_first__ladder4,0,0.0,5,5,5,-5000.0,-3172.7681
primary__isolation__2024__mae_first__grid10,0,0.0,0,0,0,34000.0,9766.4644
primary__isolation__2024__mae_first__ladder20,0,0.0,7,4,7,-3000.0,-4641.6652
primary__isolation__2024__mae_first__uniform_low,1,111.0556,20,20,20,10000.0,-20324.3445
primary__isolation__2024__mae_first__uniform_high,0,0.0,0,0,0,-30000.0,20064.8649
primary__isolation__2024__mae_first__ladder20_reverse,0,0.0,7,4,7,-3000.0,-4641.6652
primary__operating__2024__mae_first__rr_0.50,0,0.0,-6,1,-2,-4651.0,-1810.7455
primary__isolation__2024__mae_first__grid20,0,0.0,0,0,0,32500.0,9819.5943
primary__operating__2024__mae_first__rr_0.66,0,0.0,3,1,-1,-25974.0,-1500.0081
primary__operating__2024__mae_first__rr_0.75,0,0.0,5,1,0,-11889.0,-722.946
primary__operating__2024__mae_first__rr_0.82,0,0.0,1,1,0,-4217.0,841.0908
primary__operating__2024__mae_first__rr_0.83,0,0.0,-3,1,-2,-3894.0,1420.9739
primary__operating__2024__mae_first__rr_0.97,0,0.0,-1,1,0,4658.0,979.6317
primary__operating__2024__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__operating__2024__mae_first__rr_1.13,0,0.0,-8,0,-1,39790.0,1697.5539
primary__operating__2024__mae_first__rr_1.17,0,0.0,-7,0,-2,21198.0,-2313.3586
primary__isolation__2024__mae_first__grid20_reverse,0,0.0,0,0,0,32500.0,9819.5943
primary__operating__2024__mae_first__rr_1.25,0,0.0,-2,0,-1,-5158.0,-3283.0113
primary__operating__2024__mae_first__rr_1.29,0,0.0,-3,0,-2,15908.0,-2152.9224
primary__operating__2024__mae_first__rr_1.50,0,0.0,-3,0,-2,14349.0,-5547.4332
primary__operating__2024__mae_first__rr_1.45,0,0.0,4,1,-1,2677.0,-8374.7675
primary__operating__2024__mae_first__rr_1.61,0,0.0,0,1,-1,12210.0,-4334.2398
primary__operating__2024__mae_first__rr_1.76,0,0.0,-4,0,-2,24849.0,660.9093
primary__operating__2024__mae_first__rr_1.75,0,0.0,-2,0,-2,22625.0,-107.3261
primary__operating__2024__mae_first__rr_1.83,0,0.0,0,0,-2,26342.0,1211.6279
primary__operating__2024__mae_first__rr_1.92,0,0.0,3,0,1,11019.0,-4842.7673
primary__operating__2024__mae_first__rr_2.08,0,0.0,3,0,-1,16453.0,1003.2666
primary__operating__2024__mae_first__rr_2.17,0,0.0,0,0,-2,22460.0,1841.6666
primary__operating__2024__mae_first__rr_2.00,0,0.0,4,0,-1,11828.0,-1415.2445
primary__operating__2024__mae_first__rr_2.24,0,0.0,-4,0,-2,31000.0,4376.5386
primary__operating__2024__mae_first__rr_2.25,0,0.0,-4,0,-2,32500.0,4976.457
primary__operating__2024__mae_first__rr_2.50,0,0.0,-3,0,-3,42533.0,4698.1502
primary__operating__2024__mae_first__rr_2.39,0,0.0,-4,0,-2,38908.0,7561.1247
primary__operating__2024__mae_first__rr_2.55,0,0.0,-3,0,-3,43033.0,4776.2434
primary__operating__2024__mae_first__rr_2.75,0,0.0,-3,0,-1,21408.0,-2619.0274
primary__operating__2024__mae_first__rr_2.71,0,0.0,-7,0,-4,41540.0,4171.7163
primary__operating__2024__mae_first__rr_2.87,0,0.0,0,1,-3,51401.0,7604.3965
primary__operating__2024__mae_first__rr_2.83,0,0.0,-4,0,-3,48441.0,7461.3611
primary__operating__2024__mae_first__rr_3.17,0,0.0,9,1,1,32545.0,3822.6534
primary__operating__2024__mae_first__rr_3.03,0,0.0,0,0,0,45651.0,7796.723
primary__operating__2024__mae_first__rr_3.25,0,0.0,10,1,0,17012.0,-1067.2118
primary__operating__2024__mae_first__rr_3.18,0,0.0,7,1,0,44736.0,8321.6109
primary__operating__2024__mae_first__rr_3.34,0,0.0,9,2,-1,1328.0,-6160.8949
primary__operating__2024__mae_first__rr_3.50,0,0.0,9,1,-1,1354.0,-5584.4964
primary__operating__2024__mae_first__wide4,0,0.0,-5,0,-4,23014.0,735.2696
primary__operating__2024__mae_first__center4,0,0.0,-2,0,-2,32717.0,5947.3788
primary__operating__2024__mae_first__edge4,0,0.0,3,1,1,-172.0,-3712.5378
primary__operating__2024__mae_first__without050,0,0.0,-5,0,-4,19573.0,-529.1475
primary__operating__2024__mae_first__extremes2,0,0.0,-3,0,-1,-13040.0,-11175.723
primary__operating__2024__mae_first__grid5,0,0.0,-2,0,-2,28837.0,8935.7372
primary__operating__2024__mae_first__ladder4,0,0.0,1,0,2,526.0,-1502.2114
primary__operating__2024__mae_first__uniform_low,0,0.0,7,2,8,9026.0,-10842.1777
primary__operating__2024__mae_first__ladder20,0,0.0,4,0,5,3526.0,-7199.6021
primary__operating__2024__mae_first__grid10,0,0.0,-3,-1,-2,29158.0,558.4845
primary__operating__2024__mae_first__uniform_high,0,0.0,0,0,0,-16500.0,7220.9172
primary__isolation__2025__mae_first__rr_0.50,0,25.1618,0,0,0,0.0,-8389.3785
primary__isolation__2025__mae_first__rr_0.66,0,24.9021,0,0,0,0.0,-12383.7839
primary__operating__2024__mae_first__ladder20_reverse,0,0.0,0,0,0,-8500.0,4172.8188
primary__isolation__2025__mae_first__rr_0.75,0,24.9021,0,0,0,0.0,-11295.7267
primary__isolation__2025__mae_first__rr_0.82,0,24.1486,0,0,0,0.0,-5716.0839
primary__isolation__2025__mae_first__rr_0.83,0,24.1486,0,0,0,0.0,-7086.0839
primary__isolation__2025__mae_first__rr_0.97,0,-2.253,0,0,0,0.0,106.688
primary__isolation__2025__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__operating__2024__mae_first__grid20,0,0.0,-6,0,-4,12382.0,-621.8301
primary__isolation__2025__mae_first__rr_1.17,0,24.1011,0,0,0,0.0,-1712.0696
primary__isolation__2025__mae_first__rr_1.25,0,0.1104,0,0,0,0.0,-2686.3298
primary__isolation__2025__mae_first__rr_1.29,0,0.0548,0,0,0,0.0,-1473.766
primary__isolation__2025__mae_first__rr_1.45,0,24.1486,0,0,0,0.0,-5058.6839
primary__isolation__2025__mae_first__rr_1.13,-1,-464.941,-20,-20,-20,160000.0,77588.9924
primary__isolation__2025__mae_first__rr_1.50,0,0.1104,0,0,0,0.0,-2345.7766
primary__isolation__2025__mae_first__rr_1.61,0,80.9761,0,0,0,0.0,-35361.3707
primary__isolation__2025__mae_first__rr_1.75,0,81.2361,0,0,0,0.0,-34619.063
primary__isolation__2025__mae_first__rr_1.76,0,81.2361,0,0,0,0.0,-34619.063
primary__isolation__2025__mae_first__rr_1.83,0,81.2361,0,0,0,0.0,-34476.6784
primary__isolation__2025__mae_first__rr_1.92,0,80.9761,0,0,0,0.0,-34100.4476
primary__isolation__2025__mae_first__rr_2.00,0,80.9761,0,0,0,0.0,-34100.4476
primary__isolation__2025__mae_first__rr_2.08,0,80.9761,0,0,0,0.0,-34100.4476
primary__isolation__2025__mae_first__rr_2.17,0,80.9761,0,0,0,0.0,-34026.7553
primary__isolation__2025__mae_first__rr_2.24,0,80.9761,0,0,0,0.0,-33641.1399
primary__isolation__2025__mae_first__rr_2.25,0,80.9761,0,0,0,0.0,-33533.8322
primary__isolation__2025__mae_first__rr_2.39,0,80.9761,0,0,0,0.0,-30636.8322
primary__isolation__2025__mae_first__rr_2.50,0,80.9761,0,0,0,0.0,-34256.9092
primary__isolation__2025__mae_first__rr_2.55,0,80.9761,0,0,0,0.0,-34256.9092
primary__isolation__2025__mae_first__rr_2.71,0,24.9021,0,0,0,0.0,-7386.3267
primary__isolation__2025__mae_first__rr_2.75,0,28.9761,0,0,0,0.0,-11218.3399
primary__isolation__2025__mae_first__rr_2.83,0,28.0595,0,0,0,0.0,-8761.8614
primary__isolation__2025__mae_first__rr_2.87,0,28.0595,0,0,0,0.0,-8761.8614
primary__isolation__2025__mae_first__rr_3.03,0,24.9021,0,0,0,0.0,-6422.5553
primary__isolation__2025__mae_first__rr_3.17,0,80.9761,0,0,0,0.0,-33977.7553
primary__isolation__2025__mae_first__rr_3.18,0,80.9761,0,0,0,0.0,-33977.7553
primary__isolation__2025__mae_first__rr_3.25,0,80.9761,0,0,0,0.0,-33977.7553
primary__isolation__2025__mae_first__rr_3.34,0,80.9761,0,0,0,0.0,-33977.7553
primary__isolation__2025__mae_first__rr_3.50,0,81.2875,0,0,0,0.0,-32572.9092
primary__operating__2024__mae_first__grid20_reverse,0,0.0,5,0,-2,31045.0,3569.1423
primary__isolation__2025__mae_first__wide4,0,0.1104,0,-15,-10,0.0,-22912.6649
primary__isolation__2025__mae_first__without050,0,0.1104,0,-15,-10,0.0,-23377.25
primary__isolation__2025__mae_first__center4,0,0.1104,0,-15,-10,0.0,-23838.5585
primary__isolation__2025__mae_first__edge4,0,24.9021,0,-15,-10,0.0,-23239.1017
primary__isolation__2025__mae_first__extremes2,0,25.1618,0,-10,-10,0.0,-22338.4147
primary__isolation__2025__mae_first__ladder4,0,0.0,0,0,0,0.0,0.0
primary__isolation__2025__mae_first__grid5,0,0.1104,0,-16,-12,0.0,-22237.6064
primary__isolation__2025__mae_first__ladder20,0,0.0,0,0,0,0.0,0.0
primary__isolation__2025__mae_first__uniform_low,0,0.0,0,0,0,0.0,0.0
primary__isolation__2025__mae_first__grid10,0,0.1104,0,-14,-10,0.0,-24459.9394
primary__isolation__2025__mae_first__uniform_high,0,0.0,0,0,0,0.0,0.0
primary__isolation__2025__mae_first__ladder20_reverse,0,0.0,0,0,0,0.0,0.0
primary__operating__2025__mae_first__rr_0.50,-1,-12.1627,-11,1,-4,6120.0,5473.4432
primary__operating__2025__mae_first__rr_0.66,0,-7.0083,0,0,-1,40.0,807.2211
primary__operating__2025__mae_first__rr_0.75,0,-5.8569,0,0,-1,132.0,-888.0396
primary__operating__2025__mae_first__rr_0.82,0,-8.0083,-2,1,-1,290.0,722.5929
primary__isolation__2025__mae_first__grid20,-1,-464.941,-1,-12,-10,8000.0,-29473.1518
primary__operating__2025__mae_first__rr_0.83,-1,-12.1627,-6,1,-3,2205.0,2711.26
primary__operating__2025__mae_first__rr_0.97,0,-2.5194,0,1,0,0.0,-81.7268
primary__operating__2025__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__operating__2025__mae_first__rr_1.13,-1,-12.1627,-3,0,-1,5823.0,5000.1641
primary__operating__2025__mae_first__rr_1.17,-1,-12.1627,-6,0,-2,5356.0,6009.3652
primary__operating__2025__mae_first__rr_1.25,-1,-12.1627,-4,0,-1,1073.0,4490.2701
primary__isolation__2025__mae_first__grid20_reverse,-1,-464.941,-1,-12,-10,8000.0,-29473.1518
primary__operating__2025__mae_first__rr_1.29,-1,-12.1627,-6,0,-2,3856.0,6521.0184
primary__operating__2025__mae_first__rr_1.45,-1,-12.1627,-2,1,-1,1974.0,2806.5621
primary__operating__2025__mae_first__rr_1.50,-1,-12.1627,-5,0,-2,3922.0,5179.3882
primary__operating__2025__mae_first__rr_1.75,-1,-12.1627,-5,0,-3,4507.0,4106.3856
primary__operating__2025__mae_first__rr_1.61,-1,-12.1627,-5,0,-2,2974.0,2727.5054
primary__operating__2025__mae_first__rr_1.76,-1,-12.1627,-7,0,-4,4639.0,5569.8253
primary__operating__2025__mae_first__rr_1.83,-1,-12.1627,-7,0,-3,6764.0,7053.9683
primary__operating__2025__mae_first__rr_1.92,-1,-12.1627,-9,0,-4,7830.0,7835.2574
primary__operating__2025__mae_first__rr_2.00,-1,-12.1627,-9,0,-4,7830.0,7478.6053
primary__operating__2025__mae_first__rr_2.08,-1,-12.1627,-10,0,-4,8455.0,8287.4834
primary__operating__2025__mae_first__rr_2.24,-1,-12.1627,-14,-1,-6,9995.0,9181.2455
primary__operating__2025__mae_first__rr_2.17,-1,-12.1627,-10,0,-4,8955.0,8002.1464
primary__operating__2025__mae_first__rr_2.25,-1,-12.1627,-14,-1,-6,10495.0,9272.711
primary__operating__2025__mae_first__rr_2.39,-1,-12.1627,-13,-1,-5,9745.0,8434.8696
primary__operating__2025__mae_first__rr_2.55,-1,-12.1627,-10,-1,-5,12429.0,11077.2336
primary__operating__2025__mae_first__rr_2.50,-1,-12.1627,-10,-1,-5,11429.0,10095.8756
primary__operating__2025__mae_first__rr_2.71,-1,-12.1627,-13,-1,-5,12745.0,11534.2429
primary__operating__2025__mae_first__rr_2.75,-1,-12.1627,-13,-1,-5,12245.0,11645.3711
primary__operating__2025__mae_first__rr_2.83,-1,-12.1627,-11,-1,-5,14995.0,13200.7199
primary__operating__2025__mae_first__rr_3.03,-1,-12.1627,-10,0,-5,19804.0,15135.4174
primary__operating__2025__mae_first__rr_2.87,-1,-12.1627,-8,1,-4,13646.0,11758.621
primary__operating__2025__mae_first__rr_3.17,-1,-12.1627,-9,0,-5,22337.0,15222.6475
primary__operating__2025__mae_first__rr_3.18,-1,-12.1627,-9,0,-5,22337.0,15323.3129
primary__operating__2025__mae_first__rr_3.25,-1,-12.1627,-9,0,-5,22337.0,15768.1079
primary__operating__2025__mae_first__rr_3.34,-1,-12.1627,-10,0,-5,19495.0,14543.4189
primary__operating__2025__mae_first__rr_3.50,-1,-12.1627,-10,0,-4,18021.0,12919.4586
primary__operating__2025__mae_first__wide4,-1,-12.1627,-9,-1,-5,9370.0,9576.7523
primary__operating__2025__mae_first__edge4,-1,-12.1627,-8,-1,-4,8646.0,8238.7819
primary__operating__2025__mae_first__center4,-1,-12.1627,-12,-1,-6,4896.0,7024.5881
primary__operating__2025__mae_first__without050,-1,-12.1627,-8,-1,-4,6771.0,6425.522
primary__operating__2025__mae_first__extremes2,-1,-12.1627,-14,-1,-6,13370.0,10414.3027
primary__operating__2025__mae_first__grid5,-1,-12.1627,-8,-1,-3,3705.0,6542.1676
primary__operating__2025__mae_first__ladder4,0,0.0,0,0,0,500.0,-36.2998
primary__operating__2025__mae_first__ladder20,0,0.0,0,0,0,1500.0,-108.8993
primary__operating__2025__mae_first__uniform_low,0,0.0,0,0,0,2000.0,-145.1991
primary__operating__2025__mae_first__grid10,-1,-12.1627,-7,-1,-4,3514.0,3514.5297
primary__operating__2025__mae_first__uniform_high,0,0.0,0,0,0,0.0,0.0
primary__operating__2025__mae_first__ladder20_reverse,0,0.0,0,0,0,0.0,0.0
primary__operating__2025__mae_first__grid20,-1,-12.1627,-1,0,-1,2132.0,3053.6589
primary__operating__2025__mae_first__grid20_reverse,-1,-12.1627,-10,-1,-5,18304.0,14258.3396
