case,account_id,sleeve,rr,reserve,death_window,death_entry_at,died_at
march__operating__2020__mae_first__rr_1.61,58,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,59,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,63,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,64,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,65,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.75,4,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,9,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,10,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,11,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,12,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,13,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,14,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,15,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,17,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,20,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,21,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,31,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,32,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,52,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,53,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,63,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,64,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,65,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,68,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.75,69,0,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__rr_1.76,4,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,9,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,10,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,11,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,12,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,13,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,14,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,15,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
