case,at,live_before_final_loss,max_live_ever_before,max_live_preceding_20_calendar_days,reopened_at,days_until_reopening
primary__operating__2020__mae_first__rr_1.25,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_1.45,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
primary__operating__2020__mae_first__rr_1.45,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_1.50,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
primary__operating__2020__mae_first__rr_1.50,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_1.61,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__rr_1.61,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_1.75,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__rr_1.75,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_1.83,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__rr_1.83,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_1.76,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__rr_1.76,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_2.00,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__rr_2.00,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_1.92,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__rr_1.92,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_2.08,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__rr_2.08,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_2.17,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
primary__operating__2020__mae_first__rr_2.17,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_2.25,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
primary__operating__2020__mae_first__rr_2.25,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_2.24,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
primary__operating__2020__mae_first__rr_2.24,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_2.50,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
primary__operating__2020__mae_first__rr_2.50,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_2.39,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
primary__operating__2020__mae_first__rr_2.39,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_2.55,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
primary__operating__2020__mae_first__rr_2.55,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_2.71,2020-03-12T13:52:40,1,1,1,2020-03-13T00:00:00,0.4217592592592593
primary__operating__2020__mae_first__rr_2.71,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_2.75,2020-03-12T13:52:40,1,1,1,2020-03-13T00:00:00,0.4217592592592593
primary__operating__2020__mae_first__rr_2.75,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_2.83,2020-03-12T13:52:40,1,1,1,2020-03-13T00:00:00,0.4217592592592593
primary__operating__2020__mae_first__rr_2.83,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_2.87,2020-03-12T13:52:40,1,1,1,2020-03-13T00:00:00,0.4217592592592593
primary__operating__2020__mae_first__rr_2.87,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_3.03,2020-03-11T18:57:40,1,1,1,2020-03-12T00:00:00,0.2099537037037037
primary__operating__2020__mae_first__rr_3.03,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_3.17,2020-03-11T18:57:40,1,1,1,2020-03-12T00:00:00,0.2099537037037037
primary__operating__2020__mae_first__rr_3.17,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_3.18,2020-03-12T03:05:40,1,1,1,2020-03-13T00:00:00,0.8710648148148148
primary__operating__2020__mae_first__rr_3.18,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_3.25,2020-03-12T03:05:40,1,1,1,2020-03-13T00:00:00,0.8710648148148148
primary__operating__2020__mae_first__rr_3.25,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_3.34,2020-03-12T03:05:40,1,1,1,2020-03-13T00:00:00,0.8710648148148148
primary__operating__2020__mae_first__rr_3.34,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_3.50,2020-03-12T03:05:40,1,1,1,2020-03-13T00:00:00,0.8710648148148148
primary__operating__2020__mae_first__rr_3.50,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__center4,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
primary__operating__2020__mae_first__center4,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__without050,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__without050,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__ladder4,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__ladder4,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__uniform_low,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__uniform_low,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__uniform_low,2026-03-24T20:10:40,8,20,20,2026-04-01T00:00:00,7.159259259259259
primary__operating__2020__mae_first__ladder20,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
