eval_id,started_at,state,months_paid,resets,generation,equity_usd,peak_usd,floor_usd,trades_taken,passed_at,ended_at
31,2021-05-01 00:00:00,funded,3,2,3,3070.75,3113.5,613.5,106,2021-07-12 15:30:00,2021-07-13 00:00:00
32,2021-06-01 00:00:00,funded,2,1,2,3070.75,3113.5,613.5,72,2021-07-12 15:30:00,2021-07-13 00:00:00
33,2021-06-08 00:00:00,cancelled,1,0,1,-948.5,1106.25,-1393.75,15,,2021-07-08 00:00:00
34,2021-06-09 00:00:00,funded,4,2,3,3106.0,3151.25,651.25,189,2021-09-09 15:00:00,2021-09-10 00:00:00
35,2021-06-10 00:00:00,funded,2,0,1,3307.75,3350.5,850.5,129,2021-07-12 15:30:00,2021-07-13 00:00:00
36,2021-06-11 00:00:00,funded,1,0,1,3010.25,3280.5,780.5,109,2021-07-07 23:30:00,2021-07-08 00:00:00
37,2021-06-12 00:00:00,funded,2,0,1,3258.25,3301.0,801.0,117,2021-07-12 15:30:00,2021-07-13 00:00:00
38,2021-06-13 00:00:00,funded,1,0,1,3258.25,3301.0,801.0,117,2021-07-12 15:30:00,2021-07-13 00:00:00
39,2021-06-14 00:00:00,funded,1,0,1,3258.25,3301.0,801.0,117,2021-07-12 15:30:00,2021-07-13 00:00:00
40,2021-06-15 00:00:00,funded,1,0,1,3115.5,3135.75,635.75,108,2021-07-09 18:00:00,2021-07-10 00:00:00
41,2021-06-16 00:00:00,funded,1,0,1,3033.75,3059.0,559.0,85,2021-07-07 06:00:00,2021-07-08 00:00:00
42,2021-07-01 00:00:00,funded,1,0,1,3070.75,3113.5,613.5,37,2021-07-12 15:30:00,2021-07-13 00:00:00
43,2021-08-01 00:00:00,cancelled,2,0,1,3029.0,3156.75,656.75,154,2021-09-10 17:00:00,2021-09-11 00:00:00
44,2021-10-01 00:00:00,funded,1,0,1,3075.25,3108.0,608.0,19,2021-10-07 14:30:00,2021-10-08 00:00:00
