account_id,cohort_month,activated_at,purchase_fee_usd,trailing_drawdown_usd,frozen_floor_profit_usd,threshold_touch_fails,starting_balance_usd,equity_profit_usd,peak_profit_usd,floor_profit_usd,alive,died_at,death_trade_key,death_reason,death_equity_usd,trades_taken,wins,losses,gross_pnl_usd,commission_usd,max_equity_profit_usd,min_equity_profit_usd,entitlement_accrued_usd,entitlement_outstanding_usd,months_accrued,payout_count,gross_paid_usd,received_usd,withdrawal_count,first_withdrawal_at,last_withdrawal_at,last_payout_at,requests_blocked,requests_withheld
13,2020-11,2020-11-05 00:00:00,250.0,2500.0,100.0,True,50000.0,-2140.95,225.75,-2274.25,False,2021-03-04 19:14:40,RR1.00:18-19:79:342,intratrade_excursion,-2323.45,640,250,389,-1470.0,670.95,207.2,-2323.45,0.0,0.0,0,0,0.0,0.0,0,,,,0,94
14,2020-12,2020-12-01 00:00:00,250.0,2500.0,100.0,True,50000.0,-1719.95,606.8,-1893.2,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-1909.95,510,196,313,-1185.5,534.45,531.25,-1909.95,0.0,0.0,0,0,0.0,0.0,0,,,,0,63
15,2021-01,2021-01-01 00:00:00,250.0,2500.0,100.0,True,50000.0,-956.5,1370.25,-1129.75,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-1146.5,341,140,200,-599.5,357.0,1294.7,-1146.5,0.0,0.0,0,0,0.0,0.0,0,,,,0,32
16,2021-02,2021-02-01 00:00:00,250.0,2500.0,100.0,True,50000.0,-859.55,1627.35,-872.65,False,2021-06-07 12:10:40,RR1.00:11-12:107:474,intratrade_excursion,-905.05,672,266,405,-155.0,704.55,1574.4,-1330.05,0.0,0.0,0,0,0.0,0.0,0,,,,0,99
17,2021-03,2021-03-01 00:00:00,250.0,2500.0,100.0,True,50000.0,-232.55,2254.35,-245.65,False,2021-06-07 12:10:40,RR1.00:11-12:107:474,intratrade_excursion,-278.05,512,203,308,304.0,536.55,2201.4,-703.05,0.0,0.0,0,0,0.0,0.0,0,,,,0,68
18,2021-03,2021-03-11 00:00:00,250.0,2500.0,100.0,True,50000.0,-509.7,1977.2,-522.8,False,2021-06-07 12:10:40,RR1.00:11-12:107:474,intratrade_excursion,-555.2,465,181,283,-22.5,487.2,1924.25,-555.2,0.0,0.0,0,0,0.0,0.0,0,,,,0,68
19,2021-03,2021-03-17 00:00:00,250.0,2500.0,100.0,True,50000.0,-1150.3,1336.6,-1163.4,False,2021-06-07 12:10:40,RR1.00:11-12:107:474,intratrade_excursion,-1195.8,437,165,271,-692.5,457.8,1283.65,-1195.8,0.0,0.0,0,0,0.0,0.0,0,,,,0,68
20,2021-03,2021-03-17 00:00:00,250.0,2500.0,100.0,True,50000.0,-1150.3,1336.6,-1163.4,False,2021-06-07 12:10:40,RR1.00:11-12:107:474,intratrade_excursion,-1195.8,437,165,271,-692.5,457.8,1283.65,-1195.8,0.0,0.0,0,0,0.0,0.0,0,,,,0,68
21,2021-03,2021-03-17 00:00:00,250.0,2500.0,100.0,True,50000.0,-1150.3,1336.6,-1163.4,False,2021-06-07 12:10:40,RR1.00:11-12:107:474,intratrade_excursion,-1195.8,437,165,271,-692.5,457.8,1283.65,-1195.8,0.0,0.0,0,0,0.0,0.0,0,,,,0,68
22,2021-03,2021-03-18 00:00:00,250.0,2500.0,100.0,True,50000.0,-1480.55,1006.35,-1493.65,False,2021-06-07 12:10:40,RR1.00:11-12:107:474,intratrade_excursion,-1526.05,432,162,269,-1028.0,452.55,953.4,-1526.05,0.0,0.0,0,0,0.0,0.0,0,,,,0,68
23,2021-03,2021-03-19 00:00:00,250.0,2500.0,100.0,True,50000.0,-1304.3,1182.6,-1317.4,False,2021-06-07 12:10:40,RR1.00:11-12:107:474,intratrade_excursion,-1349.8,427,161,265,-857.0,447.3,1129.65,-1349.8,0.0,0.0,0,0,0.0,0.0,0,,,,0,68
24,2021-03,2021-03-19 00:00:00,250.0,2500.0,100.0,True,50000.0,-1304.3,1182.6,-1317.4,False,2021-06-07 12:10:40,RR1.00:11-12:107:474,intratrade_excursion,-1349.8,427,161,265,-857.0,447.3,1129.65,-1349.8,0.0,0.0,0,0,0.0,0.0,0,,,,0,68
