months,budget,gap,left,right,left_episodes,right_episodes,shared,left_only,right_only,jaccard,reciprocal,shared_ids,left_only_ids,right_only_ids
6,1500,40,RR:1.50,GG:0.75,4,7,3,1,4,0.375,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09;6m_b1500_g40_e10
6,1500,40,RR:1.50,GG:1.00,4,5,3,1,2,0.5,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:1.50,GG:1.25,4,4,2,2,2,0.3333333333333333,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e01;6m_b1500_g40_e07,6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:1.50,GG:1.50,4,4,2,2,2,0.3333333333333333,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e01;6m_b1500_g40_e07,6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:1.50,GG:1.75,4,6,3,1,3,0.42857142857142855,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:1.50,GG:2.00,4,7,3,1,4,0.375,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e02;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:1.50,GG:2.25,4,7,3,1,4,0.375,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e02;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:1.50,GG:2.50,4,7,3,1,4,0.375,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e02;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:1.50,GG:2.75,4,7,3,1,4,0.375,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e02;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:1.50,GG:3.00,4,6,3,1,3,0.42857142857142855,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e02;6m_b1500_g40_e04;6m_b1500_g40_e09
