episode,months,budget,gap,start,end,arms,arm_count,events
3m_b1500_g40_e05,3,1500,40,2022-04-12T20:20:40,2022-06-14T23:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,26,26
3m_b1500_g40_e06,3,1500,40,2022-11-14T17:07:40,2022-12-23T23:30:00,RR:2.00/RR:2.25,2,2
3m_b1500_g40_e07,3,1500,40,2023-08-16T17:11:20,2023-08-18T16:27:40,GG:0.50/GG:0.75/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75,7,7
3m_b1500_g40_e08,3,1500,40,2023-10-25T22:32:40,2023-10-30T20:00:00,RR:0.50/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.75/RR:3.00/RR:3.25/RR:3.50,10,10
3m_b1500_g40_e09,3,1500,40,2024-05-01T13:44:40,2024-05-01T22:00:00,RR:2.75/RR:3.00,2,2
3m_b1500_g40_e10,3,1500,40,2024-07-25T09:30:40,2024-08-02T23:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
3m_b1500_g40_e11,3,1500,40,2025-03-11T16:01:20,2025-04-07T09:22:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,26,33
3m_b1500_g40_e12,3,1500,40,2025-09-02T16:35:40,2025-09-02T17:00:00,GG:0.75,1,1
3m_b1500_g40_e13,3,1500,40,2025-11-21T15:17:40,2025-11-21T17:36:40,GG:0.50,1,1
3m_b1500_g40_e14,3,1500,40,2026-02-13T16:48:40,2026-03-26T16:39:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
6m_b1500_g5_e01,6,1500,5,2020-03-12T12:58:40,2020-03-18T19:30:40,GG:0.75/GG:1.00/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:1.00/RR:1.25/RR:1.50/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,18,18
6m_b1500_g5_e02,6,1500,5,2021-03-04T13:40:40,2021-03-09T17:00:00,GG:0.50/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/RR:0.75/RR:1.00/RR:1.25,9,9
6m_b1500_g5_e03,6,1500,5,2021-05-18T22:31:40,2021-05-18T22:53:40,RR:0.50,1,1
6m_b1500_g5_e04,6,1500,5,2022-01-10T18:11:40,2022-01-10T23:00:00,RR:2.50/RR:2.75/RR:3.25/RR:3.50,4,4
6m_b1500_g5_e05,6,1500,5,2022-01-19T08:00:40,2022-01-24T14:52:20,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,13,13
6m_b1500_g5_e06,6,1500,5,2022-06-17T16:31:40,2022-06-17T17:33:40,RR:1.25/RR:2.25,2,2
6m_b1500_g5_e07,6,1500,5,2023-08-16T17:11:20,2023-08-18T16:27:40,GG:0.50/GG:0.75/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75,7,7
6m_b1500_g5_e08,6,1500,5,2023-10-26T20:03:40,2023-11-01T16:30:00,GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:3.50,5,5
6m_b1500_g5_e09,6,1500,5,2023-12-01T17:01:40,2023-12-01T17:26:40,RR:1.50,1,1
6m_b1500_g5_e10,6,1500,5,2024-07-25T09:30:40,2024-08-02T23:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
6m_b1500_g5_e11,6,1500,5,2025-03-11T16:01:20,2025-03-13T21:51:40,GG:0.50/GG:0.75/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,7,7
6m_b1500_g5_e12,6,1500,5,2025-04-04T02:32:40,2025-04-07T18:00:00,GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/RR:3.25/RR:3.50,8,8
6m_b1500_g5_e13,6,1500,5,2025-09-02T16:35:40,2025-09-02T17:00:00,GG:0.75,1,1
6m_b1500_g5_e14,6,1500,5,2025-11-21T13:00:40,2025-11-21T15:00:00,GG:0.50,1,1
6m_b1500_g5_e15,6,1500,5,2026-02-13T16:48:40,2026-02-17T16:55:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,13,13
6m_b1500_g5_e16,6,1500,5,2026-03-05T14:21:40,2026-03-26T16:39:40,RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,12,12
6m_b1500_g20_e01,6,1500,20,2020-03-12T12:58:40,2020-03-18T19:30:40,GG:0.75/GG:1.00/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:1.00/RR:1.25/RR:1.50/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,18,18
6m_b1500_g20_e02,6,1500,20,2021-03-04T13:40:40,2021-03-09T17:00:00,GG:0.50/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/RR:0.75/RR:1.00/RR:1.25,9,9
6m_b1500_g20_e03,6,1500,20,2021-05-18T22:31:40,2021-05-18T22:53:40,RR:0.50,1,1
6m_b1500_g20_e04,6,1500,20,2022-01-10T18:11:40,2022-01-24T14:52:20,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:2.50/RR:2.75/RR:3.25/RR:3.50,17,17
6m_b1500_g20_e05,6,1500,20,2022-06-17T16:31:40,2022-06-17T17:33:40,RR:1.25/RR:2.25,2,2
6m_b1500_g20_e06,6,1500,20,2023-08-16T17:11:20,2023-08-18T16:27:40,GG:0.50/GG:0.75/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75,7,7
6m_b1500_g20_e07,6,1500,20,2023-10-26T20:03:40,2023-11-01T16:30:00,GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:3.50,5,5
6m_b1500_g20_e08,6,1500,20,2023-12-01T17:01:40,2023-12-01T17:26:40,RR:1.50,1,1
6m_b1500_g20_e09,6,1500,20,2024-07-25T09:30:40,2024-08-02T23:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
6m_b1500_g20_e10,6,1500,20,2025-03-11T16:01:20,2025-04-07T18:00:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:3.25/RR:3.50,15,15
6m_b1500_g20_e11,6,1500,20,2025-09-02T16:35:40,2025-09-02T17:00:00,GG:0.75,1,1
6m_b1500_g20_e12,6,1500,20,2025-11-21T13:00:40,2025-11-21T15:00:00,GG:0.50,1,1
6m_b1500_g20_e13,6,1500,20,2026-02-13T16:48:40,2026-03-26T16:39:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
6m_b1500_g40_e01,6,1500,40,2020-03-12T12:58:40,2020-03-18T19:30:40,GG:0.75/GG:1.00/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:1.00/RR:1.25/RR:1.50/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,18,18
6m_b1500_g40_e02,6,1500,40,2021-03-04T13:40:40,2021-03-09T17:00:00,GG:0.50/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/RR:0.75/RR:1.00/RR:1.25,9,9
6m_b1500_g40_e03,6,1500,40,2021-05-18T22:31:40,2021-05-18T22:53:40,RR:0.50,1,1
6m_b1500_g40_e04,6,1500,40,2022-01-10T18:11:40,2022-01-24T14:52:20,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:2.50/RR:2.75/RR:3.25/RR:3.50,17,17
6m_b1500_g40_e05,6,1500,40,2022-06-17T16:31:40,2022-06-17T17:33:40,RR:1.25/RR:2.25,2,2
6m_b1500_g40_e06,6,1500,40,2023-08-16T17:11:20,2023-08-18T16:27:40,GG:0.50/GG:0.75/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75,7,7
6m_b1500_g40_e07,6,1500,40,2023-10-26T20:03:40,2023-12-01T17:26:40,GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.50/RR:3.50,6,6
6m_b1500_g40_e08,6,1500,40,2024-07-25T09:30:40,2024-08-02T23:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
6m_b1500_g40_e09,6,1500,40,2025-03-11T16:01:20,2025-04-07T18:00:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:3.25/RR:3.50,15,15
6m_b1500_g40_e10,6,1500,40,2025-09-02T16:35:40,2025-09-02T17:00:00,GG:0.75,1,1
6m_b1500_g40_e11,6,1500,40,2025-11-21T13:00:40,2025-11-21T15:00:00,GG:0.50,1,1
6m_b1500_g40_e12,6,1500,40,2026-02-13T16:48:40,2026-03-26T16:39:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
