case,start,left,right,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change,left_pnl,right_pnl,left_mdd,right_mdd
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:0.50,1515.0749999999998,1860.675,2020-03-19,24,34,True,9,-886.575,-1528.775,-1860.675,1596.35,1433.8,1437.15,2661.2
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:0.75,832.5999999999999,2256.5,2020-03-20,28,40,True,5,-886.5749999999999,-1431.975,-2183.925,1596.35,68.85,1437.15,3541.85
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:1.00,427.04999999999995,2178.7,2020-03-19,28,40,True,6,-853.3249999999999,-1519.675,-2178.7,1596.35,-742.25,1437.15,3371.9
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:1.25,1394.5749999999998,2215.1,2020-03-12,25,35,True,7,-951.05,-1530.8999999999999,-1948.725,1596.35,1192.8,1437.15,3029.65
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:1.50,1263.1999999999998,2300.15,2020-03-12,28,40,True,6,-1025.7749999999999,-1545.6250000000002,-2070.7749999999996,1596.35,930.05,1437.15,3202.1
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:1.75,451.99999999999994,2385.725,2020-03-20,29,41,True,6,-1065.075,-1601.1499999999999,-2297.525,1596.35,-692.35,1437.15,3773.35
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:2.00,1002.7249999999999,2331.05,2020-03-19,29,41,True,6,-1065.075,-1656.05,-2316.55,1596.35,409.1,1437.15,3604.45
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:2.25,654.625,2564.675,2020-03-19,29,41,True,6,-1065.075,-1621.075,-2550.175,1596.35,-287.1,1437.15,4001.75
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:2.50,545.875,2682.325,2020-03-19,29,41,True,7,-1065.075,-1578.325,-2667.8250000000003,1596.35,-504.6,1437.15,4228.25
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:2.75,756.5749999999999,2666.3,2020-03-19,29,41,True,6,-1065.0749999999998,-1557.1,-2651.8,1596.35,-83.2,1437.15,4196.2
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:3.00,288.29999999999995,2725.4750000000004,2020-03-19,29,41,True,6,-1065.0749999999998,-1616.6750000000002,-2710.9750000000004,1596.35,-1019.75,1437.15,4314.55
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:3.25,330.94999999999993,2685.95,2020-03-19,29,41,True,5,-1065.0749999999998,-1616.6750000000002,-2671.45,1596.35,-934.45,1437.15,4235.5
3m_2020-01-01,2020-01-01T00:00:00,RR:1.75,GG:3.50,747.55,2505.8500000000004,2020-03-19,29,41,True,4,-1042.5,-1557.1,-2491.3500000000004,1596.35,-101.25,1437.15,3875.3
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:0.50,1116.425,1880.25,2020-03-19,28,40,True,7,-886.5749999999999,-1502.275,-1880.25,799.05,1433.8,1542.1,2661.2
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:0.75,433.95,2249.575,2020-03-20,28,40,True,6,-886.575,-1405.475,-2203.5,799.05,68.85,1542.1,3541.85
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:1.00,28.399999999999977,2198.275,2020-03-19,28,40,True,7,-853.325,-1519.675,-2198.275,799.05,-742.25,1542.1,3371.9
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:1.25,995.925,2234.675,2020-03-12,28,40,True,7,-951.0500000000001,-1530.8999999999999,-1943.7250000000001,799.05,1192.8,1542.1,3029.65
