product,window,minimum_reserve,maximum_reserve,per_pa_capital_gap_pct,book_capital_gap_pct,within_tolerance,minimum_ongoing,maximum_ongoing,minimum_total,maximum_total,minimum_alive,maximum_alive,minimum_deaths,maximum_deaths,minimum_frozen_std,maximum_frozen_std,minimum_per_pa_capital,maximum_per_pa_capital,minimum_book_capital,maximum_book_capital
legacy_25k,start_2021,6800,7500,0.477,0.153,True,305763.0,289512.8,305763.0,441336.76,20,20,44,43,576.5701,547.7085,5079.33,5103.57,68334.09,68438.96
legacy_25k,start_2021,6900,7500,0.577,0.898,True,302263.0,289512.8,302263.0,441336.76,20,20,44,43,582.0522,547.7085,5133.21,5103.57,69058.87,68438.96
legacy_25k,start_2021,7000,7500,1.47,1.788,True,301763.0,289512.8,301763.0,441336.76,20,20,44,43,593.277,547.7085,5179.72,5103.57,69684.62,68438.96
legacy_25k,start_2021,7100,8000,2.465,2.298,True,299605.0,279953.65,299605.0,441777.61,20,20,45,42,605.9429,562.1221,5243.24,5372.5,70416.45,72034.4
legacy_25k,start_2021,7200,8000,1.478,1.312,True,296605.0,279953.65,296605.0,441777.61,20,20,45,42,619.655,562.1221,5294.27,5372.5,71101.83,72034.4
legacy_25k,start_2021,7300,8000,0.678,0.513,True,295605.0,279953.65,295605.0,441777.61,20,20,45,42,628.4185,562.1221,5336.32,5372.5,71666.57,72034.4
legacy_25k,start_2021,7400,8000,0.57,0.585,True,292822.0,279953.65,292822.0,441777.61,20,20,43,42,630.7408,562.1221,5403.29,5372.5,72458.18,72034.4
legacy_25k,start_2021,7500,8000,1.422,1.437,True,292322.0,279953.65,292322.0,441777.61,20,20,43,42,646.2611,562.1221,5449.99,5372.5,73084.43,72034.4
legacy_25k,start_2021,8000,9000,1.588,0.222,True,282447.0,243522.8,282447.0,417695.82,20,20,42,45,689.1722,793.8973,5704.67,5795.25,76488.2,76657.82
legacy_25k,start_2021,9000,10000,3.381,3.071,True,246341.0,224211.15,246341.0,408733.23,20,20,45,43,907.1874,879.2033,6079.49,6285.05,80417.68,82887.51
legacy_25k,start_2021,10000,10000,3.953,3.953,True,227058.0,224211.15,227058.0,408733.23,20,20,43,43,995.8751,879.2033,6543.71,6285.05,86298.71,82887.51
legacy_25k,start_2022,0,1000,22.08,29.873,False,145079.0,171664.7,145079.0,171664.7,15,4,126,143,645.6977,552.5056,1318.77,1027.59,11738.4,8231.78
legacy_25k,start_2022,1000,1000,22.08,29.873,False,145079.0,171664.7,145079.0,171664.7,15,4,126,143,645.6977,552.5056,1318.77,1027.59,11738.4,8231.78
legacy_25k,start_2022,2000,3000,10.777,8.223,False,272622.0,272379.1,272622.0,284379.1,15,12,71,80,464.1719,326.0043,2018.57,2236.12,24284.61,26281.61
