product,initial_cash,monthly_funding,acquisition,spares,passes,withdrawal,cadence,headroom,reserve,fee,accounts,alive,spares_unused,supply_limited,ongoing,terminal,total,contributions,ending_owner_cash,execution,copies,signals_executed,signal_participation,allocation_sha256,objective,tested_count,tied_best,boundary_best
legacy_25k,1000,200,monthly_current_slot_replacements,0,2,minimum,calendar_month,1600,26700.0,200.0,88,20,0,912,290400.0,159139.41,449539.41,16600.0,466139.41,blocking,115120,9102,0.719070943276979,f7809faf88f01f9d3c279070658f5c409a5da11f8ca23483b5b46177a26f1587,total,90,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,0,3,minimum,weekly,1900,27000.0,200.0,117,9,0,819,409100.0,0,409100.0,16600.0,425700.0,blocking,119892,9025,0.712987833781008,feb0eeff2d42a691ef1fb77601cb0c3f5f8d0a23cf04d96bd413d05d9716cabc,ongoing,90,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,0,3,minimum,calendar_month,1600,26700.0,200.0,96,20,0,646,310300.0,162775.94,473075.94,16600.0,489675.94,blocking,127015,9102,0.719070943276979,40f8800ea4b13c03fbd5ac0f9f5bf5ffa9bc9ce8d8f1d8e803cd7ddafdf1b409,total,90,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,0,5,minimum,weekly,1900,27000.0,200.0,142,15,0,564,433600.0,0,433600.0,16600.0,450200.0,blocking,131980,9069,0.7164638963501343,b9145949139645578f4268739b15011a1fb39d1326bf9bc3bc2089f69165bde2,ongoing,82,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,0,5,minimum,calendar_month,0,25100.0,200.0,153,20,0,592,323900.0,152162.55,476062.55,16600.0,492662.55,blocking,135350,9144,0.722389003002054,364a617d8cedbf4c08ae7edd75ca8c36a430a6d17e1aeb8f6a246fc29db508c9,total,82,7,True
legacy_25k,1000,200,monthly_current_slot_replacements,0,10,maximum,weekly,0,25100.0,200.0,389,20,0,430,466038.95,0,466038.95,16600.0,482638.95,blocking,137323,8779,0.6935534839627113,2aa4c723310855df0a8949370a25411da7f9e362fd8f749bd6d977c3f5c9a580,ongoing,82,2,True
legacy_25k,1000,200,monthly_current_slot_replacements,0,10,minimum,calendar_month,0,25100.0,200.0,173,20,0,131,364400.0,153443.8,517843.8,16600.0,534443.8,blocking,152434,9224,0.7287091167641018,f6c83322eb33a34fabdc5eec9a2a9d731ab5f994da37e25e57ab3eb3449924b7,total,82,7,True
legacy_25k,1000,200,monthly_current_slot_replacements,5,1,maximum,weekly,4000,29100.0,200.0,75,3,0,1547,236717.35,3000.0,239717.35,16600.0,256317.35,blocking,79831,9207,0.7273660925896667,b85a31ded0bae859bd714003294b7778f00361e89b69089957b22d42de1f8f99,ongoing,90,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,5,1,minimum,calendar_month,3600,28700.0,200.0,75,19,0,1547,172000.0,144542.87,316542.87,16600.0,333142.87,blocking,87204,9253,0.731000158002844,b16b10d09128a3d302e021c597e01c9585a61847a344231c9a47e11eff8cd2df,total,90,2,False
legacy_25k,1000,200,monthly_current_slot_replacements,5,2,minimum,weekly,1900,27000.0,200.0,102,6,0,959,390100.0,0,390100.0,16600.0,406700.0,blocking,106351,9025,0.712987833781008,e3d5053c73a1821fe4c27f83ba19b4dd8f50851a6aa21904e19d1d7089bb4f6d,ongoing,90,1,False
