case,account_id,rr,activated_at,alive,died_at,death_trade_key,trades,balance,headroom,received,trade_keys_sha256
2020-01__daily_maximum,14,2.50,2021-02-01T00:00:00,False,2021-05-19T20:30:00,RR2.50:16-17:202:552,322,25162.95,62.95,0.0,06f2bb50bbec3e8d79d931ed940143ff9c1eee5027b29d89f76ed5524d2f84ef
2020-01__daily_maximum,15,0.50,2021-03-01T00:00:00,False,2021-05-13T10:31:00,RR0.50:9-10:108:435,321,24430.0,62.5,0.0,ef2289360c480e7494e49415419129534163a8d14840114b802c71ed73a618c8
2020-01__daily_maximum,16,2.50,2021-04-01T00:00:00,False,2021-05-13T10:49:20,RR2.50:1-2:102:369,131,24529.5,11.8,0.0,8e85fcabb2bd2331b5e5ab2aace460f61b0a3fa026c2f490a998a98bf8d25565
2020-01__daily_maximum,17,0.50,2021-05-01T00:00:00,False,2021-05-18T22:53:40,RR0.50:22-23:110:423,77,23676.2,24.9,0.0,24a9efd6fce151ea507329d1ce27476c21263035fedd2f1b69661de05ee153f8
2020-01__daily_maximum,18,2.50,2021-06-01T00:00:00,False,2021-09-28T21:13:40,RR2.50:20-21:147:535,398,24914.65,111.4,0.0,bff8ae2d0758673f3ea28cf9cfbc41f434b92235d8a795f29418101f5bcd53b6
2020-01__daily_maximum,19,0.50,2021-07-01T00:00:00,False,2021-12-03T23:00:00,RR0.50:22-23:164:611,679,25142.6,42.6,0.0,eebc3ca7bcac6f1af6d66145e057dbafa73394240bb22da485b1b8ac5e7a0831
2020-01__daily_maximum,20,2.50,2021-08-01T00:00:00,False,2021-09-28T21:13:40,RR2.50:20-21:147:535,195,24587.8,111.4,0.0,020e738c34579014eeb3dec8a82b75e0e02467a449c4e8a1f092e40b823f74f5
2020-01__daily_maximum,21,0.50,2021-09-01T00:00:00,False,2021-12-03T21:39:20,RR0.50:21-22:170:600,415,25230.3,130.3,0.0,6f97985306ec9c34d929c97b06bf8507beb141aa8de9f52f2aebbcc30ae2d260
2020-01__daily_maximum,22,2.50,2021-10-01T00:00:00,True,,,5496,31882.05,6782.05,27206.94,bd75918dee8b314229ff4c8f9bb3b15cac62903d9714776a27aee3b2d0a7da4b
2020-01__daily_maximum,23,0.50,2021-11-01T00:00:00,False,2021-12-03T21:39:20,RR0.50:21-22:170:600,154,24253.85,119.85,0.0,9f2c37a7eb64f63a153a6bcf7ac080c470939f8d2a6a9b2ef50a979439fccaef
2020-01__daily_maximum,24,2.50,2021-12-01T00:00:00,False,2022-01-07T15:38:40,RR2.50:11-12:155:669,128,23679.65,82.2,0.0,8d1e571718658db2123f4c5701b5fad71b8ded7ef8ab4fc31be066e88a5e0bc5
2020-01__daily_maximum,25,0.50,2022-01-01T00:00:00,True,,,7373,30247.25,5147.25,17091.1,679299f2e8ac43951001124fe08a08bed90c5eda5aeab66adb38975b5c3c56e9
2020-01__daily_maximum,26,2.50,2022-02-01T00:00:00,False,2022-05-12T08:23:40,RR2.50:3-4:205:767,311,25129.0,29.0,0.0,2fb813898c14a2f84b4f3c483947f1ec0b75b9016127689401a318fe2c93d61c
2020-01__daily_maximum,27,0.50,2022-03-01T00:00:00,False,2022-05-02T21:15:40,RR0.50:21-22:206:732,297,24824.7,147.85,0.0,78376c30c40461e60b50f0185e0be1e779944ef1c08f7c93f87a011482915186
2020-01__daily_maximum,28,2.50,2022-04-01T00:00:00,False,2022-05-03T23:30:00,RR2.50:18-19:159:716,106,24377.25,48.25,0.0,2a1542733fdd039cdbf46722acf9b405031fa99aedf32f588484b66a2f213212
2020-01__daily_maximum,29,0.50,2022-05-01T00:00:00,False,2022-05-12T11:45:40,RR0.50:10-11:201:774,56,24060.25,137.6,0.0,bf0111d0e40250c5122fc84853803217cfecae415d4450cb3a4747c8a2b31510
2020-01__daily_maximum,30,2.50,2022-06-01T00:00:00,False,2022-06-13T17:11:40,RR2.50:15-16:254:886,49,23618.1,3.65,0.0,863e537fb0c47a1ce0a3eb27053cd37d7b599a453051e4ce2e0afe92fa60a729
2020-01__daily_maximum,31,0.50,2022-07-01T00:00:00,True,,,6548,30247.25,5147.25,15990.35,49d57db63d00a59d474e4e77f322bad91ca4721bd7ddd4a65f7b69aa2c88d23f
2020-01__daily_maximum,32,2.50,2022-08-01T00:00:00,False,2022-09-05T08:58:40,RR2.50:4-5:228:901,119,24650.6,23.4,0.0,aac95e43ea6918d7a4f055fcd0ee20d21e726c58e992c3ffc8b5587fb21fddfc
2020-01__daily_maximum,33,0.50,2022-09-01T00:00:00,False,2022-11-04T17:51:40,RR0.50:16-17:408:1135,301,24405.5,62.9,0.0,b05eabc70068fae4e064a81091922947220081ee58eea294fa2416d75db977d8
2020-01__daily_maximum,34,2.50,2022-10-01T00:00:00,False,2022-11-04T17:51:40,RR2.50:16-17:408:1135,119,24937.1,96.7,0.0,54c9cab715964988721f7801f17ac77af51e0621a2711d59903baac152b7c25e
