product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,execution,copies,signals_executed,signal_participation,allocation_sha256,job,objective
legacy_50k,5000,200,minimum,weekly,300,50400.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 300, true, 1, 20, 2, true]",ongoing
legacy_50k,5000,200,minimum,weekly,400,50500.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 400, true, 1, 20, 2, true]",ongoing
legacy_50k,5000,200,minimum,weekly,1600,51700.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 1600, true, 1, 20, 2, true]",ongoing
legacy_50k,5000,200,minimum,weekly,1700,51800.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 1700, true, 1, 20, 2, true]",ongoing
legacy_50k,5000,200,minimum,weekly,1800,51900.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 1800, true, 1, 20, 2, true]",ongoing
legacy_50k,5000,200,minimum,weekly,1900,52000.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 1900, true, 1, 20, 2, true]",ongoing
legacy_50k,5000,200,minimum,calendar_month,0,50100.0,True,1,20,2,False,519815.28,346600.0,173215.28,68,20,68,70,160,6400.0,8500.0,14900.0,540415.28,20600.0,0,2,48,48,0,0.0417,32.35,125.02,2137.11,0,87.67,16.47,20,20,19,0,0,0,0,blocking,153167,8948,0.7069047242850371,a494e4323cd49387db9cc6b37120837de196115bd8eee1dd8cbc0f39796a4eb1,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 0, true, 1, 20, 2, false]",total
legacy_50k,5000,200,minimum,calendar_month,500,50600.0,True,1,20,2,False,519815.28,346600.0,173215.28,68,20,68,70,160,6400.0,8500.0,14900.0,540415.28,20600.0,0,2,48,48,0,0.0417,32.35,125.02,2137.11,0,87.67,16.47,20,20,19,0,0,0,0,blocking,153167,8948,0.7069047242850371,a494e4323cd49387db9cc6b37120837de196115bd8eee1dd8cbc0f39796a4eb1,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 500, true, 1, 20, 2, false]",total
legacy_50k,5000,200,minimum,calendar_month,1000,51100.0,True,1,20,2,False,519815.28,346600.0,173215.28,68,20,68,70,160,6400.0,8500.0,14900.0,540415.28,20600.0,0,2,48,48,0,0.0417,32.35,125.02,2137.11,0,87.67,16.47,20,20,19,0,0,0,0,blocking,153167,8948,0.7069047242850371,a494e4323cd49387db9cc6b37120837de196115bd8eee1dd8cbc0f39796a4eb1,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 1000, true, 1, 20, 2, false]",total
legacy_50k,5000,200,minimum,calendar_month,2000,52100.0,True,1,20,2,False,519815.28,346600.0,173215.28,68,20,68,70,160,6400.0,8500.0,14900.0,540415.28,20600.0,0,2,48,48,0,0.0417,32.35,125.02,2137.11,0,87.67,16.47,20,20,19,0,0,0,0,blocking,153167,8948,0.7069047242850371,a494e4323cd49387db9cc6b37120837de196115bd8eee1dd8cbc0f39796a4eb1,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 2000, true, 1, 20, 2, false]",total
