accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,case,start_year,initial_cash_usd,monthly_contribution_usd,purchase_policy,withdrawal,reference_copies,demand_sha256,arm,emergency_seats,extra_purchase_cost_usd,additional_external_funding_usd,delta_ongoing_usd,delta_total_usd,previous_accounts,previous_total_net_usd,delta_vs_previous_routed_usd,procurement,shortfall_seats
117,42,75,64,True,66129,23400.0,151582.1,48906.32,200488.42,2023_1000_200_monthly_one_maximum_weekly_31600,2023,1000,200,monthly_one,maximum_weekly_31600,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,max_headroom,117,14800.0,4400.0,-5897.55,-10572.78,215,166605.43,33882.99,reuse,117
144,48,96,64,True,66129,28800.0,85900.45,78710.76,164611.21,2023_1000_200_monthly_one_maximum_weekly_31600,2023,1000,200,monthly_one,maximum_weekly_31600,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,round_robin,144,20200.0,9047.95,-71579.2,-46449.99,215,33573.2,131038.01,reuse,144
43,14,29,16,False,66129,8600.0,110400.0,103902.29,214302.29,2023_1000_200_monthly_one_minimum_calendar_month_30000,2023,1000,200,monthly_one,minimum_calendar_month_30000,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,reference,0,0,0,0,0,43,214302.29,0.0,,
117,42,75,64,True,66129,23400.0,102100.0,117435.63,219535.63,2023_1000_200_monthly_one_minimum_calendar_month_30000,2023,1000,200,monthly_one,minimum_calendar_month_30000,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,max_headroom,117,14800.0,4400.0,-8300.0,5233.34,215,188665.72,30869.91,reuse,117
154,42,112,64,True,66129,30800.0,93700.0,59236.47,152936.47,2023_1000_200_monthly_one_minimum_calendar_month_30000,2023,1000,200,monthly_one,minimum_calendar_month_30000,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,round_robin,154,22200.0,6300.0,-16700.0,-61365.82,215,34573.2,118363.27,reuse,154
37,20,17,20,False,109195,7400.0,294600.0,88876.34,383476.34,2023_1000_200_weekly_one_minimum_daily_31900,2023,1000,200,weekly_one,minimum_daily_31900,109195,8d8cce30250c5d82ef10a59e07618aead826d024946df5fa368a316785116a19,reference,0,0,0,0,0,37,383476.34,0.0,,
120,40,80,80,True,109195,24000.0,266000.0,1500.0,267500.0,2023_1000_200_weekly_one_minimum_daily_31900,2023,1000,200,weekly_one,minimum_daily_31900,109195,8d8cce30250c5d82ef10a59e07618aead826d024946df5fa368a316785116a19,max_headroom,120,16600.0,8400.0,-28600.0,-115976.34,185,246598.73,20901.27,reuse,120
181,60,121,80,True,109195,36200.0,94300.0,131187.64,225487.64,2023_1000_200_weekly_one_minimum_daily_31900,2023,1000,200,weekly_one,minimum_daily_31900,109195,8d8cce30250c5d82ef10a59e07618aead826d024946df5fa368a316785116a19,round_robin,181,28800.0,14800.0,-200300.0,-157988.7,185,88794.08,136693.56,reuse,181
34,20,14,20,False,109418,6800.0,307329.5,94706.36,402035.86,2023_1000_200_weekly_one_maximum_weekly_31600,2023,1000,200,weekly_one,maximum_weekly_31600,109418,e9fbeef9665a3bcd4c7a4a9600244171d86f4fa45126b1e5ca1ab47ff742c840,reference,0,0,0,0,0,34,402035.86,0.0,,
120,80,40,80,True,109418,24000.0,296356.3,85189.32,381545.62,2023_1000_200_weekly_one_maximum_weekly_31600,2023,1000,200,weekly_one,maximum_weekly_31600,109418,e9fbeef9665a3bcd4c7a4a9600244171d86f4fa45126b1e5ca1ab47ff742c840,max_headroom,120,17200.0,8400.0,-10973.2,-20490.24,170,334396.18,47149.44,reuse,120
177,62,115,80,True,109418,35400.0,110859.4,131934.76,242794.16,2023_1000_200_weekly_one_maximum_weekly_31600,2023,1000,200,weekly_one,maximum_weekly_31600,109418,e9fbeef9665a3bcd4c7a4a9600244171d86f4fa45126b1e5ca1ab47ff742c840,round_robin,177,28600.0,14800.0,-196470.1,-159241.7,170,142918.29,99875.87,reuse,177
36,20,16,20,False,109800,7200.0,220800.0,180835.86,401635.86,2023_1000_200_weekly_one_minimum_calendar_month_30000,2023,1000,200,weekly_one,minimum_calendar_month_30000,109800,ef04ee710b8cbf827f6930f26089120213e19ffdbe722f69e0fd448fd4d2dc64,reference,0,0,0,0,0,36,401635.86,0.0,,
120,80,40,80,True,109800,24000.0,201000.0,195058.02,396058.02,2023_1000_200_weekly_one_minimum_calendar_month_30000,2023,1000,200,weekly_one,minimum_calendar_month_30000,109800,ef04ee710b8cbf827f6930f26089120213e19ffdbe722f69e0fd448fd4d2dc64,max_headroom,120,16800.0,8400.0,-19800.0,-5577.84,180,366902.05,29155.97,reuse,120
137,67,70,80,True,109800,27400.0,90600.0,128099.78,218699.78,2023_1000_200_weekly_one_minimum_calendar_month_30000,2023,1000,200,weekly_one,minimum_calendar_month_30000,109800,ef04ee710b8cbf827f6930f26089120213e19ffdbe722f69e0fd448fd4d2dc64,round_robin,137,20200.0,14000.0,-130200.0,-182936.08,180,174556.09,44143.69,reuse,137
43,14,29,16,False,66129,8600.0,151400.0,62902.29,214302.29,2023_5000_0_monthly_one_minimum_daily_31900,2023,5000,0,monthly_one,minimum_daily_31900,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,reference,0,0,0,0,0,43,214302.29,0.0,,
117,42,75,64,True,66129,23400.0,137600.0,1500.0,139100.0,2023_5000_0_monthly_one_minimum_daily_31900,2023,5000,0,monthly_one,minimum_daily_31900,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,max_headroom,117,14800.0,2200.0,-13800.0,-75202.29,215,106500.0,32600.0,reuse,117
144,47,97,64,True,66129,28800.0,68200.0,61497.74,129697.74,2023_5000_0_monthly_one_minimum_daily_31900,2023,5000,0,monthly_one,minimum_daily_31900,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,round_robin,144,20200.0,11900.0,-83200.0,-84604.55,215,33573.2,96124.54,reuse,144
43,14,29,16,False,66129,8600.0,157479.65,53581.55,211061.2,2023_5000_0_monthly_one_maximum_weekly_31600,2023,5000,0,monthly_one,maximum_weekly_31600,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,reference,0,0,0,0,0,43,211061.2,0.0,,
117,42,75,64,True,66129,23400.0,151582.1,48906.32,200488.42,2023_5000_0_monthly_one_maximum_weekly_31600,2023,5000,0,monthly_one,maximum_weekly_31600,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,max_headroom,117,14800.0,2200.0,-5897.55,-10572.78,215,166605.43,33882.99,reuse,117
144,48,96,64,True,66129,28800.0,85900.45,78710.76,164611.21,2023_5000_0_monthly_one_maximum_weekly_31600,2023,5000,0,monthly_one,maximum_weekly_31600,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,round_robin,144,20200.0,10447.95,-71579.2,-46449.99,215,33573.2,131038.01,reuse,144
43,14,29,16,False,66129,8600.0,110400.0,103902.29,214302.29,2023_5000_0_monthly_one_minimum_calendar_month_30000,2023,5000,0,monthly_one,minimum_calendar_month_30000,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,reference,0,0,0,0,0,43,214302.29,0.0,,
117,42,75,64,True,66129,23400.0,102100.0,117435.63,219535.63,2023_5000_0_monthly_one_minimum_calendar_month_30000,2023,5000,0,monthly_one,minimum_calendar_month_30000,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,max_headroom,117,14800.0,2000.0,-8300.0,5233.34,215,188665.72,30869.91,reuse,117
154,42,112,64,True,66129,30800.0,93700.0,59236.47,152936.47,2023_5000_0_monthly_one_minimum_calendar_month_30000,2023,5000,0,monthly_one,minimum_calendar_month_30000,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,round_robin,154,22200.0,6900.0,-16700.0,-61365.82,215,34573.2,118363.27,reuse,154
40,20,20,20,False,122512,8000.0,315500.0,89192.39,404692.39,2023_5000_0_weekly_one_minimum_daily_31900,2023,5000,0,weekly_one,minimum_daily_31900,122512,0aa21523e23f480fc98a72e799da3fe6db71cd5776cf73d96f8c8213cce0208f,reference,0,0,0,0,0,40,404692.39,0.0,,
130,80,50,95,True,122512,26000.0,279000.0,6855.94,285855.94,2023_5000_0_weekly_one_minimum_daily_31900,2023,5000,0,weekly_one,minimum_daily_31900,122512,0aa21523e23f480fc98a72e799da3fe6db71cd5776cf73d96f8c8213cce0208f,max_headroom,130,18000.0,14000.0,-36500.0,-118836.45,200,267342.69,18513.25,reuse,130
153,60,93,95,True,122512,30600.0,131400.0,92691.3,224091.3,2023_5000_0_weekly_one_minimum_daily_31900,2023,5000,0,weekly_one,minimum_daily_31900,122512,0aa21523e23f480fc98a72e799da3fe6db71cd5776cf73d96f8c8213cce0208f,round_robin,153,22600.0,15800.0,-184100.0,-180601.09,200,165056.44,59034.86,reuse,153
37,20,17,20,False,122735,7400.0,328545.55,94706.36,423251.91,2023_5000_0_weekly_one_maximum_weekly_31600,2023,5000,0,weekly_one,maximum_weekly_31600,122735,772e9a8bdfe69aa99d4696f75a894a7bd73673e18bf9b81bf8c04e224f8ce669,reference,0,0,0,0,0,37,423251.91,0.0,,
130,80,50,95,True,122735,26000.0,312005.5,84018.96,396024.46,2023_5000_0_weekly_one_maximum_weekly_31600,2023,5000,0,weekly_one,maximum_weekly_31600,122735,772e9a8bdfe69aa99d4696f75a894a7bd73673e18bf9b81bf8c04e224f8ce669,max_headroom,130,18600.0,14000.0,-16540.05,-27227.45,185,348798.12,47226.34,reuse,130
158,60,98,95,True,122735,31600.0,135642.75,157919.15,293561.9,2023_5000_0_weekly_one_maximum_weekly_31600,2023,5000,0,weekly_one,maximum_weekly_31600,122735,772e9a8bdfe69aa99d4696f75a894a7bd73673e18bf9b81bf8c04e224f8ce669,round_robin,158,24200.0,15800.0,-192902.8,-129690.01,185,215943.83,77618.07,reuse,158
40,20,20,20,False,123358,8000.0,231000.0,191651.91,422651.91,2023_5000_0_weekly_one_minimum_calendar_month_30000,2023,5000,0,weekly_one,minimum_calendar_month_30000,123358,21f06f3337a7f448b8f2c9fe2414c75d1dd2f347e99cb832b1c46f229a55d0a4,reference,0,0,0,0,0,40,422651.91,0.0,,
