cohort,kind,start,portfolio,lower_rr,higher_rr,lower_weight,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change,mdd_delta_vs_rr1,pnl_delta_vs_rr1,beats_both_constituents,smoothing
12m_2020-01-01,12m,2020-01-01,pair_1.00_2.75_low50,1.00,2.75,0.5,3823.95,2141.9,2020-03-19,48,69,True,20,-942.3,-1494.0,-2141.9,-147.69999999999982,1683.1999999999998,True,153.07499999999982
12m_2020-01-01,12m,2020-01-01,pair_1.00_2.75_low75,1.00,2.75,0.75,2982.35,2183.4,2020-03-19,55,78,True,16,-942.3000000000001,-1381.15,-2183.4,-106.19999999999982,841.5999999999999,True,108.88749999999982
12m_2020-01-01,12m,2020-01-01,pair_1.00_3.00_low25,1.00,3.00,0.25,4366.975,2645.1375,2020-03-18,48,69,True,21,-942.3,-1606.8500000000001,-2590.1625000000004,355.5374999999999,2226.2250000000004,False,175.72500000000036
12m_2020-01-01,12m,2020-01-01,pair_1.00_3.00_low50,1.00,3.00,0.5,3624.9,2450.05,2020-03-19,54,77,True,18,-942.3,-1494.0,-2450.05,160.45000000000027,1484.15,False,193.7249999999999
12m_2020-01-01,12m,2020-01-01,pair_1.00_3.00_low75,1.00,3.00,0.75,2882.825,2337.4750000000004,2020-03-19,55,78,True,16,-942.3,-1381.15,-2337.4750000000004,47.875000000000455,742.0749999999998,False,129.21249999999964
12m_2020-01-01,12m,2020-01-01,pair_1.00_3.25_low25,1.00,3.25,0.25,4164.25,2569.6875,2020-03-18,48,69,True,24,-942.3000000000002,-1606.8500000000004,-2514.7125,280.0875000000001,2023.5,False,175.7249999999999
12m_2020-01-01,12m,2020-01-01,pair_1.00_3.25_low50,1.00,3.25,0.5,3489.75,2242.0249999999996,2020-03-18,54,77,True,19,-942.3,-1494.0,-2201.75,-47.57500000000027,1349.0,True,351.4500000000003
12m_2020-01-01,12m,2020-01-01,pair_1.00_3.25_low75,1.00,3.25,0.75,2815.25,2213.325,2020-03-19,55,78,True,17,-942.3000000000002,-1381.15,-2213.325,-76.27500000000009,674.5,True,228.2125000000001
12m_2020-01-01,12m,2020-01-01,pair_1.00_3.50_low25,1.00,3.50,0.25,3446.3875,2569.6875,2020-03-18,54,77,True,22,-942.3,-1606.85,-2512.8374999999996,280.0875000000001,1305.6374999999998,False,175.7249999999999
12m_2020-01-01,12m,2020-01-01,pair_1.00_3.50_low50,1.00,3.50,0.5,3011.175,2242.025,2020-03-18,55,78,True,20,-942.3000000000001,-1494.0,-2192.075,-47.57499999999982,870.4250000000002,True,351.4499999999998
