product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,job,objective
legacy_25k,5000,200,maximum,daily,7100,32200.0,False,0,5,5,False,613336.03,507566.85,105769.18,57,20,57,62,137,4521.0,7125.0,11646.0,633936.03,20600.0,0,5,37,37,0,0.5135,0.93,130.04,1264.81,0,58.67,15.35,5,5,9,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 7100, false, 0, 5, 5, false]",total
legacy_25k,5000,200,minimum,daily,4000,29100.0,False,0,5,5,False,550593.0,550593.0,0,84,10,84,89,179,5907.0,10500.0,16407.0,571193.0,20600.0,0,5,74,64,10,0.3243,28.28,126.04,2825.78,42.02,85.67,14.7,5,5,10,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 4000, false, 0, 5, 5, false]",ongoing
legacy_25k,5000,200,minimum,calendar_month,2800,27900.0,True,0,10,10,False,647260.47,464054.0,183206.47,55,20,55,65,187,6171.0,6875.0,13046.0,667860.47,20600.0,0,10,35,35,0,0.6857,0.47,126.04,711.2,0,35.67,17.01,10,10,10,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 2800, true, 0, 10, 10, false]",total
legacy_25k,5000,200,minimum,daily,3000,28100.0,True,0,10,10,False,590984.0,590984.0,0,123,10,123,133,277,9141.0,15375.0,24516.0,611584.0,20600.0,0,10,113,103,10,0.531,0.47,62.02,2203.81,14.19,89.67,16.38,10,10,30,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 3000, true, 0, 10, 10, false]",ongoing
legacy_25k,5000,200,minimum,calendar_month,2800,27900.0,True,0,20,10,False,648335.51,465695.0,182640.51,58,20,58,69,185,6105.0,7250.0,13355.0,668935.51,20600.0,0,10,38,38,0,0.6842,0.47,48.04,557.84,0,35.67,17.14,20,20,20,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, false]",total
legacy_25k,5000,200,minimum,daily,3000,28100.0,True,0,20,10,False,597252.0,597252.0,0,113,20,113,124,281,9273.0,14125.0,23398.0,617852.0,20600.0,0,10,93,93,0,0.5484,0.7,62.02,1791.6,0,89.67,16.63,20,20,30,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 3000, true, 0, 20, 10, false]",ongoing
legacy_50k,5000,200,maximum,daily,7200,57300.0,False,7,2,5,True,517053.55,404389.22,112664.33,44,20,44,44,120,4800.0,5500.0,10300.0,537653.55,20600.0,0,0,24,24,0,0.125,48.22,148.49,1466.68,0,89.67,12.46,2,2,3,0,0,0,0,"[""legacy_50k"", 5000, 200, ""maximum"", ""daily"", 7200, false, 7, 2, 5, true]",total
legacy_50k,5000,200,minimum,daily,3900,54000.0,False,0,2,5,True,433520.0,433520.0,0,50,2,50,52,142,5680.0,6250.0,11930.0,454120.0,20600.0,0,2,48,30,18,0.0417,50.02,130.49,4003.16,126.54,115.67,11.5,2,2,4,0,0,0,0,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 3900, false, 0, 2, 5, true]",ongoing
legacy_50k,5000,200,maximum,daily,6800,56900.0,False,1,5,10,True,616775.1,516933.57,99841.53,41,20,41,41,131,5240.0,5125.0,10365.0,637375.1,20600.0,0,0,21,21,0,0.4286,30.49,93.24,706.03,0,89.67,15.53,5,5,5,0,0,0,0,"[""legacy_50k"", 5000, 200, ""maximum"", ""daily"", 6800, false, 1, 5, 10, true]",total
legacy_50k,5000,200,minimum,daily,4000,54100.0,False,1,5,10,True,548345.0,548345.0,0,51,4,51,56,162,6480.0,6375.0,12855.0,568945.0,20600.0,0,5,47,31,16,0.1915,34.24,94.24,2864.3,126.54,117.67,14.63,5,5,7,0,0,0,0,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 4000, false, 1, 5, 10, true]",ongoing
legacy_50k,5000,200,maximum,daily,6800,56900.0,True,1,10,2,True,638857.29,539971.69,98885.6,43,20,43,43,106,4240.0,5375.0,9615.0,659457.29,20600.0,0,0,23,23,0,0.0435,35.49,126.35,1138.31,0,60.67,16.55,10,10,10,128,0,0,78,"[""legacy_50k"", 5000, 200, ""maximum"", ""daily"", 6800, true, 1, 10, 2, true]",total
legacy_50k,5000,200,minimum,daily,4000,54100.0,True,1,10,2,True,569995.0,569995.0,0,57,4,57,67,162,6480.0,7125.0,13605.0,590595.0,20600.0,0,10,53,37,16,0.0189,41.35,126.35,3194.67,119.42,88.67,15.7,10,10,10,120,0,0,70,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 4000, true, 1, 10, 2, true]",ongoing
