account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
18,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,0,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
19,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,0,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
20,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,0,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
21,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,0,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
22,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,0,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
23,2021-04,2021-04-01 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1961.35,RR1.00:15-16:152:510,70,278,96,181,-1568.5,290.85,0,0,2,0.0,0.0,0,0.0,0.0,,-1859.35,,505.9,-1961.35,558.85,-1941.15,
24,2021-05,2021-05-01 00:00:00,False,2022-05-12 09:47:40,intratrade_excursion,89.35,RR1.00:9-10:216:798,376,1434,570,863,1701.5,1504.65,0,0,12,0.0,0.0,0,0.0,0.0,,196.85,,3201.75,-2139.3,3309.4,100.0,
25,2021-05,2021-05-28 00:00:00,False,2022-07-01 11:06:40,intratrade_excursion,73.2,RR1.00:10-11:214:825,399,1547,617,929,1755.0,1623.3,0,0,14,0.0,0.0,0,0.0,0.0,,131.7,,4490.5,-850.55,4598.15,100.0,
26,2021-06,2021-06-01 00:00:00,False,2022-07-01 16:36:20,intratrade_excursion,95.6,RR1.00:15-16:260:910,395,1539,616,922,1848.5,1614.9,0,0,13,0.0,0.0,0,0.0,0.0,,233.6,,4562.5,-778.55,4670.15,100.0,
27,2021-06,2021-06-04 00:00:00,True,,,,,,7316,3086,4230,35362.5,7681.8,35,8,19,27580.69,27322.62,0,0.0,0.0,2023-04-01 00:00:00,100.01,50100.01,13077.4,-635.35,13142.4,100.0,0.01
28,2021-06,2021-06-05 00:00:00,True,,,,,,7310,3084,4226,35386.0,7675.5,35,8,19,27610.49,27349.44,0,0.0,0.0,2023-04-01 00:00:00,100.01,50100.01,13107.2,-605.55,13172.2,100.0,0.01
29,2021-06,2021-06-08 00:00:00,True,,,,,,7302,3082,4220,35489.5,7667.1,36,8,18,27722.39,27450.15,0,0.0,0.0,2023-04-01 00:00:00,100.01,50100.01,12719.1,-493.65,12784.1,100.0,0.01
30,2021-06,2021-06-10 00:00:00,True,,,,,,7291,3078,4213,35635.5,7655.55,36,8,18,27879.94,27591.95,0,0.0,0.0,2022-12-01 00:00:00,100.01,50100.01,12876.65,-336.1,12941.65,100.0,0.01
31,2021-06,2021-06-11 00:00:00,True,,,,,,7285,3075,4210,35709.5,7649.25,36,8,18,27960.24,27664.22,0,0.0,0.0,2022-12-01 00:00:00,100.01,50100.01,12956.95,-255.8,13021.95,100.0,0.01
32,2021-07,2021-07-01 00:00:00,True,,,,,,7199,3037,4162,35491.5,7558.95,36,6,19,27832.54,27549.29,0,0.0,0.0,2022-12-01 00:00:00,100.01,50100.01,12829.25,-67.15,12894.25,100.0,0.01
33,2021-07,2021-07-01 00:00:00,True,,,,,,7199,3037,4162,35491.5,7558.95,36,6,19,27832.54,27549.29,0,0.0,0.0,2022-12-01 00:00:00,100.01,50100.01,12829.25,-67.15,12894.25,100.0,0.01
34,2021-07,2021-07-01 00:00:00,True,,,,,,7199,3037,4162,35491.5,7558.95,36,6,19,27832.54,27549.29,0,0.0,0.0,2022-12-01 00:00:00,100.01,50100.01,12829.25,-67.15,12894.25,100.0,0.01
35,2021-08,2021-08-01 00:00:00,False,2022-07-01 16:36:20,intratrade_excursion,99.7,RR1.00:15-16:260:910,334,1297,517,779,1598.5,1360.8,0,0,11,0.0,0.0,0,0.0,0.0,,237.7,,4566.6,-194.15,4674.25,100.0,
36,2021-09,2021-09-01 00:00:00,False,2022-06-30 12:11:40,intratrade_excursion,64.0,RR1.00:10-11:213:823,302,1171,467,703,1381.0,1228.5,0,0,9,0.0,0.0,0,0.0,0.0,,152.5,,4364.0,-396.75,4471.65,100.0,
37,2021-11,2021-11-01 00:00:00,False,2022-05-12 03:02:40,intratrade_excursion,87.45,RR1.00:2-3:216:823,192,732,289,442,914.0,767.55,0,0,6,0.0,0.0,0,0.0,0.0,,146.45,,2916.25,-1765.05,3023.9,100.0,
38,2021-12,2021-12-01 00:00:00,False,2022-05-11 22:15:40,intratrade_excursion,49.1,RR1.00:21-22:209:746,161,609,242,366,920.0,638.4,0,0,5,0.0,0.0,0,0.0,0.0,,281.6,,2817.85,-1863.45,2925.5,100.0,
39,2022-01,2022-01-01 00:00:00,False,2022-05-12 16:32:40,intratrade_excursion,23.2,RR1.00:16-17:342:938,131,497,196,300,686.5,520.8,0,0,4,0.0,0.0,0,0.0,0.0,,165.7,,3510.75,-1170.55,3618.4,100.0,
40,2022-02,2022-02-01 00:00:00,False,2022-05-12 14:48:40,intratrade_excursion,25.45,RR1.00:12-13:187:744,100,382,154,227,507.0,400.05,0,0,3,0.0,0.0,0,0.0,0.0,,106.95,,3369.45,-50.55,3477.1,100.0,
41,2022-04,2022-04-01 00:00:00,False,2022-05-11 20:05:40,intratrade_excursion,-1118.95,RR1.00:16-17:341:936,40,150,61,88,-225.5,156.45,0,0,1,0.0,0.0,0,0.0,0.0,,-381.95,,1416.25,-1118.95,1523.9,-976.1,
42,2022-05,2022-05-01 00:00:00,False,2022-05-12 14:48:40,intratrade_excursion,-2169.85,RR1.00:12-13:187:744,11,48,13,34,-2039.0,49.35,0,0,0,0.0,0.0,0,0.0,0.0,,-2088.35,,252.5,-2169.85,391.4,-2108.6,
