account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
112,2023-10,2023-10-24 00:00:00,False,2024-07-24 15:08:40,intratrade_excursion,36.2,RR1.00:11-12:333:1458,274,1063,478,584,7398.0,1115.1,5,21,12,6142.7,6142.7,0,0.0,0.0,2024-02-19 00:00:00,140.2,,3423.55,-823.75,3447.55,100.0,
113,2023-10,2023-10-24 00:00:00,False,2024-07-24 15:08:40,intratrade_excursion,36.2,RR1.00:11-12:333:1458,274,1063,478,584,7398.0,1115.1,5,21,12,6142.7,6142.7,0,0.0,0.0,2024-02-19 00:00:00,140.2,,3423.55,-823.75,3447.55,100.0,
114,2023-10,2023-10-24 00:00:00,False,2024-07-24 15:08:40,intratrade_excursion,36.2,RR1.00:11-12:333:1458,274,1063,478,584,7398.0,1115.1,5,21,12,6142.7,6142.7,0,0.0,0.0,2024-02-19 00:00:00,140.2,,3423.55,-823.75,3447.55,100.0,
115,2023-10,2023-10-24 00:00:00,False,2024-07-24 15:08:40,intratrade_excursion,36.2,RR1.00:11-12:333:1458,274,1063,478,584,7398.0,1115.1,5,21,12,6142.7,6142.7,0,0.0,0.0,2024-02-19 00:00:00,140.2,,3423.55,-823.75,3447.55,100.0,
116,2023-10,2023-10-24 00:00:00,False,2024-07-24 15:08:40,intratrade_excursion,36.2,RR1.00:11-12:333:1458,274,1063,478,584,7398.0,1115.1,5,21,12,6142.7,6142.7,0,0.0,0.0,2024-02-19 00:00:00,140.2,,3423.55,-823.75,3447.55,100.0,
117,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
118,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
119,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
120,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
121,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
122,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
123,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
