months,budget,left,right,eligible,left_failed,right_failed,both,left_only,right_only,neither,failed_window_jaccard,right_given_left,left_given_right,continuous_deep_dd_jaccard,both_cases,left_only_cases,right_only_cases
1,1500,1.25,1.50,78,10,14,10,0,4,64,0.7142857142857143,1.0,0.7142857142857143,0.674074074074074,1m_2020-03-01;1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,,1m_2021-12-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01
1,1500,1.25,1.75,78,10,13,9,1,4,64,0.6428571428571429,0.9,0.6923076923076923,0.5744234800838575,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2020-06-01;1m_2022-11-01;1m_2024-07-01;1m_2025-11-01
1,1500,1.25,2.00,78,10,13,9,1,4,64,0.6428571428571429,0.9,0.6923076923076923,0.5366300366300366,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2020-06-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01
1,1500,1.25,2.25,78,10,12,8,2,4,64,0.5714285714285714,0.8,0.6666666666666666,0.561122244488978,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01;1m_2023-10-01,1m_2020-06-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01
1,1500,1.25,2.50,78,10,13,8,2,5,63,0.5333333333333333,0.8,0.6153846153846154,0.518,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01;1m_2023-10-01,1m_2022-01-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01;1m_2025-11-01
1,1500,1.25,2.75,78,10,15,9,1,6,62,0.5625,0.9,0.6,0.5290697674418605,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2021-09-01;1m_2022-01-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01;1m_2025-11-01
1,1500,1.25,3.00,78,10,14,9,1,5,63,0.6,0.9,0.6428571428571429,0.5095785440613027,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2021-09-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01;1m_2025-11-01
1,1500,1.25,3.25,78,10,12,9,1,3,65,0.6923076923076923,0.9,0.75,0.5491452991452992,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2022-01-01;1m_2024-07-01;1m_2024-08-01
1,1500,1.25,3.50,78,10,14,9,1,5,63,0.6,0.9,0.6428571428571429,0.6048034934497817,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2021-12-01;1m_2022-01-01;1m_2024-07-01;1m_2024-08-01;1m_2025-11-01
1,1500,1.25,1000,70,9,18,9,0,9,52,0.5,1.0,0.5,0.4190938511326861,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,,1m_2020-10-01;1m_2021-09-01;1m_2021-12-01;1m_2022-01-01;1m_2022-04-01;1m_2022-09-01;1m_2023-08-01;1m_2024-08-01;1m_2024-09-01
