case,portfolio,start_year,permutation,assignment_order,accounts,deaths,alive,net_operating_cash,receipts,acquisition_costs,retained_equity,copies,mean_daily_alive,book_wipeouts,days_empty_after_first_activation,continuous_after_activation,first_activation,prior_ledger_reproduced,tape_first_entry,tape_last_exit
rr_pair__2023__p01,rr_pair,2023,1,RR:0.50;RR:2.50,37,17,20,227966.0,235000.0,7034.0,162119.75,60937,12.434883720930232,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
rr_pair__2023__p02,rr_pair,2023,2,RR:2.50;RR:0.50,37,17,20,214301.0,221500.0,7199.0,159468.65,57869,11.924806201550387,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
rr_pair__2024__p01,rr_pair,2024,1,RR:0.50;RR:2.50,35,19,16,100985.0,108000.0,7015.0,112997.8,31937,9.02918918918919,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
rr_pair__2024__p02,rr_pair,2024,2,RR:2.50;RR:0.50,39,20,19,127150.0,134500.0,7350.0,131475.1,37091,10.662702702702703,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
rr_pair__2025__p01,rr_pair,2025,1,RR:0.50;RR:2.50,15,7,8,2607.0,6000.0,3393.0,46013.65,8646,3.9427549194991056,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
rr_pair__2025__p02,rr_pair,2025,2,RR:2.50;RR:0.50,16,8,8,5114.0,8500.0,3386.0,48121.95,9041,4.275491949910554,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
cross_pair__2020__p01,cross_pair,2020,1,RR:0.50;GG:1.25,90,70,20,297738.0,314400.0,16662.0,144846.1,142190,13.764459346186085,0,0.0,True,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
cross_pair__2020__p02,cross_pair,2020,2,GG:1.25;RR:0.50,90,70,20,300790.0,317650.0,16860.0,144182.05,138679,13.430008382229673,1,0.0856,False,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
cross_pair__2021__p01,cross_pair,2021,1,RR:0.50;GG:1.25,86,67,19,254470.0,270500.0,16030.0,137530.9,110469,12.637623762376238,1,49.0461,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
cross_pair__2021__p02,cross_pair,2021,2,GG:1.25;RR:0.50,66,46,20,265092.0,277500.0,12408.0,144361.4,107344,12.305445544554455,3,60.7282,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
cross_pair__2022__p01,cross_pair,2022,1,RR:0.50;GG:1.25,55,36,19,223094.0,233500.0,10406.0,139815.65,90494,12.657401812688821,0,0.0,True,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
cross_pair__2022__p02,cross_pair,2022,2,GG:1.25;RR:0.50,58,38,20,211219.0,222000.0,10781.0,143145.35,90314,12.658610271903322,2,62.4065,False,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
cross_pair__2023__p01,cross_pair,2023,1,RR:0.50;GG:1.25,42,23,19,137511.0,145500.0,7989.0,139196.3,65267,11.762015503875968,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
cross_pair__2023__p02,cross_pair,2023,2,GG:1.25;RR:0.50,42,23,19,146511.0,154500.0,7989.0,136968.9,67691,12.214728682170543,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
cross_pair__2024__p01,cross_pair,2024,1,RR:0.50;GG:1.25,46,29,17,63412.0,72000.0,8588.0,114887.75,40943,10.317837837837837,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
cross_pair__2024__p02,cross_pair,2024,2,GG:1.25;RR:0.50,45,29,16,48471.0,57000.0,8529.0,107891.3,37828,9.564324324324325,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
cross_pair__2025__p01,cross_pair,2025,1,RR:0.50;GG:1.25,19,12,7,-1558.0,2500.0,4058.0,36958.2,9554,3.958855098389982,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
cross_pair__2025__p02,cross_pair,2025,2,GG:1.25;RR:0.50,23,16,7,-2124.0,2500.0,4624.0,39128.9,9674,4.026833631484794,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
rr_triple__2020__p01,rr_triple,2020,1,RR:0.50;RR:2.50;RR:1.00,89,69,20,335303.0,352500.0,17197.0,160691.95,123116,13.525565800502934,0,0.0,True,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
rr_triple__2020__p02,rr_triple,2020,2,RR:0.50;RR:1.00;RR:2.50,87,67,20,325766.0,342350.0,16584.0,157758.2,121430,13.182732606873428,0,0.0,True,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
rr_triple__2020__p03,rr_triple,2020,3,RR:2.50;RR:0.50;RR:1.00,82,62,20,342705.0,358400.0,15695.0,160163.8,122389,13.486588432523051,2,0.4664,False,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
rr_triple__2020__p04,rr_triple,2020,4,RR:2.50;RR:1.00;RR:0.50,88,68,20,339125.0,355900.0,16775.0,159400.8,120473,13.364626990779547,2,0.4664,False,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
rr_triple__2020__p05,rr_triple,2020,5,RR:1.00;RR:0.50;RR:2.50,76,56,20,338302.0,352950.0,14648.0,158276.75,122775,13.356244761106455,2,0.3088,False,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
rr_triple__2020__p06,rr_triple,2020,6,RR:1.00;RR:2.50;RR:0.50,79,59,20,351578.0,366700.0,15122.0,159411.75,126419,13.968566638725902,2,0.3088,False,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
rr_triple__2021__p01,rr_triple,2021,1,RR:0.50;RR:2.50;RR:1.00,71,51,20,296708.0,310500.0,13792.0,158727.7,94326,12.15990099009901,1,4.1458,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
rr_triple__2021__p02,rr_triple,2021,2,RR:0.50;RR:1.00;RR:2.50,69,49,20,311189.0,324500.0,13311.0,156208.9,103196,13.2,0,0.0,True,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
rr_triple__2021__p03,rr_triple,2021,3,RR:2.50;RR:0.50;RR:1.00,68,48,20,311781.0,325000.0,13219.0,159274.2,98073,12.726237623762376,2,23.3322,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
rr_triple__2021__p04,rr_triple,2021,4,RR:2.50;RR:1.00;RR:0.50,75,55,20,286576.0,301000.0,14424.0,158897.0,90934,11.866831683168316,3,28.6403,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
rr_triple__2021__p05,rr_triple,2021,5,RR:1.00;RR:0.50;RR:2.50,75,55,20,294076.0,308500.0,14424.0,156666.45,97487,12.47871287128713,2,26.4509,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
rr_triple__2021__p06,rr_triple,2021,6,RR:1.00;RR:2.50;RR:0.50,77,57,20,288628.0,303500.0,14872.0,156566.95,92439,12.014356435643565,2,6.4539,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
rr_triple__2022__p01,rr_triple,2022,1,RR:0.50;RR:2.50;RR:1.00,47,27,20,280490.0,289500.0,9010.0,158485.5,81193,12.763746223564954,0,0.0,True,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
rr_triple__2022__p02,rr_triple,2022,2,RR:0.50;RR:1.00;RR:2.50,43,23,20,280155.0,288500.0,8345.0,157056.05,82454,12.858006042296072,0,0.0,True,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
rr_triple__2022__p03,rr_triple,2022,3,RR:2.50;RR:0.50;RR:1.00,53,33,20,279377.0,289500.0,10123.0,159250.95,81915,12.981873111782477,1,55.51,False,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
rr_triple__2022__p04,rr_triple,2022,4,RR:2.50;RR:1.00;RR:0.50,47,27,20,288023.0,297000.0,8977.0,158301.35,80247,12.781873111782478,3,32.962,False,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
rr_triple__2022__p05,rr_triple,2022,5,RR:1.00;RR:0.50;RR:2.50,51,31,20,278726.0,288500.0,9774.0,156520.1,83558,13.069486404833837,1,55.3829,False,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
rr_triple__2022__p06,rr_triple,2022,6,RR:1.00;RR:2.50;RR:0.50,44,24,20,294629.0,303000.0,8371.0,157796.75,83242,13.203625377643505,2,23.6664,False,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
