case,portfolio,members,groups,failed_groups,failed_fraction,full_loss,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change
3m_2024-01-01,rr_pair,RR:0.50;RR:2.50,2,0,0.0,False,1714.4,530.275,2024-01-31,14,20,True,9,-287.6,-406.875,-356.4749999999999
3m_2024-01-01,cross_pair,RR:0.50;GG:1.25,2,0,0.0,False,1144.125,700.6500000000001,2024-02-28,24,34,True,6,-342.075,-576.625,-440.75
3m_2024-01-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,0,0.0,False,1983.3333333333333,512.8333333333333,2024-02-28,19,27,True,8,-302.51666666666677,-354.6333333333332,-267.01666666666665
3m_2024-01-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,0,0.0,False,1603.1499999999999,546.3833333333334,2024-02-28,13,19,True,10,-289.3833333333333,-457.1333333333333,-323.19999999999993
3m_2024-04-01,RR:0.50,RR:0.50,1,0,0.0,False,2183.7,1706.25,2024-04-30,38,52,False,4,-529.95,-1328.35,-1136.65
3m_2024-04-01,RR:1.00,RR:1.00,1,0,0.0,False,2867.45,1377.8000000000002,2024-04-18,26,36,False,6,-556.85,-1197.65,-584.65
3m_2024-04-01,RR:2.50,RR:2.50,1,0,0.0,False,3274.75,1807.4,2024-04-19,25,35,False,7,-556.85,-1184.3,-1481.9499999999998
3m_2024-04-01,GG:1.25,GG:1.25,1,0,0.0,False,2362.85,770.0999999999999,2024-06-26,16,22,True,8,-415.2999999999997,-770.0999999999999,-192.0
3m_2024-04-01,rr_pair,RR:0.50;RR:2.50,2,0,0.0,False,2729.225,1646.55,2024-04-30,27,39,False,7,-531.85,-1256.325,-1309.3
3m_2024-04-01,cross_pair,RR:0.50;GG:1.25,2,0,0.0,False,2273.2749999999996,1008.3499999999999,2024-04-30,23,33,True,8,-411.1,-996.5999999999999,-664.325
3m_2024-04-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,0,0.0,False,2775.2999999999997,1497.7833333333333,2024-04-30,26,36,False,8,-540.1833333333333,-1236.7666666666667,-1061.7333333333333
