product,initial_cash,monthly_funding,acquisition,spares,passes,withdrawal,cadence,headroom,reserve,fee,accounts,alive,spares_unused,supply_limited,ongoing,terminal,total,contributions,ending_owner_cash,objective,tested_count,tied_best,boundary_best
legacy_25k,5000,0,monthly_one,0,1,minimum,daily,8200,33300.0,200.0,57,20,0,0,335950.0,128961.75,464911.75,5000.0,469911.75,total,90,2,False
legacy_25k,5000,0,weekly_one,0,1,minimum,daily,4000,29100.0,200.0,65,3,0,205,416350.0,0,416350.0,5000.0,421350.0,ongoing,90,1,False
legacy_25k,5000,0,weekly_one,0,1,minimum,daily,7700,32800.0,200.0,56,20,0,185,369800.0,119980.17,489780.17,5000.0,494780.17,total,90,9,False
legacy_25k,5000,0,weekly_one,0,2,minimum,daily,3900,29000.0,200.0,89,5,0,96,423300.0,0,423300.0,5000.0,428300.0,ongoing,82,1,False
legacy_25k,5000,0,weekly_one,0,2,minimum,calendar_month,3000,28100.0,200.0,76,20,0,79,338800.0,191327.75,530127.75,5000.0,535127.75,total,82,2,False
legacy_25k,5000,0,weekly_one,0,3,minimum,daily,3600,28700.0,200.0,99,6,0,36,447400.0,0,447400.0,5000.0,452400.0,ongoing,82,1,False
legacy_25k,5000,0,weekly_one,0,3,minimum,calendar_month,3000,28100.0,200.0,81,20,0,34,350800.0,193045.96,543845.96,5000.0,548845.96,total,82,2,False
legacy_25k,5000,0,weekly_one,0,5,minimum,daily,3700,28800.0,200.0,114,8,0,0,489650.0,0,489650.0,5000.0,494650.0,ongoing,82,1,False
legacy_25k,5000,0,weekly_one,0,5,minimum,calendar_month,3000,28100.0,200.0,86,20,0,0,388200.0,193396.36,581596.36,5000.0,586596.36,total,82,2,False
legacy_25k,5000,200,monthly_current_slot_replacements,0,1,minimum,daily,4100,29200.0,200.0,66,2,0,1207,391100.0,0,391100.0,20600.0,411700.0,ongoing,90,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,0,1,minimum,weekly,6100,31200.0,200.0,60,20,0,1088,360650.0,103661.75,464311.75,20600.0,484911.75,total,90,11,False
legacy_25k,5000,200,monthly_current_slot_replacements,0,2,minimum,daily,4000,29100.0,200.0,74,4,0,587,519350.0,0,519350.0,20600.0,539950.0,ongoing,82,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,0,2,maximum,daily,7600,32700.0,200.0,64,20,0,468,469379.45,117232.68,586612.13,20600.0,607212.13,total,82,9,False
legacy_25k,5000,200,monthly_current_slot_replacements,0,3,minimum,daily,3600,28700.0,200.0,88,6,0,451,551200.0,0,551200.0,20600.0,571800.0,ongoing,82,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,0,3,minimum,calendar_month,3300,28400.0,200.0,72,20,0,322,415100.0,196790.24,611890.24,20600.0,632490.24,total,82,2,False
legacy_25k,5000,200,monthly_current_slot_replacements,0,5,minimum,daily,2400,27500.0,200.0,160,10,0,473,545500.0,0,545500.0,20600.0,566100.0,ongoing,98,1,False
