arm,strategy,risk_reward,survived_targets,survived_cases,worst_target_headroom_usd,failed_quarters_of_26,common_failures_remaining,failed_cases
RR:3.03,RR,3.03,0,,-2337.55,,,
RR:3.04,RR,3.04,0,,-2337.55,,,
RR:3.05,RR,3.05,0,,-2329.05,,,
RR:3.06,RR,3.06,0,,-2329.05,,,
RR:3.07,RR,3.07,0,,-2329.05,,,
RR:3.08,RR,3.08,0,,-2329.05,,,
RR:3.09,RR,3.09,0,,-2495.20,,,
RR:3.10,RR,3.10,0,,-2424.65,,,
RR:3.11,RR,3.11,0,,-2424.65,,,
RR:3.12,RR,3.12,0,,-2424.65,,,
RR:3.13,RR,3.13,0,,-2319.50,,,
RR:3.14,RR,3.14,0,,-2319.50,,,
RR:3.15,RR,3.15,0,,-2319.50,,,
RR:3.16,RR,3.16,0,,-2319.50,,,
RR:3.17,RR,3.17,0,,-2319.50,,,
RR:3.18,RR,3.18,0,,-2319.50,,,
RR:3.19,RR,3.19,0,,-2307.00,,,
RR:3.20,RR,3.20,0,,-2307.00,,,
RR:3.21,RR,3.21,0,,-2274.45,,,
RR:3.22,RR,3.22,0,,-2274.45,,,
RR:3.23,RR,3.23,0,,-2274.45,,,
RR:3.24,RR,3.24,0,,-2274.45,,,
RR:3.25,RR,3.25,0,,-2274.45,,,
RR:3.26,RR,3.26,0,,-2348.40,,,
RR:3.27,RR,3.27,0,,-2348.40,,,
RR:3.28,RR,3.28,0,,-2348.40,,,
RR:3.29,RR,3.29,0,,-2348.40,,,
RR:3.30,RR,3.30,0,,-2290.40,,,
RR:3.31,RR,3.31,0,,-2290.40,,,
RR:3.32,RR,3.32,0,,-2290.40,,,
RR:3.33,RR,3.33,0,,-2242.90,,,
RR:3.34,RR,3.34,0,,-2588.35,,,
RR:3.35,RR,3.35,0,,-2588.35,,,
RR:3.36,RR,3.36,0,,-2588.35,,,
RR:3.37,RR,3.37,0,,-2547.35,,,
RR:3.38,RR,3.38,0,,-2547.35,,,
RR:3.39,RR,3.39,0,,-2510.35,,,
RR:3.40,RR,3.40,0,,-2342.85,,,
RR:3.41,RR,3.41,0,,-2342.85,,,
RR:3.42,RR,3.42,0,,-2293.85,,,
RR:3.43,RR,3.43,0,,-2293.85,,,
RR:3.44,RR,3.44,0,,-2293.85,,,
RR:3.45,RR,3.45,0,,-2369.35,,,
RR:3.46,RR,3.46,0,,-2369.35,,,
RR:3.47,RR,3.47,0,,-2369.35,,,
RR:3.48,RR,3.48,0,,-2369.35,,,
RR:3.49,RR,3.49,0,,-2371.85,,,
RR:3.50,RR,3.50,0,,-2371.85,,,
GG:0.50,GG,0.50,0,,-3865.90,,,
GG:0.51,GG,0.51,0,,-3684.85,,,
GG:0.52,GG,0.52,0,,-3649.85,,,
GG:0.53,GG,0.53,0,,-3779.30,,,
GG:0.54,GG,0.54,0,,-3772.75,,,
GG:0.55,GG,0.55,0,,-3677.65,,,
GG:0.56,GG,0.56,0,,-3226.10,,,
GG:0.57,GG,0.57,0,,-3232.95,,,
GG:0.58,GG,0.58,0,,-3287.85,,,
GG:0.59,GG,0.59,0,,-3285.85,,,
GG:0.60,GG,0.60,0,,-3263.70,,,
GG:0.61,GG,0.61,0,,-3325.15,,,
GG:0.62,GG,0.62,0,,-3383.60,,,
GG:0.63,GG,0.63,0,,-3388.10,,,
GG:0.64,GG,0.64,0,,-3423.15,,,
GG:0.65,GG,0.65,0,,-3482.60,,,
GG:0.66,GG,0.66,0,,-3482.60,,,
GG:0.67,GG,0.67,0,,-3611.00,,,
GG:0.68,GG,0.68,0,,-3605.45,,,
GG:0.69,GG,0.69,0,,-3607.40,,,
GG:0.70,GG,0.70,0,,-3566.30,,,
GG:0.71,GG,0.71,0,,-3496.80,,,
GG:0.72,GG,0.72,0,,-3322.75,,,
GG:0.73,GG,0.73,0,,-3364.70,,,
GG:0.74,GG,0.74,0,,-3143.15,,,
GG:0.75,GG,0.75,0,,-3125.65,,,
GG:0.76,GG,0.76,0,,-3435.60,,,
GG:0.77,GG,0.77,0,,-3635.55,,,
GG:0.78,GG,0.78,0,,-3624.50,,,
GG:0.79,GG,0.79,0,,-3816.80,,,
GG:0.80,GG,0.80,0,,-3736.65,,,
GG:0.81,GG,0.81,0,,-3934.15,,,
GG:0.82,GG,0.82,0,,-3934.15,,,
GG:0.83,GG,0.83,0,,-3938.55,,,
GG:0.84,GG,0.84,0,,-3938.55,,,
GG:0.85,GG,0.85,0,,-3938.55,,,
GG:0.86,GG,0.86,0,,-3741.45,,,
GG:0.87,GG,0.87,0,,-3831.95,,,
GG:0.88,GG,0.88,0,,-3819.40,,,
GG:0.89,GG,0.89,0,,-3739.85,,,
GG:0.90,GG,0.90,0,,-3638.30,,,
GG:0.91,GG,0.91,0,,-3595.80,,,
GG:0.92,GG,0.92,0,,-3595.80,,,
GG:0.93,GG,0.93,0,,-3595.80,,,
GG:0.94,GG,0.94,0,,-3595.80,,,
GG:0.95,GG,0.95,0,,-3859.30,,,
GG:0.96,GG,0.96,0,,-3849.80,,,
GG:0.97,GG,0.97,0,,-3849.80,,,
GG:0.98,GG,0.98,0,,-3849.80,,,
GG:0.99,GG,0.99,0,,-3856.25,,,
GG:1.00,GG,1.00,0,,-3856.25,,,
GG:1.01,GG,1.01,0,,-3750.70,,,
GG:1.02,GG,1.02,0,,-3748.65,,,
GG:1.03,GG,1.03,0,,-3748.65,,,
GG:1.04,GG,1.04,0,,-3748.65,,,
GG:1.05,GG,1.05,0,,-3871.10,,,
GG:1.06,GG,1.06,0,,-3851.10,,,
GG:1.07,GG,1.07,0,,-3699.10,,,
GG:1.08,GG,1.08,0,,-3699.10,,,
GG:1.09,GG,1.09,0,,-3854.55,,,
GG:1.10,GG,1.10,0,,-3854.55,,,
GG:1.11,GG,1.11,0,,-3842.55,,,
GG:1.12,GG,1.12,0,,-3909.55,,,
GG:1.13,GG,1.13,0,,-3707.05,,,
GG:1.14,GG,1.14,0,,-3632.95,,,
GG:1.15,GG,1.15,0,,-3632.95,,,
