month,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24
2024-03,-50.85,19.75,-10.95,32.9,87.25,104.65,54.2,33.1,8.6,94.6,113.85,-46.85,-156.7,-99.4,-299.05,471.75,127.8,177.7,58.8,53.75,123.2,70.25,0.0
2024-04,-14.65,-26.8,-156.3,82.6,213.75,53.95,12.1,-15.4,118.55,-132.7,-180.8,-20.35,129.9,-190.85,15.45,-58.0,-226.7,157.75,167.6,-385.8,-509.85,-83.2,370.4
2024-05,6.15,31.3,-86.15,-61.2,11.85,-60.8,65.25,-22.95,42.25,13.6,141.95,74.55,60.6,-61.75,636.8,413.0,460.6,-374.75,-14.95,338.1,255.7,-1.9,-29.1
2024-06,20.65,51.25,56.15,278.95,94.85,44.15,105.05,40.2,69.85,-185.5,18.75,60.95,125.55,134.75,455.0,201.5,476.8,15.2,141.2,22.15,258.5,-353.55,-2.1
2024-07,28.6,0.85,285.35,-188.9,-18.8,20.05,83.15,-71.55,-82.0,36.15,-11.15,122.95,191.85,-79.05,-158.9,145.95,-53.2,289.7,9.35,-905.9,35.25,-165.0,-168.55
2024-08,-110.3,29.0,512.5,-33.75,164.9,-14.35,141.2,-130.55,491.0,-179.8,661.25,25.1,-68.45,966.55,243.95,405.35,620.05,-241.25,-484.45,428.3,-118.25,104.5,0.0
2024-09,150.9,109.1,-256.3,118.5,-155.7,-57.35,-27.8,-68.45,-267.85,113.1,55.9,158.15,-286.35,220.3,564.1,315.45,-1.85,115.6,296.6,360.1,-87.25,-237.4,-25.05
2024-10,120.65,1.05,-263.35,-142.75,-324.4,-47.3,78.7,111.75,-297.35,-4.8,52.75,136.2,-94.95,439.5,63.6,101.05,132.1,-242.5,350.55,-239.85,268.6,-204.9,-43.65
2024-11,66.2,96.8,652.9,80.4,13.3,-128.5,368.2,-211.45,116.1,4.8,190.2,-151.7,259.25,193.15,287.7,110.05,-32.2,-288.8,-11.35,110.85,62.25,39.2,-39.55
2024-12,144.25,-143.75,-31.0,16.15,22.15,-132.45,-110.95,137.85,-93.85,350.95,315.65,-111.9,59.5,143.65,430.95,-375.45,267.35,-13.7,-161.95,-57.2,-232.25,-153.45,-3.05
2025-01,242.3,-35.8,48.15,158.1,114.05,17.6,-47.8,120.0,575.0,203.05,459.65,-228.3,-226.9,-136.8,602.5,1040.5,130.2,-857.5,246.7,202.35,499.15,679.1,-8.1
2025-02,289.1,-98.85,-195.85,116.0,296.15,63.65,-65.35,152.65,-61.3,-269.55,20.15,-92.0,52.7,6.25,-572.4,206.6,129.95,176.25,-358.4,-9.35,360.65,-165.4,70.9
2025-03,-342.3,-203.35,-12.1,136.65,39.45,-313.45,17.55,-174.1,454.1,195.55,-859.4,30.75,-566.4,-143.9,-496.1,81.85,-885.9,206.05,867.25,194.55,-91.4,129.75,85.45
2025-04,130.95,782.35,440.15,-166.1,47.85,341.7,-97.0,671.1,40.5,37.1,-303.5,454.25,115.75,-246.65,-817.7,958.95,395.75,-394.6,1903.2,-83.0,-612.25,773.95,-229.6
2025-05,-68.6,268.05,52.0,32.8,-90.9,-276.35,-5.4,92.75,-108.85,829.05,-220.75,-56.3,479.1,-334.9,436.15,-74.3,-407.3,488.5,-322.3,-59.45,-722.5,-83.95,-97.1
2025-06,172.4,-36.5,-82.85,-2.3,-37.25,320.7,-49.55,463.0,185.15,-94.3,273.5,-266.7,86.95,-11.4,246.8,124.3,-610.8,-68.3,378.25,212.2,182.75,70.1,0.0
2025-07,131.15,-81.5,-29.65,190.85,163.65,14.15,-77.35,77.65,58.15,-9.85,-194.7,-118.45,69.15,57.8,-146.85,105.2,24.25,-703.9,333.2,-448.95,-316.35,161.45,-209.05
2025-08,-138.15,-77.8,287.65,251.2,-140.85,-172.6,-118.8,66.8,671.95,257.15,-73.2,123.65,-241.9,-242.05,-89.4,-622.95,41.3,58.75,-317.25,-153.5,144.15,-340.05,-10.55
2025-09,118.65,-54.75,-139.0,56.2,4.2,-24.3,28.3,248.8,128.85,4.05,103.25,-121.95,-186.5,-87.35,31.6,-707.05,114.3,-96.25,470.15,5.5,234.85,167.5,0.0
2025-10,131.15,176.2,538.45,267.15,-103.5,37.15,462.55,-150.25,-23.0,203.3,1013.2,-106.7,-9.55,157.1,126.1,-790.65,499.7,243.4,95.7,239.15,-242.45,-11.4,-32.15
2025-11,-200.1,503.25,-210.85,183.9,-271.7,1.8,64.15,-391.85,-61.85,-135.4,-288.2,235.15,483.75,145.2,-76.75,765.55,218.35,449.7,-67.55,-648.95,-509.25,246.1,39.45
2025-12,-306.5,-234.1,-217.25,-295.3,-137.3,-126.2,150.1,-195.3,-145.15,666.5,63.15,-280.5,-251.0,-30.45,-465.95,-193.05,170.75,501.2,-331.5,67.65,-83.75,87.05,-109.7
2026-01,-240.65,-104.5,197.75,-162.6,187.0,-49.5,45.95,-151.9,7.65,-375.75,99.1,262.15,199.05,-41.15,615.5,5.4,-554.7,245.3,-187.6,563.45,-181.95,215.0,128.35
2026-02,-323.95,-247.85,146.05,-458.25,186.25,-573.85,159.15,-189.8,562.6,-86.35,-224.8,443.25,261.3,833.6,-277.3,-322.0,-135.05,-130.2,-195.3,97.1,-470.85,117.05,31.95
2026-03,-161.8,88.65,79.45,-228.35,31.9,-344.45,21.65,243.05,-203.9,570.1,94.75,-843.8,23.75,124.7,-731.4,-744.75,196.3,-872.85,-228.3,-50.9,-135.85,-267.7,313.8
2026-04,694.1,79.6,210.15,-310.7,115.9,-139.3,-24.85,-37.5,280.05,-165.95,301.1,264.15,-94.0,744.4,-392.5,-1098.6,891.2,181.75,-126.25,197.95,-287.2,376.1,-68.15
2026-05,-247.7,108.3,77.1,-97.25,-310.35,350.7,-252.2,85.25,626.1,27.55,276.8,-259.4,17.15,1093.75,-262.25,466.65,627.2,129.65,68.6,751.1,31.85,412.8,18.4
2026-06,392.55,-157.4,225.15,-483.4,72.85,266.4,500.75,523.65,384.05,410.6,-275.35,-566.0,-455.55,-1000.15,-633.45,110.25,25.65,-57.65,-102.65,566.05,-1132.9,-612.45,7.95
2026-07,-312.7,5.35,-104.2,161.45,-241.15,-82.2,343.85,77.2,121.45,491.85,-79.65,-145.1,135.85,568.8,-182.6,189.2,0.0,295.35,82.9,-196.05,14.85,-127.65,0.0
