purchase_policy,withdrawal_policy,initial_cash_usd,monthly_contribution_usd,ongoing_net_cash_usd,terminal_received_usd,combined_net_cash_usd,owner_contributions_usd,ending_owner_cash_usd,purchase_spend_usd,accounts_bought,alive_before_terminal,cash_limited_decisions,capacity_limited_decisions,minimum_owner_cash_usd
quarterly_one,weekly_excess_retain_31600,5000,0,177458.55,35487.73,212946.28,5000.0,217946.28,5400.0,27,9,0,0,3200.0
quarterly_one,monthly_minimum_retain_30000,5000,0,129600.0,83346.34,212946.34,5000.0,217946.34,5400.0,27,9,0,0,3200.0
quarterly_three,daily_minimum_retain_31900,5000,0,460900.0,100160.9,561060.9,5000.0,566060.9,10000.0,50,20,1,11,0.0
quarterly_three,weekly_excess_retain_31600,5000,0,472613.69,88447.05,561060.74,5000.0,566060.74,10000.0,50,20,1,11,0.0
quarterly_three,monthly_minimum_retain_30000,5000,0,345000.0,216060.9,561060.9,5000.0,566060.9,10000.0,50,20,1,11,0.0
replace_one,daily_minimum_retain_31900,5000,0,29600.0,4899.95,34499.95,5000.0,39499.95,800.0,4,1,0,0,4200.0
replace_one,weekly_excess_retain_31600,5000,0,30232.96,4266.98,34499.94,5000.0,39499.94,800.0,4,1,0,0,4200.0
replace_one,monthly_minimum_retain_30000,5000,0,23700.0,10799.95,34499.95,5000.0,39499.95,800.0,4,1,0,0,4200.0
replace_five,daily_minimum_retain_31900,5000,0,148000.0,24499.75,172499.75,5000.0,177499.75,4000.0,20,5,0,0,1000.0
replace_five,weekly_excess_retain_31600,5000,0,151164.8,21334.9,172499.7,5000.0,177499.7,4000.0,20,5,0,0,1000.0
replace_five,monthly_minimum_retain_30000,5000,0,118500.0,53999.75,172499.75,5000.0,177499.75,4000.0,20,5,0,0,1000.0
reinvest_50pct,daily_minimum_retain_31900,5000,0,-200.0,0,-200.0,5000.0,4800.0,200.0,1,0,0,0,4800.0
reinvest_50pct,weekly_excess_retain_31600,5000,0,-200.0,0,-200.0,5000.0,4800.0,200.0,1,0,0,0,4800.0
reinvest_50pct,monthly_minimum_retain_30000,5000,0,-200.0,0,-200.0,5000.0,4800.0,200.0,1,0,0,0,4800.0
reinvest_100pct,daily_minimum_retain_31900,5000,0,-200.0,0,-200.0,5000.0,4800.0,200.0,1,0,0,0,4800.0
reinvest_100pct,weekly_excess_retain_31600,5000,0,-200.0,0,-200.0,5000.0,4800.0,200.0,1,0,0,0,4800.0
reinvest_100pct,monthly_minimum_retain_30000,5000,0,-200.0,0,-200.0,5000.0,4800.0,200.0,1,0,0,0,4800.0
reinvest_restart_50pct,daily_minimum_retain_31900,5000,0,227300.0,88635.89,315935.89,5000.0,320935.89,13600.0,68,20,0,719,4200.0
reinvest_restart_50pct,weekly_excess_retain_31600,5000,0,186719.71,94347.69,281067.4,5000.0,286067.4,11600.0,58,20,0,666,4200.0
reinvest_restart_50pct,monthly_minimum_retain_30000,5000,0,213500.0,163126.56,376626.56,5000.0,381626.56,14000.0,70,20,0,743,4200.0
reinvest_restart_100pct,daily_minimum_retain_31900,5000,0,269100.0,73004.82,342104.82,5000.0,347104.82,16800.0,84,20,0,770,4200.0
reinvest_restart_100pct,weekly_excess_retain_31600,5000,0,213511.76,94347.69,307859.45,5000.0,312859.45,18800.0,94,20,0,711,4200.0
reinvest_restart_100pct,monthly_minimum_retain_30000,5000,0,240500.0,189971.51,430471.51,5000.0,435471.51,17000.0,85,20,0,930,4200.0
monthly_one,daily_minimum_retain_31900,5000,200,361600.0,102711.75,464311.75,20600.0,484911.75,12000.0,60,20,0,19,4800.0
monthly_one,weekly_excess_retain_31600,5000,200,373130.03,87940.55,461070.58,20600.0,481670.58,12000.0,60,20,0,19,4800.0
monthly_one,monthly_minimum_retain_30000,5000,200,270000.0,194311.75,464311.75,20600.0,484911.75,12000.0,60,20,0,19,4800.0
quarterly_one,daily_minimum_retain_31900,5000,200,172800.0,40146.34,212946.34,20600.0,233546.34,5400.0,27,9,0,0,4800.0
quarterly_one,weekly_excess_retain_31600,5000,200,177458.55,35487.73,212946.28,20600.0,233546.28,5400.0,27,9,0,0,4800.0
quarterly_one,monthly_minimum_retain_30000,5000,200,129600.0,83346.34,212946.34,20600.0,233546.34,5400.0,27,9,0,0,4800.0
quarterly_three,daily_minimum_retain_31900,5000,200,493100.0,99647.41,592747.41,20600.0,613347.41,9000.0,45,20,0,14,4400.0
quarterly_three,weekly_excess_retain_31600,5000,200,505248.4,87498.83,592747.23,20600.0,613347.23,9000.0,45,20,0,14,4400.0
quarterly_three,monthly_minimum_retain_30000,5000,200,369500.0,223247.41,592747.41,20600.0,613347.41,9000.0,45,20,0,14,4400.0
replace_one,daily_minimum_retain_31900,5000,200,29600.0,4899.95,34499.95,20600.0,55099.95,800.0,4,1,0,0,4600.0
replace_one,weekly_excess_retain_31600,5000,200,30232.96,4266.98,34499.94,20600.0,55099.94,800.0,4,1,0,0,4600.0
replace_one,monthly_minimum_retain_30000,5000,200,23700.0,10799.95,34499.95,20600.0,55099.95,800.0,4,1,0,0,4600.0
replace_five,daily_minimum_retain_31900,5000,200,148000.0,24499.75,172499.75,20600.0,193099.75,4000.0,20,5,0,0,1400.0
replace_five,weekly_excess_retain_31600,5000,200,151164.8,21334.9,172499.7,20600.0,193099.7,4000.0,20,5,0,0,1400.0
replace_five,monthly_minimum_retain_30000,5000,200,118500.0,53999.75,172499.75,20600.0,193099.75,4000.0,20,5,0,0,1400.0
reinvest_50pct,daily_minimum_retain_31900,5000,200,-200.0,0,-200.0,20600.0,20400.0,200.0,1,0,0,0,4800.0
reinvest_50pct,weekly_excess_retain_31600,5000,200,-200.0,0,-200.0,20600.0,20400.0,200.0,1,0,0,0,4800.0
reinvest_50pct,monthly_minimum_retain_30000,5000,200,-200.0,0,-200.0,20600.0,20400.0,200.0,1,0,0,0,4800.0
reinvest_100pct,daily_minimum_retain_31900,5000,200,-200.0,0,-200.0,20600.0,20400.0,200.0,1,0,0,0,4800.0
reinvest_100pct,weekly_excess_retain_31600,5000,200,-200.0,0,-200.0,20600.0,20400.0,200.0,1,0,0,0,4800.0
reinvest_100pct,monthly_minimum_retain_30000,5000,200,-200.0,0,-200.0,20600.0,20400.0,200.0,1,0,0,0,4800.0
reinvest_restart_50pct,daily_minimum_retain_31900,5000,200,227300.0,88635.89,315935.89,20600.0,336535.89,13600.0,68,20,0,719,4600.0
reinvest_restart_50pct,weekly_excess_retain_31600,5000,200,186719.71,94347.69,281067.4,20600.0,301667.4,11600.0,58,20,0,666,4600.0
reinvest_restart_50pct,monthly_minimum_retain_30000,5000,200,213500.0,163126.56,376626.56,20600.0,397226.56,14000.0,70,20,0,743,4600.0
reinvest_restart_100pct,daily_minimum_retain_31900,5000,200,269100.0,73004.82,342104.82,20600.0,362704.82,16800.0,84,20,0,770,4600.0
reinvest_restart_100pct,weekly_excess_retain_31600,5000,200,213511.76,94347.69,307859.45,20600.0,328459.45,18800.0,94,20,0,711,4600.0
reinvest_restart_100pct,monthly_minimum_retain_30000,5000,200,240500.0,189971.51,430471.51,20600.0,451071.51,17000.0,85,20,0,930,4600.0
