account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
19,2021-07,2021-07-01 00:00:00,True,,,,,,9794,4974,4820,34771.0,10283.7,13,1,47,24387.29,24387.29,60,90000.0,65612.71,2024-06-01 00:00:00,100.01,25100.01,10007.35,-565.25,10044.05,100.0,0.01
20,2021-08,2021-08-01 00:00:00,False,2021-09-20 14:26:40,intratrade_excursion,-562.15,RR2.50:13-14:156:593,50,254,70,183,-231.0,265.65,0,0,1,0.0,0.0,1,1500.0,1500.0,,-496.65,,746.15,-562.15,946.25,-553.75,
21,2021-09,2021-09-01 00:00:00,True,,,,,,9488,4830,4658,34366.0,9962.4,13,1,45,24303.59,24303.59,58,87000.0,62696.41,2024-06-01 00:00:00,100.01,25100.01,10007.35,-463.9,10044.05,100.0,0.01
22,2021-10,2021-10-01 00:00:00,True,,,,,,9315,2753,6562,62480.0,9780.75,25,6,27,52599.24,49839.29,57,85500.0,32900.76,2022-03-01 00:00:00,100.01,25100.01,12576.75,-144.1,12678.1,100.0,0.01
23,2021-11,2021-11-01 00:00:00,False,2022-01-07 17:38:40,intratrade_excursion,-663.75,RR0.50:16-17:297:804,67,366,172,193,121.0,383.25,0,0,2,0.0,0.0,2,3000.0,3000.0,,-262.25,,878.2,-663.75,975.2,-524.8,
24,2021-12,2021-12-01 00:00:00,False,2021-12-06 16:36:40,intratrade_excursion,-1578.45,RR2.50:13-14:176:661,5,30,5,24,-1432.5,30.45,0,0,0,0.0,0.0,0,0.0,0.0,,-1462.95,,0.0,-1578.45,9.0,-1491.0,
25,2022-01,2022-01-01 00:00:00,True,,,,,,8846,4506,4340,32526.0,9288.3,12,1,42,23137.69,23137.69,54,81000.0,57862.31,2024-07-01 00:00:00,100.01,25100.01,10007.35,-987.1,10044.05,100.0,0.01
26,2022-02,2022-02-01 00:00:00,False,2022-02-14 14:12:40,intratrade_excursion,-1038.45,RR2.50:13-14:190:725,13,60,15,44,-889.5,61.95,0,0,0,0.0,0.0,0,0.0,0.0,,-951.45,,381.7,-1038.45,523.95,-976.05,
27,2022-03,2022-03-01 00:00:00,False,2022-05-12 11:45:40,intratrade_excursion,-22.05,RR0.50:10-11:201:774,72,402,201,200,547.0,421.05,0,0,2,0.0,0.0,2,3000.0,3000.0,,125.95,,1993.3,-1099.55,2273.8,100.0,
28,2022-04,2022-04-01 00:00:00,False,2022-05-04 20:00:00,intratrade_excursion,98.7,RR2.50:18-19:160:719,33,167,45,121,289.0,174.3,0,0,1,0.0,0.0,1,1500.0,1500.0,,114.7,,2215.2,-287.35,2229.9,100.0,
