eval_id,started_at,state,months_paid,resets,trades_taken,passed_at,ended_at
96,2022-05-03 00:00:00,funded,1,0,12,2022-05-04 22:30:00,2022-05-11 00:00:00
97,2022-05-11 00:00:00,funded,3,2,89,2022-07-28 21:00:00,2022-07-29 00:00:00
98,2022-05-12 00:00:00,funded,3,2,52,2022-07-20 18:00:00,2022-07-21 00:00:00
99,2022-05-13 00:00:00,funded,1,0,7,2022-05-13 22:30:00,2022-05-14 00:00:00
100,2022-05-14 00:00:00,funded,3,2,39,2022-07-20 18:00:00,2022-07-21 00:00:00
101,2022-05-15 00:00:00,funded,3,2,39,2022-07-20 18:00:00,2022-07-21 00:00:00
102,2022-05-16 00:00:00,funded,3,2,62,2022-07-28 21:00:00,2022-07-29 00:00:00
103,2022-05-17 00:00:00,funded,2,1,34,2022-06-21 17:00:00,2022-06-22 00:00:00
104,2022-05-18 00:00:00,funded,2,1,18,2022-06-21 17:00:00,2022-06-22 00:00:00
105,2022-05-28 00:00:00,funded,3,2,44,2022-07-28 23:30:00,2022-07-29 00:00:00
106,2022-06-22 00:00:00,funded,2,1,40,2022-07-29 21:00:00,2022-07-30 00:00:00
107,2022-06-23 00:00:00,funded,2,1,39,2022-07-29 17:30:00,2022-07-30 00:00:00
108,2022-07-07 00:00:00,funded,1,0,55,2022-07-19 16:30:00,2022-07-20 00:00:00
109,2022-07-20 00:00:00,funded,1,0,35,2022-07-28 23:30:00,2022-07-29 00:00:00
110,2022-07-21 00:00:00,funded,1,0,31,2022-07-29 17:30:00,2022-07-30 00:00:00
111,2022-07-22 00:00:00,funded,1,0,28,2022-07-29 21:00:00,2022-07-30 00:00:00
112,2022-07-23 00:00:00,funded,1,0,21,2022-07-29 17:30:00,2022-07-30 00:00:00
113,2022-07-29 00:00:00,funded,1,0,13,2022-08-02 19:30:00,2022-08-03 00:00:00
114,2022-07-30 00:00:00,funded,1,0,15,2022-08-03 20:30:00,2022-08-04 00:00:00
115,2022-07-31 00:00:00,funded,1,0,15,2022-08-03 20:30:00,2022-08-04 00:00:00
116,2022-08-01 00:00:00,funded,1,0,15,2022-08-03 20:30:00,2022-11-04 00:00:00
117,2022-08-02 00:00:00,funded,1,0,8,2022-08-03 17:00:00,2022-11-04 00:00:00
118,2022-08-03 00:00:00,funded,1,0,20,2022-08-05 17:30:00,2022-11-05 00:00:00
119,2022-08-04 00:00:00,funded,1,0,49,2022-08-15 22:30:00,2022-11-05 00:00:00
120,2022-08-05 00:00:00,funded,1,0,40,2022-08-15 19:00:00,2022-11-05 00:00:00
121,2022-08-06 00:00:00,funded,1,0,48,2022-08-17 21:30:00,2022-11-05 00:00:00
122,2022-08-07 00:00:00,funded,1,0,48,2022-08-17 21:30:00,2022-11-05 00:00:00
123,2022-09-01 00:00:00,funded,2,1,29,2022-10-06 03:00:00,2022-11-05 00:00:00
124,2022-10-01 00:00:00,funded,1,0,17,2022-10-06 03:00:00,2022-11-05 00:00:00
125,2022-11-01 00:00:00,funded,5,4,105,2023-03-09 17:00:00,2023-03-10 00:00:00
126,2022-11-04 00:00:00,funded,4,3,67,2023-02-13 19:30:00,2023-02-14 00:00:00
127,2022-11-05 00:00:00,funded,1,0,11,2022-11-09 04:30:00,2022-11-10 00:00:00
128,2022-11-06 00:00:00,funded,1,0,11,2022-11-09 04:30:00,2022-12-24 00:00:00
129,2022-11-07 00:00:00,funded,1,0,11,2022-11-09 04:30:00,2022-12-24 00:00:00
130,2022-11-08 00:00:00,funded,6,5,158,2023-04-13 21:00:00,2023-10-26 00:00:00
131,2022-11-09 00:00:00,funded,4,3,71,2023-02-13 19:30:00,2023-02-14 00:00:00
132,2022-11-10 00:00:00,funded,1,0,32,2022-11-18 03:30:00,2022-12-24 00:00:00
133,2022-11-11 00:00:00,funded,1,0,31,2022-11-18 13:00:00,2022-12-24 00:00:00
134,2022-11-12 00:00:00,funded,1,0,23,2022-11-17 23:30:00,2022-12-24 00:00:00
135,2022-11-13 00:00:00,funded,1,0,23,2022-11-17 23:30:00,2022-12-24 00:00:00
136,2022-12-24 00:00:00,funded,2,1,50,2023-01-27 22:00:00,2023-01-28 00:00:00
137,2022-12-25 00:00:00,funded,2,1,45,2023-01-27 22:00:00,2023-01-28 00:00:00
138,2022-12-26 00:00:00,funded,4,3,206,2023-04-12 16:00:00,2023-04-13 00:00:00
139,2022-12-27 00:00:00,funded,4,3,202,2023-04-12 16:00:00,2023-04-13 00:00:00
140,2022-12-28 00:00:00,funded,4,3,183,2023-04-13 06:30:00,2023-10-26 00:00:00
141,2022-12-29 00:00:00,funded,4,3,166,2023-04-12 16:00:00,2023-04-13 00:00:00
142,2023-01-28 00:00:00,funded,3,2,150,2023-04-13 06:30:00,2023-10-26 00:00:00
143,2023-01-29 00:00:00,funded,3,2,143,2023-04-12 16:00:00,2023-04-13 00:00:00
144,2023-02-14 00:00:00,funded,2,1,39,2023-03-16 17:00:00,2023-03-17 00:00:00
145,2023-02-15 00:00:00,funded,2,1,41,2023-03-17 09:00:00,2023-03-18 00:00:00
146,2023-03-10 00:00:00,funded,2,1,33,2023-04-13 21:00:00,2023-10-26 00:00:00
147,2023-03-17 00:00:00,funded,1,0,25,2023-03-23 16:00:00,2023-03-24 00:00:00
148,2023-03-18 00:00:00,funded,1,0,20,2023-03-23 16:00:00,2023-03-24 00:00:00
149,2023-03-24 00:00:00,funded,1,0,77,2023-04-12 16:00:00,2023-04-13 00:00:00
150,2023-03-25 00:00:00,funded,1,0,72,2023-04-12 16:00:00,2023-10-26 00:00:00
151,2023-04-13 00:00:00,funded,2,1,78,2023-05-26 09:30:00,2023-10-26 00:00:00
152,2023-04-14 00:00:00,funded,2,1,71,2023-05-26 09:30:00,2023-10-26 00:00:00
153,2023-04-15 00:00:00,funded,2,1,67,2023-05-26 09:30:00,2023-10-26 00:00:00
154,2023-04-16 00:00:00,funded,2,1,60,2023-05-26 14:00:00,2023-10-26 00:00:00
155,2023-04-17 00:00:00,funded,2,1,50,2023-05-26 09:30:00,2023-10-26 00:00:00
156,2023-10-26 00:00:00,funded,2,1,84,2023-12-12 21:00:00,2023-12-13 00:00:00
157,2023-10-27 00:00:00,funded,2,1,79,2023-12-12 21:00:00,2023-12-13 00:00:00
158,2023-10-28 00:00:00,funded,2,1,110,2023-12-11 17:00:00,2023-12-12 00:00:00
159,2023-10-29 00:00:00,funded,2,1,103,2023-12-11 17:00:00,2023-12-12 00:00:00
160,2023-10-30 00:00:00,funded,2,1,105,2023-12-12 21:00:00,2023-12-13 00:00:00
161,2023-10-31 00:00:00,funded,1,0,11,2023-11-03 18:30:00,2023-11-04 00:00:00
162,2023-11-01 00:00:00,passed,2,1,94,2023-12-12 21:00:00,
163,2023-11-02 00:00:00,funded,2,1,73,2023-12-11 17:00:00,2023-12-12 00:00:00
164,2023-11-03 00:00:00,funded,2,1,74,2023-12-11 17:00:00,2023-12-12 00:00:00
165,2023-11-04 00:00:00,funded,2,1,71,2023-12-11 17:00:00,2023-12-12 00:00:00
166,2023-11-05 00:00:00,funded,2,1,64,2023-12-11 17:00:00,2023-12-12 00:00:00
167,2023-12-12 00:00:00,passed,1,0,32,2023-12-19 17:30:00,
168,2023-12-13 00:00:00,passed,1,0,37,2023-12-21 16:00:00,
169,2023-12-14 00:00:00,passed,1,0,76,2024-01-03 15:30:00,
170,2023-12-15 00:00:00,passed,1,0,26,2023-12-21 16:00:00,
171,2023-12-16 00:00:00,passed,1,0,65,2024-01-03 15:30:00,
172,2023-12-17 00:00:00,passed,1,0,65,2024-01-03 15:30:00,
173,2023-12-18 00:00:00,passed,1,0,65,2024-01-03 15:30:00,
174,2023-12-19 00:00:00,passed,1,0,81,2024-01-08 20:00:00,
175,2023-12-20 00:00:00,passed,1,0,81,2024-01-09 18:30:00,
