purchase_policy,withdrawal_policy,initial_cash_usd,monthly_contribution_usd,ongoing_net_cash_usd,terminal_received_usd,combined_net_cash_usd,owner_contributions_usd,ending_owner_cash_usd,purchase_spend_usd,accounts_bought,alive_before_terminal,cash_limited_decisions,capacity_limited_decisions,minimum_owner_cash_usd,delta_ongoing_net_cash_usd_vs_monthly,delta_combined_net_cash_usd_vs_monthly,delta_accounts_bought_vs_monthly
monthly_one,fixed_1500_backlog,1000,200,357940.38,102345.63,460286.01,16600.0,476886.01,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,fixed_1500_backlog,1000,200,356000.38,95934.15,451934.53,16600.0,468534.53,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,fixed_1500_backlog,1000,200,354060.38,97574.15,451634.53,16600.0,468234.53,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,fixed_1500_backlog,1000,200,352120.38,99214.15,451334.53,16600.0,467934.53,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,fixed_1500_backlog,1000,200,350180.38,100854.15,451034.53,16600.0,467634.53,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,fixed_1500_backlog,1000,200,348240.38,102494.15,450734.53,16600.0,467334.53,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,fixed_1500_backlog,1000,200,373130.03,87940.55,461070.58,16600.0,477670.58,12000.0,60,20,0,19,800.0,15189.65,784.57,0
monthly_one,fixed_1500_backlog,1000,200,371200.03,89770.55,460970.58,16600.0,477570.58,12000.0,60,20,0,19,800.0,15199.65,9036.05,0
monthly_one,fixed_1500_backlog,1000,200,369270.02,91600.55,460870.57,16600.0,477470.57,12000.0,60,20,0,19,800.0,15209.64,9236.04,0
monthly_one,fixed_1500_backlog,1000,200,367340.02,93430.55,460770.57,16600.0,477370.57,12000.0,60,20,0,19,800.0,15219.64,9436.04,0
monthly_one,fixed_1500_backlog,1000,200,365402.54,95268.04,460670.58,16600.0,477270.58,12000.0,60,20,0,19,800.0,15222.16,9636.05,0
monthly_one,fixed_1500_backlog,1000,200,363462.54,97108.04,460570.58,16600.0,477170.58,12000.0,60,20,0,19,800.0,15222.16,9836.05,0
monthly_one,fixed_1500_backlog,1000,200,353261.63,0,353261.63,16600.0,369861.63,12800.0,64,2,0,15,800.0,-4678.75,-107024.38,4
monthly_one,fixed_1500_backlog,1000,200,351321.63,0,351321.63,16600.0,367921.63,12800.0,64,2,0,15,800.0,-4678.75,-100612.9,4
monthly_one,fixed_1500_backlog,1000,200,349381.62,0,349381.62,16600.0,365981.62,12800.0,64,2,0,15,800.0,-4678.76,-102252.91,4
monthly_one,fixed_1500_backlog,1000,200,357934.02,100254.99,458189.01,16600.0,474789.01,12400.0,62,20,0,17,800.0,5813.64,6854.48,2
monthly_one,fixed_1500_backlog,1000,200,355994.02,102094.99,458089.01,16600.0,474689.01,12400.0,62,20,0,17,800.0,5813.64,7054.48,2
monthly_one,fixed_1500_backlog,1000,200,354054.02,103934.99,457989.01,16600.0,474589.01,12400.0,62,20,0,17,800.0,5813.64,7254.48,2
monthly_one,minimum_monthly,1000,200,245500.0,213278.91,458778.91,16600.0,475378.91,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,minimum_monthly,1000,200,243000.0,215778.91,458778.91,16600.0,475378.91,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,minimum_monthly,1000,200,242000.0,216778.91,458778.91,16600.0,475378.91,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,minimum_monthly,1000,200,241500.0,217278.91,458778.91,16600.0,475378.91,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,minimum_monthly,1000,200,241500.0,217278.91,458778.91,16600.0,475378.91,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,minimum_monthly,1000,200,239500.0,218778.91,458278.91,16600.0,474878.91,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,minimum_monthly,1000,200,270000.0,194311.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,minimum_monthly,1000,200,353400.0,110911.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0,107900.0,5532.84,0
monthly_one,minimum_monthly,1000,200,350950.0,113361.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0,107950.0,5532.84,0
monthly_one,minimum_monthly,1000,200,348950.0,115361.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0,106950.0,5532.84,0
monthly_one,minimum_monthly,1000,200,348450.0,115861.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0,106950.0,5532.84,0
monthly_one,minimum_monthly,1000,200,347050.0,117261.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0,105550.0,5532.84,0
monthly_one,minimum_monthly,1000,200,343700.0,120611.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0,104200.0,6032.84,0
monthly_one,minimum_monthly,1000,200,358450.0,4532.84,362982.84,16600.0,379582.84,12800.0,64,3,0,15,800.0,88450.0,-101328.91,4
monthly_one,minimum_monthly,1000,200,358350.0,54114.98,412464.98,16600.0,429064.98,12800.0,64,13,0,15,800.0,112850.0,-46313.93,4
monthly_one,minimum_monthly,1000,200,358350.0,54114.98,412464.98,16600.0,429064.98,12800.0,64,13,0,15,800.0,115350.0,-46313.93,4
monthly_one,minimum_monthly,1000,200,360750.0,79998.1,440748.1,16600.0,457348.1,12800.0,64,18,0,15,800.0,118750.0,-18030.81,4
monthly_one,minimum_monthly,1000,200,361600.0,102711.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0,120100.0,5532.84,0
monthly_one,minimum_monthly,1000,200,358650.0,105661.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0,117150.0,5532.84,0
monthly_one,minimum_monthly,1000,200,358150.0,106161.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0,118650.0,6032.84,0
monthly_one,minimum_monthly,1000,200,376200.0,0,376200.0,16600.0,392800.0,12800.0,64,2,0,15,800.0,106200.0,-88111.75,4
monthly_one,maximum_excess_monthly,1000,200,357940.38,102345.63,460286.01,16600.0,476886.01,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,maximum_excess_monthly,1000,200,356000.38,95934.15,451934.53,16600.0,468534.53,12000.0,60,20,0,19,800.0,0.0,0.0,0
monthly_one,maximum_excess_monthly,1000,200,354060.38,97574.15,451634.53,16600.0,468234.53,12000.0,60,20,0,19,800.0,0.0,0.0,0
