at,account_id,trade_key,entry_at,equity_before,floor_before,mae,mfe,gross_pnl,adverse_equity,equity_after,floor_after,alive_after,death_equity
2026-03-06T10:03:40,35,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,36,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,37,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,38,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,39,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,40,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,41,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,42,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,43,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,44,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,48,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,49,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,55,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:03:40,56,RR1.00:9-10:554:2049,2026-03-06T09:21:40,4295.5,100.0,-43.5,36.0,-43.5,4252.0,4250.95,100.0,True,
2026-03-06T10:25:40,4,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,30,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,31,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,32,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,33,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,34,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,35,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,36,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,37,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,38,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,39,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,40,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,41,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,42,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,43,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,44,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,48,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,49,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,55,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T10:25:40,56,RR1.00:5-6:430:1910,2026-03-06T05:58:40,4250.95,100.0,-87.5,59.0,-87.5,4163.45,4162.4,100.0,True,
2026-03-06T15:30:40,4,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,30,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,31,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,32,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,33,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,34,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,35,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,36,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,37,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,38,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,39,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,40,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,41,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,42,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,43,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
2026-03-06T15:30:40,44,RR1.00:15-16:679:2225,2026-03-06T15:09:40,4162.4,100.0,-111.5,67.0,-111.5,4050.9,4049.85,100.0,True,
