portfolio,components,windows,mean_pnl,mean_mdd,worst_mdd,lower_mdd_than_rr1,lower_mdd_than_best_constituent,mean_smoothing,early12_mdd_wins,early12_mean_mdd_delta,early12_mean_pnl_delta,later11_mdd_wins,later11_mean_mdd_delta,later11_mean_pnl_delta
pair_1.00_2.25,1.00/2.25,23,4800.570652173913,3181.8543478260867,5830.625000000001,8,1,154.908695652174,6,-253.15416666666684,658.9,2,82.45909090909099,564.1295454545456
without050,0.75/1.50/2.50/3.50,23,4951.544565217391,3183.9847826086957,5592.550000000001,12,0,180.97934782608695,10,-398.5895833333334,869.484375,2,245.57045454545477,650.0738636363636
rr_2.50,2.50,23,5819.482608695652,3186.4695652173914,5139.950000000001,10,0,0.0,5,-233.98749999999987,1148.0208333333333,5,71.20000000000014,2160.9954545454543
pair_0.75_1.50,0.75/1.50,23,4242.557608695653,3207.0978260869565,5524.975,8,1,130.64782608695648,6,-291.11875000000003,314.7208333333335,2,176.6568181818184,-227.1568181818182
pair_1.00_2.00,1.00/2.00,23,4696.310869565217,3227.808695652174,6094.224999999999,8,1,160.47826086956528,6,-299.5083333333335,705.8395833333334,2,229.11363636363623,294.9250000000002
pair_1.25_1.75,1.25/1.75,23,5073.552173913044,3234.646739130435,6796.5,9,9,126.06086956521739,6,-469.2354166666668,966.9583333333334,3,428.5681818181819,798.8454545454547
pair_1.25_2.25,1.25/2.25,23,5025.545652173913,3236.932608695652,5822.925,8,4,115.8271739130435,6,-346.45416666666677,884.7979166666667,2,299.40454545454554,788.0977272727274
pair_1.00_1.25,1.00/1.25,23,4411.970652173913,3248.5141304347826,6279.425000000001,9,4,41.980434782608675,7,-221.6833333333333,225.89791666666673,2,187.50681818181826,223.9681818181819
pair_1.00_2.75,1.00/2.75,23,4805.196739130435,3251.1554347826086,5817.825,12,6,162.11956521739123,7,-202.8687500000001,648.1270833333333,5,172.50454545454548,585.5545454545454
pair_1.75_2.50,1.75/2.50,23,5664.820652173913,3256.064130434783,6162.15,11,1,44.63260869565229,6,-308.5645833333334,1315.0708333333332,5,298.07272727272726,1655.375
pair_1.00_3.50,1.00/3.50,23,4844.288043478261,3264.8021739130436,6279.525,12,6,171.39456521739115,10,-351.33125,850.2375,2,362.9977272727275,446.80681818181824
pair_1.00_3.25,1.00/3.25,23,4979.851086956522,3273.2184782608692,5713.049999999999,12,6,139.47391304347832,10,-300.6625,922.625,2,325.3204545454542,651.2886363636363
rr_1.00,1.00,23,4186.995652173913,3274.4978260869566,6378.75,0,0,0.0,0,0.0,0.0,0,0.0,0.0
duplicate_rr1,1.00/1.00,23,4186.995652173913,3274.4978260869566,6378.75,0,0,0.0,0,0.0,0.0,0,0.0,0.0
center4,1.25/1.75/2.25/2.75,23,5246.161956521739,3275.1407608695654,5880.875,10,1,142.9831521739131,6,-331.7666666666667,1136.9927083333334,4,363.27159090909083,974.2647727272729
pair_1.25_2.00,1.25/2.00,23,4921.285869565218,3276.769565217391,5983.374999999999,8,8,127.51413043478252,6,-399.59166666666664,931.7375000000001,2,440.66818181818184,518.8931818181818
pair_2.25_2.50,2.25/2.50,23,5616.814130434783,3281.083695652174,5211.225,7,5,11.665217391304315,5,-153.08749999999995,1232.9104166666666,2,180.7750000000002,1644.6272727272728
pair_1.50_2.50,1.50/2.50,23,5496.563043478261,3289.6141304347825,5812.65,7,1,71.0413043478263,5,-296.0750000000001,1209.71875,2,354.5977272727272,1418.4931818181817
