cohort,kind,start,end,portfolio,components,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change,event_realized_max_drawdown,mean_constituent_max_drawdown,smoothing_vs_mean_constituent_dd,best_constituent_max_drawdown,max_constituent_net_pnl,mdd_delta_vs_rr1,pnl_delta_vs_rr1
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.75_1.50,0.75/1.50,2355.025,2244.375,2020-03-19,50,70,True,17,-749.55,-1534.15,-2177.35,2460.975,2370.7250000000004,126.35000000000036,2096.3500000000004,3741.65,-45.22499999999991,214.2750000000001
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.75_1.75,0.75/1.75,3232.9249999999997,1567.375,2020-03-19,66,92,True,15,-749.5500000000001,-1272.975,-1434.3500000000001,1910.7249999999995,2063.4,496.0250000000001,2030.45,5497.45,-722.2249999999999,1092.1749999999997
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.75_2.00,0.75/2.00,3737.0249999999996,1632.7,2020-03-19,54,76,True,21,-749.55,-1357.55,-1453.9250000000002,1986.049999999999,1971.65,338.95000000000005,1846.95,6505.65,-656.8999999999999,1596.2749999999996
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.75_2.25,0.75/2.25,3423.375,1734.325,2020-03-19,48,68,True,22,-749.55,-1497.5,-1474.825,2091.2249999999985,1919.65,185.32500000000005,1742.9499999999998,5878.35,-555.2749999999999,1282.625
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.75_2.50,0.75/2.50,2911.75,1838.5,2020-03-20,48,69,True,19,-749.55,-1497.5,-1777.0249999999999,2125.4749999999995,2091.125,252.625,2085.9,4855.1,-451.0999999999999,771.0
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.75_2.75,0.75/2.75,3237.7749999999996,1945.725,2020-03-20,48,69,True,20,-749.5499999999998,-1497.4999999999998,-1884.25,2172.725,2198.3500000000004,252.62500000000045,2096.3500000000004,5507.15,-343.875,1097.0249999999996
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.75_3.00,0.75/3.00,3038.725,2192.3999999999996,2020-03-19,48,69,True,20,-749.5500000000001,-1497.5,-2192.3999999999996,2478.324999999999,2547.1500000000005,354.7500000000009,2096.3500000000004,5109.05,-97.20000000000027,897.9749999999999
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.75_3.25,0.75/3.25,2903.575,2122.125,2020-03-18,48,69,True,21,-749.55,-1497.5,-2083.425,2428.0249999999987,2496.8500000000004,374.72500000000036,2096.3500000000004,4838.75,-167.4749999999999,762.8249999999998
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.75_3.50,0.75/3.50,2425.0,2122.125,2020-03-18,54,77,True,20,-749.55,-1497.5,-2082.175,2428.024999999999,2496.8500000000004,374.72500000000036,2096.3500000000004,3881.6,-167.4749999999999,284.25
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.00_1.25,1.00/1.25,2682.5,2544.775,2020-03-19,71,102,True,15,-942.3,-1734.3999999999999,-2529.825,2592.7999999999997,2586.9750000000004,42.20000000000027,2289.6,3224.25,255.17500000000018,541.75
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.00_1.50,1.00/1.50,2941.2,2435.0,2020-03-19,55,78,True,18,-942.3,-1711.6499999999999,-2435.0,2468.924999999999,2467.35,32.34999999999991,2289.6,3741.65,145.4000000000001,800.4499999999998
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.00_1.75,1.00/1.75,3819.1,1737.225,2020-03-19,66,92,True,23,-942.3,-1269.475,-1692.0,1865.9999999999993,2160.025,422.8000000000002,2030.45,5497.45,-552.375,1678.35
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.00_2.00,1.00/2.00,4323.2,1790.45,2020-03-19,51,71,True,25,-942.3,-1354.05,-1711.575,1941.324999999999,2068.275,277.82500000000005,1846.95,6505.65,-499.14999999999986,2182.45
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.00_2.25,1.00/2.25,4009.55,1890.875,2020-03-19,47,67,True,21,-942.3,-1494.0,-1732.4750000000001,2046.4999999999986,2016.2749999999999,125.39999999999986,1742.9499999999998,5878.35,-398.7249999999999,1868.8000000000002
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.00_2.50,1.00/2.50,3497.925,2034.675,2020-03-19,48,69,True,17,-942.3,-1494.0,-2034.675,2147.3499999999995,2187.75,153.07500000000005,2085.9,4855.1,-254.92499999999995,1357.1750000000002
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.00_2.75,1.00/2.75,3823.95,2141.9,2020-03-19,48,69,True,20,-942.3,-1494.0,-2141.9,2254.575,2294.975,153.07499999999982,2289.6,5507.15,-147.69999999999982,1683.1999999999998
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.00_3.00,1.00/3.00,3624.9,2450.05,2020-03-19,54,77,True,18,-942.3,-1494.0,-2450.05,2588.2249999999995,2643.775,193.7249999999999,2289.6,5109.05,160.45000000000027,1484.15
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.00_3.25,1.00/3.25,3489.75,2242.0249999999996,2020-03-18,54,77,True,19,-942.3,-1494.0,-2201.75,2537.9249999999993,2593.475,351.4500000000003,2289.6,4838.75,-47.57500000000027,1349.0
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.00_3.50,1.00/3.50,3011.175,2242.025,2020-03-18,55,78,True,20,-942.3000000000001,-1494.0,-2192.075,2537.9249999999993,2593.475,351.4499999999998,2289.6,3881.6,-47.57499999999982,870.4250000000002
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.25_1.50,1.25/1.50,3482.95,2760.4750000000004,2020-03-19,64,91,True,21,-942.3,-1819.65,-2739.925,2831.4749999999985,2764.7250000000004,4.25,2645.1,3741.65,470.87500000000045,1342.1999999999998
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.25_1.75,1.25/1.75,4360.85,2009.2,2020-03-19,66,92,True,23,-942.3,-1377.475,-1996.9250000000002,2206.9499999999994,2457.4,448.20000000000005,2030.45,5497.45,-280.39999999999986,2220.1000000000004
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.25_2.00,1.25/2.00,4864.95,2016.5000000000002,2020-03-19,57,79,True,27,-942.3,-1462.05,-2016.5000000000002,2186.449999999998,2365.65,349.14999999999986,1846.95,6505.65,-273.0999999999997,2724.2
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.25_2.25,1.25/2.25,4551.3,2037.4,2020-03-19,53,75,True,23,-942.3000000000001,-1602.0,-2037.4,2223.4749999999995,2313.65,276.25,1742.9499999999998,5878.35,-252.19999999999982,2410.55
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.25_2.50,1.25/2.50,4039.675,2339.6000000000004,2020-03-19,52,72,True,15,-942.3,-1602.0,-2339.6000000000004,2491.5499999999993,2485.125,145.52499999999964,2085.9,4855.1,50.000000000000455,1898.9250000000002
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.25_2.75,1.25/2.75,4365.7,2446.8250000000003,2020-03-19,48,69,True,19,-942.3,-1602.0,-2446.8250000000003,2598.7749999999996,2592.3500000000004,145.5250000000001,2300.35,5507.15,157.22500000000036,2224.95
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.25_3.00,1.25/3.00,4166.65,2754.9750000000004,2020-03-19,52,75,True,18,-942.3,-1602.0,-2754.9750000000004,2932.4249999999993,2941.1500000000005,186.17500000000018,2884.3500000000004,5109.05,465.37500000000045,2025.8999999999996
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.25_3.25,1.25/3.25,4031.5,2581.95,2020-03-18,52,75,True,22,-942.3000000000001,-1602.0,-2524.9750000000004,2882.124999999999,2890.8500000000004,308.90000000000055,2884.3500000000004,4838.75,292.3499999999999,1890.75
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.25_3.50,1.25/3.50,3552.925,2581.95,2020-03-18,54,77,True,21,-942.3000000000001,-1602.0,-2523.725,2882.124999999999,2890.8500000000004,308.90000000000055,2884.3500000000004,3881.6,292.3499999999999,1412.1750000000002
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.50_1.75,1.50/1.75,4619.55,1902.1,2020-03-19,66,92,True,20,-942.3,-1362.6499999999999,-1902.1,2083.074999999998,2337.775,435.6750000000002,2030.45,5497.45,-387.5,2478.8
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.50_2.00,1.50/2.00,5123.65,1921.675,2020-03-19,60,84,True,24,-942.3,-1447.225,-1921.675,2113.7249999999995,2246.025,324.35000000000014,1846.95,6505.65,-367.92499999999995,2982.8999999999996
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.50_2.25,1.50/2.25,4810.0,2012.75,2020-03-19,54,76,True,23,-942.3000000000001,-1587.175,-1942.575,2218.899999999999,2194.0249999999996,181.27499999999964,1742.9499999999998,5878.35,-276.8499999999999,2669.25
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.50_2.50,1.50/2.50,4298.375,2244.7749999999996,2020-03-19,47,67,True,21,-942.3,-1587.175,-2244.7749999999996,2412.7499999999995,2365.5,120.72500000000036,2085.9,4855.1,-44.82500000000027,2157.625
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.50_2.75,1.50/2.75,4624.4,2352.0,2020-03-19,46,64,True,22,-942.3,-1587.175,-2352.0,2519.9749999999995,2472.725,120.72499999999991,2300.35,5507.15,62.40000000000009,2483.6499999999996
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.50_3.00,1.50/3.00,4425.35,2660.1499999999996,2020-03-19,48,69,True,22,-942.3,-1587.175,-2660.1499999999996,2853.624999999999,2821.525,161.37500000000045,2645.1,5109.05,370.5499999999997,2284.6000000000004
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.50_3.25,1.50/3.25,4290.2,2487.125,2020-03-18,48,69,True,20,-942.3000000000001,-1587.175,-2454.15,2803.324999999999,2771.225,284.0999999999999,2645.1,4838.75,197.5250000000001,2149.45
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.50_3.50,1.50/3.50,3811.625,2487.125,2020-03-18,48,69,True,21,-942.3000000000001,-1587.1750000000002,-2452.8999999999996,2803.3249999999994,2771.225,284.0999999999999,2645.1,3881.6,197.5250000000001,1670.875
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.75_2.00,1.75/2.00,6001.549999999999,1938.7,2020-06-26,66,92,True,19,-942.3,-1355.225,-1723.7500000000002,2107.500000000018,1938.7,0.0,1846.95,6505.65,-350.89999999999986,3860.7999999999993
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.75_2.25,1.75/2.25,5687.9,1851.9750000000004,2020-06-26,61,85,True,19,-942.3,-1495.175,-1621.8000000000002,2001.1750000000186,1886.6999999999998,34.724999999999454,1742.9499999999998,5878.35,-437.62499999999955,3547.1499999999996
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.75_2.50,1.75/2.50,5176.275,1743.225,2020-03-12,61,85,True,15,-942.3,-1495.175,-1504.75,1958.7499999999995,2058.175,314.9500000000003,2030.45,5497.45,-546.375,3035.5249999999996
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.75_2.75,1.75/2.75,5502.299999999999,1850.4499999999998,2020-03-12,46,64,True,19,-942.3,-1495.175,-1609.0,2065.9749999999995,2165.4,314.9500000000003,2030.45,5507.15,-439.1500000000001,3361.5499999999993
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.75_3.00,1.75/3.00,5303.25,2184.1,2020-03-12,44,62,True,20,-942.3,-1495.175,-1917.1499999999999,2399.624999999999,2514.2000000000003,330.10000000000036,2030.45,5497.45,-105.5,3162.5
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.75_3.25,1.75/3.25,5168.1,2133.8,2020-03-12,42,58,True,22,-942.3,-1495.175,-1828.9,2349.3249999999994,2463.9,330.0999999999999,2030.45,5497.45,-155.79999999999973,3027.3500000000004
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_1.75_3.50,1.75/3.50,4689.525,2133.8,2020-03-12,43,61,True,22,-942.3000000000001,-1495.175,-1827.65,2349.3249999999994,2463.9,330.0999999999999,2030.45,5497.45,-155.79999999999973,2548.7749999999996
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.00_2.25,2.00/2.25,6192.0,1760.2250000000004,2020-06-26,57,79,True,23,-942.3000000000001,-1579.75,-1604.0500000000002,1937.8500000000124,1794.9499999999998,34.724999999999454,1742.9499999999998,6505.65,-529.3749999999995,4051.25
