cohort,rr,budget,method,breached,horizon_open_trade_censored,trade_key,window,entry,exit,pnl_before,pnl_after,kind,interval_start
12m_2020-04-01,1.00,1500,closed_peak_dd,True,0,RR1.00:22-23:55:219,22-23,2020-10-06T22:34:40,2020-10-06T23:30:00,1189.6,1025.55,realized_drawdown,2020-10-06T23:30:00
12m_2020-04-01,1.00,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,1.00,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,1.00,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,1.25,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,1.25,1500,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,1.25,1500,closed_peak_dd,True,0,RR1.25:13-14:108:398,13-14,2021-02-23T13:15:40,2021-02-23T16:34:40,3173.05,3022.0,realized_drawdown,2021-02-23T16:34:40
12m_2020-04-01,1.25,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,1.25,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,1.25,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,1.50,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,1.50,1500,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,1.50,1500,closed_peak_dd,True,0,RR1.50:22-23:35:142,22-23,2020-06-26T22:47:40,2020-06-26T22:52:40,118.35,34.3,realized_drawdown,2020-06-26T22:52:40
12m_2020-04-01,1.50,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,1.50,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,1.50,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,1.75,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,1.75,1500,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,1.75,1500,closed_peak_dd,True,0,RR1.75:15-16:45:161,15-16,2020-06-18T15:39:40,2020-06-18T17:33:40,612.4,537.85,realized_drawdown,2020-06-18T17:33:40
12m_2020-04-01,1.75,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,1.75,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,1.75,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,2.00,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,2.00,1500,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,2.00,1500,closed_peak_dd,True,0,RR2.00:17-18:34:138,17-18,2020-06-18T17:58:40,2020-06-18T22:00:40,1179.15,1083.1,realized_drawdown,2020-06-18T22:00:40
12m_2020-04-01,2.00,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,2.00,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,2.00,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,2.25,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,2.25,1500,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,2.25,1500,closed_peak_dd,True,0,RR2.25:18-19:35:152,18-19,2020-06-26T18:07:40,2020-06-26T22:35:40,741.45,568.9,realized_drawdown,2020-06-26T22:35:40
