episode,months,budget,gap,start,end,rrs
3m_b1500_g5_e03,3,1500,5,2022-01-19T08:00:40,2022-01-24T14:52:20,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g5_e04,3,1500,5,2022-04-12T20:20:40,2022-04-22T22:51:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g5_e05,3,1500,5,2023-08-16T17:11:20,2023-08-18T16:27:40,0.50/0.75/1.75/2.00/2.25/2.50/2.75
3m_b1500_g5_e06,3,1500,5,2024-07-25T09:30:40,2024-08-02T17:04:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g5_e07,3,1500,5,2025-03-11T16:01:20,2025-03-13T21:51:40,0.50/0.75/2.50/2.75/3.00/3.25/3.50
3m_b1500_g5_e08,3,1500,5,2025-04-04T08:32:40,2025-04-07T09:22:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g5_e09,3,1500,5,2025-09-02T16:35:40,2025-09-02T17:00:00,0.75
3m_b1500_g5_e10,3,1500,5,2025-11-21T15:17:40,2025-11-21T17:36:40,0.50
3m_b1500_g5_e11,3,1500,5,2026-02-13T16:48:40,2026-02-17T16:55:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g20_e01,3,1500,20,2020-03-12T19:02:40,2020-03-18T19:30:40,0.75/1.00/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g20_e02,3,1500,20,2021-03-04T13:40:40,2021-03-09T17:00:00,0.50/2.00/2.25/2.50/2.75/3.00
3m_b1500_g20_e03,3,1500,20,2022-01-19T08:00:40,2022-01-24T14:52:20,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g20_e04,3,1500,20,2022-04-12T20:20:40,2022-04-22T22:51:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g20_e05,3,1500,20,2023-08-16T17:11:20,2023-08-18T16:27:40,0.50/0.75/1.75/2.00/2.25/2.50/2.75
3m_b1500_g20_e06,3,1500,20,2024-07-25T09:30:40,2024-08-02T17:04:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g20_e07,3,1500,20,2025-03-11T16:01:20,2025-04-07T09:22:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g20_e08,3,1500,20,2025-09-02T16:35:40,2025-09-02T17:00:00,0.75
3m_b1500_g20_e09,3,1500,20,2025-11-21T15:17:40,2025-11-21T17:36:40,0.50
3m_b1500_g20_e10,3,1500,20,2026-02-13T16:48:40,2026-02-17T16:55:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g40_e01,3,1500,40,2020-03-12T19:02:40,2020-03-18T19:30:40,0.75/1.00/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g40_e02,3,1500,40,2021-03-04T13:40:40,2021-03-09T17:00:00,0.50/2.00/2.25/2.50/2.75/3.00
3m_b1500_g40_e03,3,1500,40,2022-01-19T08:00:40,2022-01-24T14:52:20,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g40_e04,3,1500,40,2022-04-12T20:20:40,2022-04-22T22:51:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g40_e05,3,1500,40,2023-08-16T17:11:20,2023-08-18T16:27:40,0.50/0.75/1.75/2.00/2.25/2.50/2.75
3m_b1500_g40_e06,3,1500,40,2024-07-25T09:30:40,2024-08-02T17:04:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g40_e07,3,1500,40,2025-03-11T16:01:20,2025-04-07T09:22:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g40_e08,3,1500,40,2025-09-02T16:35:40,2025-09-02T17:00:00,0.75
3m_b1500_g40_e09,3,1500,40,2025-11-21T15:17:40,2025-11-21T17:36:40,0.50
3m_b1500_g40_e10,3,1500,40,2026-02-13T16:48:40,2026-02-17T16:55:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
6m_b1500_g5_e01,6,1500,5,2020-03-12T19:02:40,2020-03-18T19:30:40,0.75/1.00/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
6m_b1500_g5_e02,6,1500,5,2021-03-04T13:40:40,2021-03-09T17:00:00,0.50/2.00/2.25/2.50/2.75/3.00
6m_b1500_g5_e03,6,1500,5,2022-01-19T08:00:40,2022-01-24T14:52:20,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
6m_b1500_g5_e04,6,1500,5,2023-08-16T17:11:20,2023-08-18T16:27:40,0.50/0.75/1.75/2.00/2.25/2.50/2.75
6m_b1500_g5_e05,6,1500,5,2023-10-30T17:01:40,2023-11-01T16:30:00,3.25/3.50
6m_b1500_g5_e06,6,1500,5,2024-07-25T09:30:40,2024-08-02T17:04:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
6m_b1500_g5_e07,6,1500,5,2025-03-11T16:01:20,2025-03-13T21:51:40,0.50/0.75/2.50/2.75/3.00/3.25/3.50
6m_b1500_g5_e08,6,1500,5,2025-04-04T02:32:40,2025-04-04T22:55:40,1.00/1.25/1.50/1.75/2.00/2.25
6m_b1500_g5_e09,6,1500,5,2025-09-02T16:35:40,2025-09-02T17:00:00,0.75
6m_b1500_g5_e10,6,1500,5,2025-11-21T13:00:40,2025-11-21T15:00:00,0.50
