months,budget,gap,left,right,shared,left_only,right_only,reciprocal,jaccard
1,1500,40,0.50,3.25,8,1,3,True,0.6666666666666666
1,1500,40,0.50,3.50,8,1,3,True,0.6666666666666666
1,1500,40,0.75,1.00,8,1,1,True,0.8
1,1500,40,0.75,1.25,8,1,1,True,0.8
1,1500,40,0.75,1.50,8,1,1,True,0.8
1,1500,40,0.75,1.75,8,1,2,True,0.7272727272727273
1,1500,40,0.75,2.00,7,2,2,True,0.6363636363636364
1,1500,40,0.75,2.25,8,1,2,True,0.7272727272727273
1,1500,40,0.75,2.50,9,0,2,False,0.8181818181818182
1,1500,40,0.75,2.75,9,0,2,False,0.8181818181818182
1,1500,40,0.75,3.00,9,0,2,False,0.8181818181818182
1,1500,40,0.75,3.25,9,0,2,False,0.8181818181818182
1,1500,40,0.75,3.50,9,0,2,False,0.8181818181818182
1,1500,40,1.00,1.25,8,1,1,True,0.8
1,1500,40,1.00,1.50,8,1,1,True,0.8
1,1500,40,1.00,1.75,8,1,2,True,0.7272727272727273
1,1500,40,1.00,2.00,8,1,1,True,0.8
1,1500,40,1.00,2.25,7,2,3,True,0.5833333333333334
1,1500,40,1.00,2.50,9,0,2,False,0.8181818181818182
1,1500,40,1.00,2.75,9,0,2,False,0.8181818181818182
1,1500,40,1.00,3.00,9,0,2,False,0.8181818181818182
1,1500,40,1.00,3.25,9,0,2,False,0.8181818181818182
1,1500,40,1.00,3.50,9,0,2,False,0.8181818181818182
1,1500,40,1.25,1.50,8,1,1,True,0.8
1,1500,40,1.25,1.75,8,1,2,True,0.7272727272727273
1,1500,40,1.25,2.00,8,1,1,True,0.8
1,1500,40,1.25,2.25,8,1,2,True,0.7272727272727273
1,1500,40,1.25,2.50,9,0,2,False,0.8181818181818182
1,1500,40,1.25,2.75,9,0,2,False,0.8181818181818182
1,1500,40,1.25,3.00,9,0,2,False,0.8181818181818182
1,1500,40,1.25,3.25,9,0,2,False,0.8181818181818182
1,1500,40,1.25,3.50,9,0,2,False,0.8181818181818182
1,1500,40,1.50,1.75,7,2,3,True,0.5833333333333334
1,1500,40,1.50,2.00,7,2,2,True,0.6363636363636364
1,1500,40,1.50,2.25,8,1,2,True,0.7272727272727273
1,1500,40,1.50,2.50,8,1,3,True,0.6666666666666666
1,1500,40,1.50,2.75,8,1,3,True,0.6666666666666666
1,1500,40,1.50,3.00,8,1,3,True,0.6666666666666666
1,1500,40,1.50,3.25,8,1,3,True,0.6666666666666666
1,1500,40,1.50,3.50,8,1,3,True,0.6666666666666666
1,1500,40,1.75,2.00,9,1,0,False,0.9
1,1500,40,1.75,2.25,9,1,1,True,0.8181818181818182
1,1500,40,1.75,2.50,10,0,1,False,0.9090909090909091
1,1500,40,1.75,2.75,10,0,1,False,0.9090909090909091
1,1500,40,1.75,3.00,10,0,1,False,0.9090909090909091
1,1500,40,1.75,3.25,10,0,1,False,0.9090909090909091
1,1500,40,1.75,3.50,10,0,1,False,0.9090909090909091
1,1500,40,2.00,2.25,8,1,2,True,0.7272727272727273
1,1500,40,2.00,2.50,9,0,2,False,0.8181818181818182
