left,right,mean_quarter_pnl,mean_quarter_mdd,left_failed,right_failed,both,left_only,right_only,mean_fraction_failed
3.00,3.25,1273.258653846154,2451.4346153846154,8,7,7,1,0,0.28846153846153844
0.75,1.75,1005.2721153846154,2131.373076923077,9,7,7,2,0,0.3076923076923077
0.75,3.50,1180.251923076923,2158.625,9,7,7,2,0,0.3076923076923077
0.75,3.25,1054.1576923076923,2218.1221153846154,9,7,7,2,0,0.3076923076923077
2.00,3.00,1286.6307692307694,2316.9307692307693,8,8,7,1,1,0.3076923076923077
1.75,2.50,1140.4903846153848,2336.9778846153845,7,9,7,0,2,0.3076923076923077
1.75,2.75,1168.9576923076922,2339.551923076923,7,9,7,0,2,0.3076923076923077
2.25,3.00,1279.9750000000001,2352.296153846154,8,8,7,1,1,0.3076923076923077
2.50,3.50,1315.4701923076923,2361.076923076923,9,7,7,2,0,0.3076923076923077
2.75,3.50,1343.9375,2371.3596153846156,9,7,7,2,0,0.3076923076923077
2.50,3.25,1189.3759615384615,2418.4096153846153,9,7,7,2,0,0.3076923076923077
2.75,3.25,1217.8432692307692,2437.6067307692306,9,7,7,2,0,0.3076923076923077
0.75,2.00,1067.5298076923077,2119.8971153846155,9,8,7,2,1,0.3269230769230769
0.50,2.00,930.276923076923,2127.125,9,8,7,2,1,0.3269230769230769
0.75,2.25,1060.8740384615385,2145.6961538461537,9,8,7,2,1,0.3269230769230769
0.50,2.25,923.6211538461538,2167.310576923077,9,8,7,2,1,0.3269230769230769
0.75,3.00,1122.5913461538462,2205.566346153846,9,8,7,2,1,0.3269230769230769
0.50,3.00,985.3384615384615,2231.2740384615386,9,8,7,2,1,0.3269230769230769
0.50,0.75,766.2375,2107.6769230769232,9,9,7,2,2,0.34615384615384615
2.00,2.00,1231.5692307692307,2256.9557692307694,8,8,8,0,0,0.3076923076923077
2.00,2.25,1224.9134615384614,2266.996153846154,8,8,8,0,0,0.3076923076923077
2.25,2.25,1218.2576923076922,2330.848076923077,8,8,8,0,0,0.3076923076923077
3.00,3.00,1341.6923076923076,2450.9326923076924,8,8,8,0,0,0.3076923076923077
2.00,2.50,1202.748076923077,2309.672115384615,8,9,8,0,1,0.3269230769230769
2.00,2.75,1231.2153846153847,2315.2759615384616,8,9,8,0,1,0.3269230769230769
2.25,2.50,1196.0923076923077,2363.5326923076923,8,9,8,0,1,0.3269230769230769
2.25,2.75,1224.5596153846154,2371.6509615384616,8,9,8,0,1,0.3269230769230769
2.50,3.00,1257.8096153846154,2420.683653846154,9,8,8,1,0,0.3269230769230769
2.75,3.00,1286.2769230769231,2439.799038461538,9,8,8,1,0,0.3269230769230769
0.75,2.75,1067.1759615384615,2211.769230769231,9,9,8,1,1,0.34615384615384615
0.75,2.50,1038.7086538461538,2215.2759615384616,9,9,8,1,1,0.34615384615384615
0.50,2.50,901.4557692307693,2232.7240384615384,9,9,8,1,1,0.34615384615384615
0.50,2.75,929.9230769230769,2237.2509615384615,9,9,8,1,1,0.34615384615384615
0.75,0.75,903.4903846153846,2138.146153846154,9,9,9,0,0,0.34615384615384615
0.50,0.50,628.9846153846154,2198.8923076923074,9,9,9,0,0,0.34615384615384615
2.50,2.50,1173.9269230769232,2429.0884615384616,9,9,9,0,0,0.34615384615384615
2.50,2.75,1202.394230769231,2438.2413461538463,9,9,9,0,0,0.34615384615384615
2.75,2.75,1230.8615384615384,2466.859615384615,9,9,9,0,0,0.34615384615384615
