case,left,right,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change
3m_2020-04-01,0.75,2.75,2970.525,721.4000000000001,2020-06-12,13,19,True,12,-485.5999999999999,-582.6999999999998,-235.44999999999982
3m_2020-04-01,0.75,3.00,3232.1,721.4000000000001,2020-06-12,9,13,True,13,-485.60000000000036,-582.7000000000003,-252.67499999999973
3m_2020-04-01,0.75,3.25,3077.6,721.3999999999996,2020-06-12,15,21,True,10,-485.59999999999945,-665.4000000000001,-321.1500000000001
3m_2020-04-01,0.75,3.50,3196.125,721.3999999999996,2020-06-12,15,21,True,10,-485.5999999999999,-665.4000000000001,-179.30000000000018
3m_2020-04-01,1.00,1.25,2124.1,680.0749999999999,2020-05-01,19,27,True,10,-417.34999999999945,-662.4250000000002,-214.80000000000018
3m_2020-04-01,1.00,1.50,2195.1,673.1500000000001,2020-05-01,19,27,True,9,-435.57500000000005,-630.3750000000005,-174.82500000000027
3m_2020-04-01,1.00,1.75,2442.225,672.7000000000003,2020-06-12,18,24,True,9,-471.3499999999999,-643.8499999999999,-240.8499999999999
3m_2020-04-01,1.00,2.00,2479.7749999999996,745.0500000000002,2020-06-30,17,23,True,9,-471.3499999999999,-745.0500000000002,-172.50000000000045
3m_2020-04-01,1.00,2.25,2097.925,758.9750000000004,2020-06-12,13,19,True,11,-471.34999999999945,-745.0500000000002,-510.5
3m_2020-04-01,1.00,2.50,2534.625,757.875,2020-06-12,13,19,True,12,-471.3499999999999,-708.5500000000002,-235.67500000000018
3m_2020-04-01,1.00,2.75,2571.825,757.875,2020-06-12,15,21,True,11,-471.35000000000036,-708.5500000000002,-231.75
3m_2020-04-01,1.00,3.00,2833.3999999999996,757.875,2020-06-12,8,11,True,12,-471.3499999999999,-708.5500000000006,-248.97500000000036
3m_2020-04-01,1.00,3.25,2678.8999999999996,791.2500000000005,2020-06-30,15,21,True,11,-471.3499999999999,-791.2500000000005,-317.4500000000007
3m_2020-04-01,1.00,3.50,2797.425,791.25,2020-06-30,15,21,True,11,-471.3499999999999,-791.25,-175.5999999999999
3m_2020-04-01,1.25,1.50,2426.35,632.9500000000003,2020-06-12,23,31,True,9,-435.57500000000005,-565.3499999999999,-128.625
3m_2020-04-01,1.25,1.75,2673.475,686.9500000000003,2020-06-12,19,27,True,10,-471.35000000000036,-578.8250000000003,-95.34999999999991
3m_2020-04-01,1.25,2.00,2711.0249999999996,680.0250000000005,2020-06-30,18,24,True,9,-471.35000000000036,-680.0250000000005,-27.000000000000455
3m_2020-04-01,1.25,2.25,2329.175,780.9749999999999,2020-06-12,15,21,True,10,-471.3499999999999,-680.0249999999996,-365.0
3m_2020-04-01,1.25,2.50,2765.875,772.125,2020-06-12,15,21,True,11,-471.34999999999945,-643.5250000000001,-90.17500000000018
3m_2020-04-01,1.25,2.75,2803.075,772.125,2020-06-12,8,12,True,11,-471.3499999999999,-643.5250000000001,-86.25
3m_2020-04-01,1.25,3.00,3064.6499999999996,772.125,2020-06-12,8,11,True,12,-471.34999999999945,-643.5250000000005,-103.47500000000036
