study,policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,trading_neutral,booked_net_trading_usd
Pair overlap,fixed_1500_backlog,26100.0,1000.0,75561.35,0.0,75561.35,2,False,72266.9
RR1 overlap,fixed_1500_backlog,26600.0,1500.0,54217.6,0.0,54217.6,2,False,51955.75
Pair while flat,fixed_1500_backlog,26600.0,1500.0,48213.45,0.0,48213.45,2,False,49845.5
Pair overlap,fixed_1500_backlog,26600.0,1500.0,75469.55,0.0,75469.55,2,False,72079.75
RR1 overlap,fixed_1500_backlog,27100.0,2000.0,96043.5,0.0,96043.5,2,False,93669.35
Pair while flat,fixed_1500_backlog,27100.0,2000.0,71359.55,0.0,71359.55,3,False,74501.95
Pair overlap,fixed_1500_backlog,27100.0,2000.0,66611.25,0.0,66611.25,2,False,62714.6
RR1 overlap,fixed_1500_backlog,27600.0,2500.0,120275.9,0.0,120275.9,2,False,118513.15
Pair while flat,fixed_1500_backlog,27600.0,2500.0,130276.4,1912.14,132188.54,5,False,138564.55
Pair overlap,fixed_1500_backlog,27600.0,2500.0,66618.6,0.0,66618.6,2,False,63207.75
RR1 overlap,fixed_1500_backlog,28100.0,3000.0,181222.45,0.0,181222.45,2,False,178700.85
Pair while flat,fixed_1500_backlog,28100.0,3000.0,244379.7,9648.56,254028.26,10,False,267678.85
Pair overlap,fixed_1500_backlog,28100.0,3000.0,81695.4,0.0,81695.4,2,False,78123.6
RR1 overlap,fixed_1500_backlog,28600.0,3500.0,172008.4,0.0,172008.4,2,False,170336.25
Pair while flat,fixed_1500_backlog,28600.0,3500.0,264990.6,20384.98,285375.58,13,False,298601.75
Pair overlap,fixed_1500_backlog,28600.0,3500.0,190702.63,2509.74,193212.37,3,False,191095.05
RR1 overlap,fixed_1500_backlog,29100.0,4000.0,225029.02,0.0,225029.02,2,False,222515.3
Pair while flat,fixed_1500_backlog,29100.0,4000.0,279450.56,23884.98,303335.54,13,False,318614.6
Pair overlap,fixed_1500_backlog,29100.0,4000.0,227847.08,3009.74,230856.82,5,False,235184.4
RR1 overlap,fixed_1500_backlog,29600.0,4500.0,320939.31,0.0,320939.31,2,False,320112.4
Pair while flat,fixed_1500_backlog,29600.0,4500.0,415319.38,80269.97,495589.35,27,True,527774.4
Pair overlap,fixed_1500_backlog,29600.0,4500.0,258180.73,32986.04,291166.77,15,False,308114.9
RR1 overlap,fixed_1500_backlog,30100.0,5000.0,365628.31,1500.0,367128.31,3,False,370701.95
Pair while flat,fixed_1500_backlog,30100.0,5000.0,403351.3,90965.65,494316.95,27,True,527774.4
Pair overlap,fixed_1500_backlog,30100.0,5000.0,249882.68,38986.04,288868.72,15,False,306240.7
RR1 overlap,fixed_1500_backlog,30600.0,5500.0,356431.7,1500.0,357931.7,3,False,359177.6
Pair while flat,fixed_1500_backlog,30600.0,5500.0,392246.79,101665.65,493912.44,27,True,527774.4
Pair overlap,fixed_1500_backlog,30600.0,5500.0,277419.52,44986.04,322405.56,15,False,341199.8
RR1 overlap,fixed_1500_backlog,31100.0,6000.0,362770.74,83098.2,445868.94,20,False,450995.8
Pair while flat,fixed_1500_backlog,31100.0,6000.0,379739.84,105453.51,485193.35,27,True,527774.4
Pair overlap,fixed_1500_backlog,31100.0,6000.0,329241.03,70714.69,399955.72,20,False,423893.9
RR1 overlap,fixed_1500_backlog,31600.0,6500.0,354140.38,102345.63,456486.01,22,True,462022.2
Pair while flat,fixed_1500_backlog,31600.0,6500.0,367393.27,117182.25,484575.52,27,True,527774.4
Pair overlap,fixed_1500_backlog,31600.0,6500.0,359431.07,76629.87,436060.94,21,True,470886.5
RR1 overlap,fixed_1500_backlog,32100.0,7000.0,344440.38,102494.15,446934.53,22,True,462022.2
Pair while flat,fixed_1500_backlog,32100.0,7000.0,356648.82,125932.25,482581.07,27,True,527774.4
Pair overlap,fixed_1500_backlog,32100.0,7000.0,351830.31,81929.87,433760.18,21,True,470886.5
RR1 overlap,fixed_1500_backlog,32600.0,7500.0,334740.38,105668.41,440408.79,22,True,462022.2
Pair while flat,fixed_1500_backlog,32600.0,7500.0,346008.81,134682.25,480691.06,27,True,527774.4
Pair overlap,fixed_1500_backlog,32600.0,7500.0,342078.76,88729.87,430808.63,21,True,470886.5
RR1 overlap,fixed_1500_backlog,33100.0,8000.0,325034.28,113374.51,438408.79,22,True,462022.2
Pair while flat,fixed_1500_backlog,33100.0,8000.0,334247.76,136020.11,470267.87,27,True,527774.4
Pair overlap,fixed_1500_backlog,33100.0,8000.0,333048.12,95529.87,428577.99,21,True,470886.5
RR1 overlap,fixed_1500_backlog,33600.0,8500.0,315284.28,121124.51,436408.79,22,True,462022.2
Pair while flat,fixed_1500_backlog,33600.0,8500.0,323704.2,144270.11,467974.31,27,True,527774.4
Pair overlap,fixed_1500_backlog,33600.0,8500.0,324732.33,102329.87,427062.2,21,True,470886.5
RR1 overlap,fixed_1500_backlog,34100.0,9000.0,305534.28,128874.51,434408.79,22,True,462022.2
Pair while flat,fixed_1500_backlog,34100.0,9000.0,313719.95,154020.11,467740.06,27,True,527774.4
Pair overlap,fixed_1500_backlog,34100.0,9000.0,316400.98,110629.87,427030.85,21,True,470886.5
RR1 overlap,fixed_1500_backlog,34600.0,9500.0,295777.86,136630.93,432408.79,22,True,462022.2
Pair while flat,fixed_1500_backlog,34600.0,9500.0,304424.47,162315.59,466740.06,27,True,527774.4
Pair overlap,fixed_1500_backlog,34600.0,9500.0,308600.97,117429.87,426030.84,21,True,470886.5
RR1 overlap,fixed_1500_backlog,35100.0,10000.0,285872.72,144528.97,430401.69,22,True,462022.2
Pair while flat,fixed_1500_backlog,35100.0,10000.0,294652.77,170665.59,465318.36,27,True,527774.4
Pair overlap,fixed_1500_backlog,35100.0,10000.0,300785.17,124229.87,425015.04,21,True,470886.5
RR1 overlap,fixed_250_backlog,,,108587.85,172857.55,281445.4,15,False,280615.65
Pair while flat,fixed_250_backlog,,,74967.45,107369.39,182336.84,13,False,217609.25
Pair overlap,fixed_250_backlog,,,80445.7,181037.68,261483.38,12,False,284497.8
RR1 overlap,fixed_250_backlog,25100.0,0.0,108587.85,172857.55,281445.4,15,False,280615.65
Pair while flat,fixed_250_backlog,25100.0,0.0,74967.45,107369.39,182336.84,13,False,217609.25
Pair overlap,fixed_250_backlog,25100.0,0.0,80445.7,181037.68,261483.38,12,False,284497.8
RR1 overlap,fixed_250_backlog,25600.0,500.0,108587.85,172857.55,281445.4,15,False,280615.65
Pair while flat,fixed_250_backlog,25600.0,500.0,74967.45,107369.39,182336.84,13,False,217609.25
Pair overlap,fixed_250_backlog,25600.0,500.0,80445.7,181037.68,261483.38,12,False,284497.8
RR1 overlap,fixed_250_backlog,26100.0,1000.0,108587.85,172857.55,281445.4,15,False,280615.65
Pair while flat,fixed_250_backlog,26100.0,1000.0,74967.45,107369.39,182336.84,13,False,217609.25
Pair overlap,fixed_250_backlog,26100.0,1000.0,80445.7,181037.68,261483.38,12,False,284497.8
RR1 overlap,fixed_250_backlog,26600.0,1500.0,116889.4,187284.24,304173.64,16,False,302523.45
Pair while flat,fixed_250_backlog,26600.0,1500.0,73414.3,102894.23,176308.53,13,False,216127.3
Pair overlap,fixed_250_backlog,26600.0,1500.0,81912.6,181037.68,262950.28,12,False,285702.15
RR1 overlap,fixed_250_backlog,27100.0,2000.0,122651.45,202132.73,324784.18,17,False,323124.15
Pair while flat,fixed_250_backlog,27100.0,2000.0,88911.15,148363.49,237274.64,15,False,272200.95
Pair overlap,fixed_250_backlog,27100.0,2000.0,73025.6,116882.62,189908.22,11,False,248411.5
RR1 overlap,fixed_250_backlog,27600.0,2500.0,152820.35,227086.92,379907.27,18,False,380605.35
Pair while flat,fixed_250_backlog,27600.0,2500.0,114105.85,145880.87,259986.72,18,False,326728.55
Pair overlap,fixed_250_backlog,27600.0,2500.0,71688.7,116882.62,188571.32,11,False,247035.05
RR1 overlap,fixed_250_backlog,28100.0,3000.0,168450.0,256362.1,424812.1,20,False,425540.0
Pair while flat,fixed_250_backlog,28100.0,3000.0,114391.1,125065.35,239456.45,19,False,330029.95
Pair overlap,fixed_250_backlog,28100.0,3000.0,76209.3,137149.66,213358.96,12,False,279973.4
RR1 overlap,fixed_250_backlog,28600.0,3500.0,168105.75,256362.1,424467.85,20,False,425137.5
Pair while flat,fixed_250_backlog,28600.0,3500.0,121687.1,144769.56,266456.66,21,False,354658.55
Pair overlap,fixed_250_backlog,28600.0,3500.0,139326.4,137149.66,276476.06,15,False,372305.0
RR1 overlap,fixed_250_backlog,29100.0,4000.0,169886.45,256362.1,426248.55,20,False,426782.25
Pair while flat,fixed_250_backlog,29100.0,4000.0,134280.35,145938.66,280219.01,22,False,386027.3
Pair overlap,fixed_250_backlog,29100.0,4000.0,155351.85,137043.63,292395.48,19,False,411756.85
RR1 overlap,fixed_250_backlog,29600.0,4500.0,170636.45,255112.1,425748.55,20,False,426285.75
Pair while flat,fixed_250_backlog,29600.0,4500.0,191897.35,200511.26,392408.61,27,True,527774.4
Pair overlap,fixed_250_backlog,29600.0,4500.0,171907.9,171285.77,343193.67,21,True,470886.5
RR1 overlap,fixed_250_backlog,29700.0,4600.0,170286.45,255362.1,425648.55,20,False,426245.6
Pair while flat,fixed_250_backlog,29700.0,4600.0,191719.7,191199.64,382919.34,27,True,527774.4
Pair overlap,fixed_250_backlog,29700.0,4600.0,171957.9,157225.53,329183.43,21,True,470886.5
RR1 overlap,fixed_250_backlog,29800.0,4700.0,183950.0,271028.91,454978.91,21,False,456509.0
Pair while flat,fixed_250_backlog,29800.0,4700.0,191022.35,201785.48,392807.83,27,True,527774.4
Pair overlap,fixed_250_backlog,29800.0,4700.0,171094.55,172785.77,343880.32,21,True,470886.5
RR1 overlap,fixed_250_backlog,29900.0,4800.0,183950.0,271028.91,454978.91,21,False,456509.0
Pair while flat,fixed_250_backlog,29900.0,4800.0,191922.35,140578.97,332501.32,27,True,527774.4
Pair overlap,fixed_250_backlog,29900.0,4800.0,170744.55,209625.35,380369.9,21,True,470886.5
