study,policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,trading_neutral,booked_net_trading_usd
Pair overlap,minimum_monthly,33100.0,8000.0,178850.0,3000.0,181850.0,21,True,470886.5
RR1 overlap,minimum_monthly,33600.0,8500.0,214700.0,224788.03,439488.03,22,True,462022.2
Pair while flat,minimum_monthly,33600.0,8500.0,169700.0,7500.0,177200.0,27,True,527774.4
Pair overlap,minimum_monthly,33600.0,8500.0,172900.0,3000.0,175900.0,21,True,470886.5
RR1 overlap,minimum_monthly,34100.0,9000.0,208700.0,229788.03,438488.03,22,True,462022.2
Pair while flat,minimum_monthly,34100.0,9000.0,161700.0,7500.0,169200.0,27,True,527774.4
Pair overlap,minimum_monthly,34100.0,9000.0,168950.0,3000.0,171950.0,21,True,470886.5
RR1 overlap,minimum_monthly,34600.0,9500.0,201200.0,228460.79,429660.79,22,True,462022.2
Pair while flat,minimum_monthly,34600.0,9500.0,156200.0,7500.0,163700.0,27,True,527774.4
Pair overlap,minimum_monthly,34600.0,9500.0,163500.0,3000.0,166500.0,21,True,470886.5
RR1 overlap,minimum_monthly,35100.0,10000.0,194700.0,234460.79,429160.79,22,True,462022.2
Pair while flat,minimum_monthly,35100.0,10000.0,149700.0,9000.0,158700.0,27,True,527774.4
Pair overlap,minimum_monthly,35100.0,10000.0,158050.0,4500.0,162550.0,21,True,470886.5
