policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,ongoing_payouts,terminal_payouts,profit_before_terminal_usd,profit_after_terminal_usd,booked_net_trading_usd,firm_split_usd,path_ceiling_usd,unextracted_usd,path_fingerprint,stage,copies_checked,alive_rr050,alive_rr250,trading_neutral,earnings_vs_benchmark_usd,book_ceiling_usd,ceiling_capture
fixed_1000_backlog,34600.0,9500.0,308558.32,117472.52,426030.84,21,179,17,165790.7,44670.69,470886.5,10607.22,481308.75,55277.91,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.885151
fixed_1000_backlog,35100.0,10000.0,300785.17,124229.87,425015.04,21,172,17,173763.85,45686.49,470886.5,10607.22,481308.75,56293.71,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.88304
fixed_1500_backlog,,,76524.1,0.0,76524.1,2,62,0,3454.85,3454.85,73105.0,0.0,79978.95,3454.85,db0eb1ef0caa39b6ae96168d2a5099dda95472af649cbce5653ba0d98f0a5828,coarse,39187,2,0,False,-397781.5,481308.75,0.158992
fixed_1500_backlog,25100.0,0.0,76524.1,0.0,76524.1,2,62,0,3454.85,3454.85,73105.0,0.0,79978.95,3454.85,db0eb1ef0caa39b6ae96168d2a5099dda95472af649cbce5653ba0d98f0a5828,coarse,39187,2,0,False,-397781.5,481308.75,0.158992
fixed_1500_backlog,25600.0,500.0,76302.85,0.0,76302.85,2,62,0,3454.85,3454.85,72883.4,0.0,79757.7,3454.85,b717fe7d1b03baa099b47b0e805df82d4e8b3ab348d0c5ee9bf3fc6084251e77,coarse,39189,2,0,False,-398003.1,481308.75,0.158532
fixed_1500_backlog,26100.0,1000.0,75561.35,0.0,75561.35,2,62,0,3454.85,3454.85,72266.9,0.0,79016.2,3454.85,8f0b0355894e81786c9996aeff31905435c1c132a87e35c85aec04741049fd65,coarse,39249,2,0,False,-398619.6,481308.75,0.156991
fixed_1500_backlog,26600.0,1500.0,75469.55,0.0,75469.55,2,65,0,3454.85,3454.85,72079.75,0.0,78924.4,3454.85,3638c84c8b796adb8d5df12116edc21b72383864cf545cf270be00963fbc1a69,coarse,43232,2,0,False,-398806.75,481308.75,0.156801
fixed_1500_backlog,27100.0,2000.0,66611.25,0.0,66611.25,2,55,0,3454.85,3454.85,62714.6,0.0,70066.1,3454.85,524b4a4ddec5c913f07a68c29d7fabb86838f8fb39dd15ef34e31a1b211efa25,coarse,45555,2,0,False,-408171.9,481308.75,0.138396
fixed_1500_backlog,27600.0,2500.0,66618.6,0.0,66618.6,2,55,0,3454.85,3454.85,63207.75,0.0,70073.45,3454.85,4d69753ffe429aadc8a9af8e225d60df64689ccdf27e286e5f8d55f29f1aa2e6,coarse,49532,2,0,False,-407678.75,481308.75,0.138411
fixed_1500_backlog,28100.0,3000.0,81695.4,0.0,81695.4,2,66,0,3454.85,3454.85,78123.6,0.0,85150.25,3454.85,7a3bd9b15f869497efdf2f19c7ccf6222e8feacd653537f189a6192ccddfeb68,coarse,54445,2,0,False,-392762.9,481308.75,0.169736
fixed_1500_backlog,28600.0,3500.0,190702.63,2509.74,193212.37,3,131,1,6064.6,3554.86,191095.05,363.32,197130.55,3918.18,000d3d9d75cf60481d9049370e42c1e7b1038c405cff4b8de1531bc947a35da9,coarse,95415,3,0,False,-279791.45,481308.75,0.401431
fixed_1500_backlog,29100.0,4000.0,227847.08,3009.74,230856.82,5,156,1,15274.2,12264.46,235184.4,313.32,243434.6,12577.78,bf8983f6ba3671b9ceda151bb457551838d284f19bb528a997491ee0bdaa0772,coarse,111446,5,0,False,-235702.1,481308.75,0.479644
fixed_1500_backlog,29600.0,4500.0,258180.73,32986.04,291166.77,15,161,10,59299.45,26211.79,308114.9,364.94,317743.5,26576.73,fe16ccdfa97bb86025e2ad8216d375f5b4f210fb9a1ff13cf905fb02179f365e,coarse,118646,14,1,False,-162771.6,481308.75,0.604948
fixed_1500_backlog,30100.0,5000.0,249882.68,38986.04,288868.72,15,157,11,65412.8,26325.14,306240.7,314.94,315508.8,26640.08,4ac2189d01a97b9c8766873a0c1db818d79f30c2bfc46693c58c65d45c5d1993,coarse,118680,14,1,False,-164645.8,481308.75,0.600173
fixed_1500_backlog,30600.0,5500.0,277419.52,44986.04,322405.56,15,175,12,71007.35,25919.69,341199.8,2097.6,350422.85,28017.29,582f75fba31f2f44cd32f74ec7f9f97663c6691b0156926ad338f5fd61b8b883,coarse,126088,14,1,False,-129686.7,481308.75,0.669852
fixed_1500_backlog,31100.0,6000.0,329241.03,70714.69,399955.72,20,193,17,99423.6,26919.74,423893.9,7236.14,434111.6,34155.88,7f559c3c80d0b0cd6f0d71e92abfa9259f8340d555b3c00c760d3cd5e502ac6d,coarse,136391,14,6,False,-46992.6,481308.75,0.830975
fixed_1500_backlog,31200.0,6100.0,367282.17,76299.61,443581.78,21,212,18,105706.85,27119.75,470886.5,10607.22,481308.75,37726.97,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.921616
fixed_1500_backlog,31300.0,6200.0,364477.12,72549.87,437026.99,21,212,17,108551.9,33674.54,470886.5,10607.22,481308.75,44281.76,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.907997
fixed_1500_backlog,31400.0,6300.0,362892.67,73909.87,436802.54,21,212,17,110176.35,33898.99,470886.5,10607.22,481308.75,44506.21,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.907531
fixed_1500_backlog,31500.0,6400.0,361191.07,75269.87,436460.94,21,208,17,111917.95,34240.59,470886.5,10607.22,481308.75,44847.81,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.906821
fixed_1500_backlog,31600.0,6500.0,359431.07,76629.87,436060.94,21,207,17,113717.95,34640.59,470886.5,10607.22,481308.75,45247.81,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.90599
fixed_1500_backlog,31700.0,6600.0,357671.07,77989.87,435660.94,21,206,17,115517.95,35040.59,470886.5,10607.22,481308.75,45647.81,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.905159
fixed_1500_backlog,31800.0,6700.0,355555.12,79349.87,434904.99,21,205,17,117673.9,35796.54,470886.5,10607.22,481308.75,46403.76,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.903588
fixed_1500_backlog,31900.0,6800.0,353895.11,80709.87,434604.98,21,204,17,119373.9,36096.54,470886.5,10607.23,481308.75,46703.77,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.902965
fixed_1500_backlog,32000.0,6900.0,352174.71,82069.87,434244.58,21,204,17,121134.3,36456.94,470886.5,10607.23,481308.75,47064.17,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.902216
fixed_1500_backlog,32100.0,7000.0,351830.31,81929.87,433760.18,21,204,16,121518.7,36941.34,470886.5,10607.23,481308.75,47548.57,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.90121
fixed_1500_backlog,32600.0,7500.0,342078.76,88729.87,430808.63,21,197,16,131470.25,39892.89,470886.5,10607.23,481308.75,50500.12,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.895077
