account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
19,2021-07,2021-07-01 00:00:00,False,2021-12-03 23:00:00,intratrade_excursion,-9.4,RR1.00:22-23:164:611,155,819,339,479,2471.0,858.9,2,0,1500.0,1500.0,5,2500.0,1000.0,2021-11-01 00:00:00,112.1,,2606.3,-684.2,2703.3,100.0,
20,2021-08,2021-08-01 00:00:00,False,2021-12-03 21:39:20,intratrade_excursion,46.45,RR1.00:21-22:170:600,124,662,279,382,2393.5,694.05,2,0,1500.0,1500.0,4,2000.0,500.0,2021-11-01 00:00:00,199.45,,2539.6,-750.9,2636.6,100.0,
21,2021-09,2021-09-01 00:00:00,False,2021-12-03 21:39:20,intratrade_excursion,76.45,RR1.00:21-22:170:600,93,512,219,292,2266.0,536.55,2,0,1500.0,1500.0,3,1500.0,0.0,2021-11-01 00:00:00,229.45,,2569.6,-720.9,2666.6,100.0,
22,2021-10,2021-10-01 00:00:00,False,2022-06-30 12:11:40,intratrade_excursion,21.0,RR1.00:10-11:213:823,272,1441,594,846,5621.5,1512.0,7,1,4000.0,4000.0,8,4000.0,0.0,2021-11-01 00:00:00,109.5,,6368.75,-144.1,6459.55,100.0,
23,2021-11,2021-11-01 00:00:00,False,2021-12-03 21:39:20,intratrade_excursion,-300.95,RR1.00:21-22:170:600,32,200,82,117,61.0,208.95,0,0,0.0,0.0,1,500.0,500.0,,-147.95,,1192.2,-300.95,1289.2,-210.8,
24,2021-12,2021-12-01 00:00:00,False,2021-12-17 22:17:40,intratrade_excursion,-1403.95,RR1.00:21-22:174:613,16,90,32,57,-1155.0,93.45,0,0,0.0,0.0,0,0.0,0.0,,-1248.45,,57.3,-1403.95,204.8,-1295.2,
25,2022-01,2022-01-01 00:00:00,False,2022-06-15 23:30:00,intratrade_excursion,-36.05,RR1.00:21-22:219:778,165,892,359,532,3565.0,935.55,5,0,2500.0,2500.0,5,2500.0,0.0,2022-02-01 00:00:00,129.45,,5748.05,-945.1,5838.85,100.0,
26,2022-02,2022-02-01 00:00:00,False,2022-05-12 14:48:40,intratrade_excursion,69.85,RR1.00:14-15:205:779,100,544,221,322,2256.5,570.15,3,0,1500.0,1500.0,3,1500.0,0.0,2022-03-01 00:00:00,186.35,,4251.5,-50.55,4342.3,100.0,
27,2022-03,2022-03-01 00:00:00,False,2022-03-08 18:32:40,intratrade_excursion,-1515.05,RR1.00:17-18:136:667,7,52,17,34,-1161.5,53.55,0,0,0.0,0.0,0,0.0,0.0,,-1215.05,,70.45,-1515.05,100.95,-1399.05,
28,2022-04,2022-04-01 00:00:00,False,2022-05-09 20:34:40,intratrade_excursion,58.5,RR1.00:18-19:161:724,38,191,79,111,389.0,199.5,0,1,0.0,0.0,1,500.0,500.0,,189.5,,2296.85,-116.85,2387.65,100.0,
29,2022-05,2022-05-01 00:00:00,False,2022-05-09 23:30:00,intratrade_excursion,-1517.25,RR1.00:23-24:35:316,8,46,14,31,-1406.5,47.25,0,0,0.0,0.0,0,0.0,0.0,,-1453.75,,0.0,-1517.25,44.5,-1455.5,
30,2022-06,2022-06-01 00:00:00,False,2022-06-10 20:13:40,intratrade_excursion,-1377.05,RR1.00:19-20:182:764,9,62,16,45,-1203.5,64.05,0,0,0.0,0.0,0,0.0,0.0,,-1267.55,,124.15,-1377.05,160.2,-1339.8,
31,2022-07,2022-07-01 00:00:00,False,2023-10-25 23:06:20,intratrade_excursion,60.55,RR1.00:22-23:310:1185,481,2540,1056,1483,10320.0,2665.95,15,0,7500.0,7500.0,15,7500.0,0.0,2022-08-01 00:00:00,154.05,,4941.85,-262.75,4958.85,100.0,
32,2022-08,2022-08-01 00:00:00,False,2022-11-04 17:51:40,intratrade_excursion,-46.6,RR1.00:16-17:408:1135,95,513,224,288,2469.5,537.6,3,0,1500.0,1500.0,3,1500.0,0.0,2022-09-01 00:00:00,431.9,,2885.15,-211.25,2902.15,100.0,
33,2022-09,2022-09-01 00:00:00,False,2022-11-04 17:51:40,intratrade_excursion,-303.55,RR1.00:16-17:408:1135,64,352,147,204,543.5,368.55,0,1,0.0,0.0,2,1000.0,1000.0,,174.95,,2128.2,-598.85,2145.2,100.0,
34,2022-10,2022-10-01 00:00:00,False,2022-11-03 15:44:40,intratrade_excursion,-235.05,RR1.00:15-16:300:1034,33,172,67,104,23.0,179.55,0,0,0.0,0.0,1,500.0,500.0,,-156.55,,1314.2,-281.45,1331.2,-168.8,
35,2022-11,2022-11-01 00:00:00,False,2022-11-04 17:51:40,intratrade_excursion,-1555.1,RR1.00:16-17:408:1135,3,33,9,23,-1043.0,33.6,0,0,0.0,0.0,0,0.0,0.0,,-1076.6,,88.7,-1555.1,105.25,-1394.75,
36,2022-12,2022-12-01 00:00:00,False,2023-01-05 10:38:40,intratrade_excursion,-1283.65,RR1.00:10-11:263:1005,35,164,62,101,-1057.5,171.15,0,0,0.0,0.0,1,500.0,500.0,,-1228.65,,244.2,-1283.65,258.75,-1241.25,
37,2023-01,2023-01-01 00:00:00,False,2023-10-04 03:54:40,intratrade_excursion,84.5,RR1.00:2-3:357:1318,276,1481,616,864,5681.0,1554.0,5,2,4000.0,4000.0,9,4500.0,500.0,2023-04-01 00:00:00,127.0,,3499.9,-611.95,3528.45,100.0,
38,2023-02,2023-02-01 00:00:00,False,2023-05-24 22:30:00,intratrade_excursion,63.85,RR1.00:18-19:248:1071,112,614,248,365,2268.5,643.65,2,0,1500.0,1500.0,3,1500.0,0.0,2023-04-01 00:00:00,124.85,,2472.2,-245.35,2500.75,100.0,
39,2023-03,2023-03-01 00:00:00,False,2023-10-03 17:00:00,intratrade_excursion,94.4,RR1.00:16-17:532:1499,216,1203,496,706,4401.5,1262.1,5,1,3000.0,3000.0,7,3500.0,500.0,2023-04-01 00:00:00,139.4,,2744.0,-154.7,2803.45,100.0,
40,2023-04,2023-04-01 00:00:00,False,2023-05-15 03:46:40,intratrade_excursion,-597.0,RR1.00:2-3:312:1167,44,251,81,169,-318.0,262.5,0,0,0.0,0.0,1,500.0,500.0,,-580.5,,895.45,-597.0,910.0,-590.0,
41,2023-05,2023-05-01 00:00:00,False,2023-05-15 03:46:40,intratrade_excursion,-1447.0,RR1.00:2-3:312:1167,14,101,24,76,-1325.5,105.0,0,0,0.0,0.0,0,0.0,0.0,,-1430.5,,45.45,-1447.0,60.0,-1440.0,
42,2023-06,2023-06-01 00:00:00,False,2023-10-03 23:30:00,intratrade_excursion,99.8,RR1.00:22-23:307:1170,124,695,284,410,1358.0,728.7,1,0,500.0,500.0,4,2000.0,1500.0,2023-09-01 00:00:00,129.3,,1964.95,-364.3,1980.95,100.0,
43,2023-07,2023-07-01 00:00:00,False,2023-10-04 08:53:40,intratrade_excursion,87.8,RR1.00:7-8:369:1317,95,535,221,313,711.5,560.7,0,1,0.0,0.0,3,1500.0,1500.0,,150.8,,2058.55,-356.45,2082.55,100.0,
44,2023-08,2023-08-01 00:00:00,False,2023-09-28 15:51:20,intratrade_excursion,12.05,RR1.00:12-13:305:1204,58,350,145,204,466.5,366.45,0,0,0.0,0.0,1,500.0,500.0,,100.05,,1534.6,-611.3,1558.6,58.6,
45,2023-09,2023-09-01 00:00:00,False,2023-09-28 15:51:20,intratrade_excursion,-841.45,RR1.00:12-13:305:1204,27,160,60,99,-586.5,166.95,0,0,0.0,0.0,0,0.0,0.0,,-753.45,,681.1,-841.45,705.1,-794.9,
46,2023-10,2023-10-01 00:00:00,False,2023-10-25 21:50:20,intratrade_excursion,-1322.75,RR1.00:21-22:338:1218,24,136,39,96,-1072.5,141.75,0,0,0.0,0.0,0,0.0,0.0,,-1214.25,,261.1,-1322.75,269.65,-1230.35,
47,2023-11,2023-11-01 00:00:00,True,,,,,,5304,2251,3053,28314.5,5569.2,29,2,16000.0,16000.0,32,16000.0,0.0,2024-02-01 00:00:00,6745.3,31745.3,12368.65,-146.0,12383.15,100.0,6645.3
48,2023-12,2023-12-01 00:00:00,True,,,,,,5140,2177,2963,27920.0,5397.0,29,2,15500.0,15500.0,31,15500.0,0.0,2024-03-01 00:00:00,7023.0,32023.0,12646.35,-368.3,12660.85,100.0,6923.0
49,2024-01,2024-01-01 00:00:00,True,,,,,,4985,2099,2886,26463.5,5234.25,28,0,15000.0,15000.0,30,15000.0,0.0,2024-03-01 00:00:00,6229.25,31229.25,11852.6,-243.35,11867.1,100.0,6129.25
50,2024-02,2024-02-01 00:00:00,True,,,,,,4824,2034,2790,26055.5,5065.2,28,1,14500.0,14500.0,29,14500.0,0.0,2024-03-01 00:00:00,6490.3,31490.3,12113.65,-258.8,12128.15,100.0,6390.3
51,2024-03,2024-03-01 00:00:00,False,2024-04-19 09:30:00,intratrade_excursion,95.1,RR1.00:5-6:303:1353,49,249,105,143,454.0,260.4,0,0,0.0,0.0,1,500.0,500.0,,193.6,,2055.3,-356.65,2108.3,100.0,
52,2024-04,2024-04-01 00:00:00,False,2024-04-18 20:24:40,intratrade_excursion,-528.05,RR1.00:17-18:256:1301,17,112,42,69,-158.0,116.55,0,0,0.0,0.0,0,0.0,0.0,,-274.55,,1086.95,-528.05,1139.95,-360.05,
53,2024-05,2024-05-01 00:00:00,True,,,,,,4352,1832,2520,23224.0,4569.6,26,0,13000.0,13000.0,26,13000.0,0.0,2024-06-01 00:00:00,5654.4,30654.4,11277.75,-69.25,11292.25,100.0,5554.4
54,2024-06,2024-06-01 00:00:00,False,2024-07-26 17:08:40,intratrade_excursion,-20.05,RR1.00:17-18:272:1385,55,312,136,175,1018.0,326.55,1,0,500.0,500.0,1,500.0,0.0,2024-07-01 00:00:00,191.45,,2649.4,-20.05,2697.6,100.0,
55,2024-07,2024-07-01 00:00:00,False,2024-07-24 22:54:40,intratrade_excursion,-439.2,RR1.00:22-23:383:1429,23,145,55,89,-199.5,151.2,0,0,0.0,0.0,0,0.0,0.0,,-350.7,,1019.1,-439.2,1067.3,-432.7,
56,2024-08,2024-08-01 00:00:00,False,2024-08-08 10:28:20,intratrade_excursion,-1423.6,RR1.00:9-10:402:1521,7,33,10,22,-1246.0,33.6,0,0,0.0,0.0,0,0.0,0.0,,-1279.6,,9.3,-1423.6,103.3,-1396.7,
57,2024-09,2024-09-01 00:00:00,False,2025-04-04 22:55:40,intratrade_excursion,-160.65,RR1.00:22-23:448:1655,215,1154,486,667,4820.5,1210.65,5,1,3500.0,3500.0,7,3500.0,0.0,2024-12-01 00:00:00,109.85,,5417.65,-966.25,5445.65,100.0,
58,2024-10,2024-10-01 00:00:00,False,2025-04-04 20:16:40,intratrade_excursion,-114.0,RR1.00:18-19:391:1669,185,981,416,564,4539.0,1029.0,4,1,3000.0,3000.0,6,3000.0,0.0,2024-12-01 00:00:00,510.0,,5413.75,-412.1,5428.25,100.0,
59,2024-11,2024-11-01 00:00:00,False,2025-04-04 21:36:40,intratrade_excursion,53.75,RR1.00:20-21:415:1581,154,806,344,461,3779.5,845.25,4,1,2500.0,2500.0,5,2500.0,0.0,2024-12-01 00:00:00,434.25,,5463.05,-273.8,5477.55,100.0,
60,2024-12,2024-12-01 00:00:00,False,2025-04-04 20:16:40,intratrade_excursion,-301.95,RR1.00:18-19:391:1669,124,670,277,392,2524.5,702.45,2,0,1500.0,1500.0,4,2000.0,500.0,2025-02-01 00:00:00,322.05,,4225.8,-314.35,4240.3,100.0,
61,2025-01,2025-01-01 00:00:00,False,2025-04-04 20:16:40,intratrade_excursion,-120.0,RR1.00:18-19:391:1669,93,511,208,302,2039.5,535.5,2,1,1000.0,1000.0,3,1500.0,500.0,2025-02-01 00:00:00,504.0,,4305.2,-416.25,4333.2,100.0,
62,2025-02,2025-02-01 00:00:00,False,2025-03-04 12:01:40,intratrade_excursion,-516.3,RR1.00:10-11:495:1785,31,167,63,103,-256.5,174.3,0,0,0.0,0.0,1,500.0,500.0,,-430.8,,1008.0,-516.3,1036.0,-464.0,
63,2025-03,2025-03-01 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,-967.8,RR1.00:19-20:403:1641,6,37,12,24,-703.0,37.8,0,0,0.0,0.0,0,0.0,0.0,,-740.8,,561.65,-967.8,610.15,-889.85,
64,2025-04,2025-04-01 00:00:00,False,2025-04-03 17:42:40,intratrade_excursion,-286.45,RR1.00:16-17:710:2047,2,20,7,12,25.0,19.95,0,0,0.0,0.0,0,0.0,0.0,,5.05,,584.85,-286.45,1244.85,-255.15,
65,2025-05,2025-05-01 00:00:00,False,2025-05-07 15:06:40,intratrade_excursion,-1469.6,RR1.00:13-14:484:1803,6,33,7,25,-1367.0,33.6,0,0,0.0,0.0,0,0.0,0.0,,-1400.6,,0.0,-1469.6,80.0,-1420.0,
66,2025-06,2025-06-01 00:00:00,False,2025-06-20 01:30:00,intratrade_excursion,-660.05,RR1.00:19-20:423:1728,19,102,42,59,-487.5,106.05,0,0,0.0,0.0,0,0.0,0.0,,-593.55,,679.2,-660.05,866.2,-633.8,
67,2025-07,2025-07-01 00:00:00,False,2025-07-30 21:56:40,intratrade_excursion,-867.5,RR1.00:17-18:340:1697,29,161,59,101,-548.5,168.0,0,0,0.0,0.0,0,0.0,0.0,,-716.5,,689.55,-867.5,711.6,-788.4,
68,2025-08,2025-08-01 00:00:00,False,2025-08-29 15:05:40,intratrade_excursion,-665.3,RR1.00:14-15:485:1832,28,157,59,97,-448.0,163.8,0,0,0.0,0.0,0,0.0,0.0,,-611.8,,802.6,-665.3,851.0,-649.0,
69,2025-09,2025-09-01 00:00:00,False,2026-02-17 10:30:00,intratrade_excursion,54.05,RR1.00:8-9:593:2107,169,940,382,557,2594.5,985.95,2,0,1500.0,1500.0,5,2500.0,1000.0,2025-11-01 00:00:00,108.55,,3489.3,-385.45,3720.3,100.0,
70,2025-10,2025-10-01 00:00:00,False,2026-02-19 16:35:40,intratrade_excursion,28.95,RR1.00:16-17:836:2389,141,782,310,471,1941.0,820.05,2,1,1000.0,1000.0,4,2000.0,1000.0,2025-11-01 00:00:00,120.95,,3190.25,-42.05,3421.25,100.0,
71,2025-11,2025-11-01 00:00:00,False,2025-11-21 01:02:40,intratrade_excursion,-644.85,RR1.00:1-2:421:1728,20,108,45,62,-436.0,112.35,0,0,0.0,0.0,0,0.0,0.0,,-548.35,,790.3,-644.85,858.45,-641.55,
72,2025-12,2025-12-01 00:00:00,False,2025-12-10 02:20:20,intratrade_excursion,-1414.1,RR1.00:2-3:531:2014,9,63,16,46,-1325.0,65.1,0,0,0.0,0.0,0,0.0,0.0,,-1390.1,,0.0,-1414.1,92.5,-1407.5,
73,2026-01,2026-01-01 00:00:00,False,2026-02-16 15:48:40,intratrade_excursion,84.25,RR1.00:14-15:524:1983,46,256,101,154,399.5,267.75,0,0,0.0,0.0,1,500.0,500.0,,131.75,,2403.25,-155.2,2519.05,100.0,
74,2026-02,2026-02-01 00:00:00,False,2026-02-13 16:50:40,intratrade_excursion,93.75,RR1.00:16-17:834:2382,12,86,31,54,396.0,89.25,0,0,0.0,0.0,0,0.0,0.0,,306.75,,1681.9,-537.6,1797.7,100.0,
75,2026-03,2026-03-01 00:00:00,False,2026-03-04 23:30:00,intratrade_excursion,-1150.6,RR1.00:18-19:460:1961,3,23,6,16,-932.5,23.1,0,0,0.0,0.0,0,0.0,0.0,,-955.6,,378.2,-1150.6,501.2,-998.8,
76,2026-04,2026-04-01 00:00:00,False,2026-04-10 13:30:00,intratrade_excursion,-780.3,RR1.00:12-13:517:2044,9,57,19,37,-692.0,58.8,0,0,0.0,0.0,0,0.0,0.0,,-750.8,,635.75,-780.3,730.75,-769.25,
77,2026-05,2026-05-01 00:00:00,False,2026-06-29 20:30:00,intratrade_excursion,-31.15,RR1.00:17-18:390:1969,59,324,131,192,1075.5,339.15,1,0,500.0,500.0,1,500.0,0.0,2026-06-01 00:00:00,236.35,,4392.85,-861.7,4507.35,100.0,
78,2026-06,2026-06-01 00:00:00,False,2026-06-05 15:36:40,intratrade_excursion,-1569.3,RR1.00:4-5:543:2123,4,37,8,28,-1328.0,37.8,0,0,0.0,0.0,0,0.0,0.0,,-1365.8,,0.65,-1569.3,45.7,-1454.3,
79,2026-07,2026-07-01 00:00:00,True,,,,,,64,27,37,1084.0,67.2,0,0,0.0,0.0,0,0.0,0.0,,1016.8,26016.8,1407.05,-1372.55,1451.6,-48.4,1065.2
